"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]","Burst1_y1","0","-0.004041","0.0551156883291863",NA,"0.055244264010489","0.054974","-0.00489216419713093","-0.1238975","0.0882525","0.94",NA,"0.06","0"
"Level2Mean[2]","Burst1_y2","1","0.996854","0.0516638055121765","-0.00314599999999998","0.0518277204794983","0.053442","0.0311470291490099","0.900565","1.08883","0.97","1",NA,"0"
"Level2Mean[3]","Burst2_y1","1","0.996707","0.0733737098694076","-0.00329299999999999","0.0736690487137159","0.074441","0.0104786379050994","0.872395","1.1161","0.97","1",NA,"0"
"Level2Mean[4]","Burst2_y2","1.5","1.51217","0.0996265426480313","0.00811333333333334","0.099378569626505","0.093789","-0.0562452211529338","1.334065","1.6852175","0.96","1",NA,"0"
"Level2Mean[5]","AR1","0.3","0.300479","0.0510747501217578","0.00159666666666669","0.051329797782614","0.055067","0.0728076551794225","0.1909325","0.394315","0.95","1",NA,"0"
"Level2Mean[6]","AR2","0.2","0.205554","0.0518853678795862","0.0277699999999999","0.0518471382181711","0.053711","0.0359491737805431","0.1035325","0.3097025","0.95","0.97",NA,"0"
"Level2Mean[7]","CR_y1toy2","-0.15","-0.153065","0.0405549022930644","0.0204333333333334","0.0406426391387372","0.042887","0.0552218288187792","-0.2243225","-0.0687375","0.94","0.95",NA,"0"
"Level2Mean[8]","CR_y2toy1","0","-0.004157","0.0363897114580481",NA,"0.0363336176107867","0.039705","0.0927896149876475","-0.06462","0.0657725","1",NA,"0","0"
"Level2Sigma[1]","SD_Burst1_y1","1","0.996452","0.055972248480832","-0.003548","0.0561410947632135","0.055436","-0.0125593340526652","0.8959925","1.099465","0.97","1",NA,"0"
"Level2Sigma[2]","SD_Burst1_y2","1","0.994042","0.0462276627140071","-0.00595800000000002","0.0460730539360036","0.051603","0.120025602637012","0.9068475","1.0846525","0.98","1",NA,"0"
"Level2Sigma[3]","SD_Burst2_y1","1.5","1.500727","0.0601547396303899","0.000484666666666615","0.0604533727242523","0.061257","0.0132933406282109","1.3862325","1.6235375","0.93","1",NA,"0"
"Level2Sigma[4]","SD_Burst2_y2","2","1.989596","0.0777060551051204","-0.00520200000000004","0.077394358001763","0.071044","-0.0820519501126724","1.8395375","2.12529","0.93","1",NA,"0"
"Level2Sigma[5]","SD_AR1","0.1","0.113786","0.027143153832965","0.13786","0.0234993445857453","0.041236","0.754772344800365","0.0886025","0.1825525","0.99","1",NA,"0"
"Level2Sigma[6]","SD_AR2","0.1","0.112445","0.0235362762560266","0.12445","0.0200775837362684","0.042148","1.09925659151222","0.0848075","0.1562075","1","1",NA,"0"
"Level2Sigma[7]","SD_CR_y1toy2","0.1","0.112672","0.0219194114884501","0.12672","0.0179753202300748","0.042524","1.36568803535707","0.0886325","0.162975","1","1",NA,"0"
"Level2Sigma[8]","SD_CR_y2toy1","0.1","0.113562","0.0274377258532846","0.13562","0.0239718049029069","0.041359","0.725318563517289","0.0877","0.1825625","1","1",NA,"0"
"sigma_innovation[1,1]","InnoVar_y1","1","0.993211","0.0450490987701197","-0.00678900000000004","0.0447589591392865","0.048151","0.0757846233679758","0.91109","1.07247","0.97","1",NA,"0"
"sigma_innovation[2,2]","InnoVar_y2","1","0.997202","0.0462338577235342","-0.00279799999999997","0.0463816055057706","0.046985","0.0130093490220885","0.91699","1.0876375","0.96","1",NA,"0"
"sigma_innovation[1,2]","InnoCov","0.3","0.297484","0.0292685496736685","-0.00838666666666654","0.0293071119716906","0.031503","0.0749267969641808","0.2468325","0.3546625","0.98","1",NA,"0"
"sigma_innovation[2,1]","InnoCov_dup","0.3","0.297484","0.0292685496736685","-0.00838666666666654","0.0293071119716906","0.031503","0.0749267969641808","0.2468325","0.3546625","0.98","1",NA,"0"
