"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
64,0,0.0411,0.0549,-0.0669,0.1486,1,0,1,1.024,0.0562,0.9145,1.1348,1,1,1,1.0606,0.0722,0.919,1.2026,1,1,1.5,1.4742,0.0891,1.2977,1.6491,1,1,0.3,0.3254,0.0541,0.219,0.4245,1,1,0.2,0.173,0.0471,0.0823,0.2647,1,1,-0.15,-0.1637,0.045,-0.2541,-0.0754,1,1,0,-0.0255,0.0396,-0.104,0.0508,1,0,1,1.0012,0.0548,0.8944,1.1095,1,1,1,1.0909,0.0491,0.9969,1.1886,1,1,1.5,1.4582,0.0594,1.3449,1.5769,1,1,2,1.8891,0.0673,1.7612,2.0258,1,1,0.1,0.1151,0.0464,0.0495,0.2253,1,1,0.1,0.0964,0.0358,0.0456,0.1829,1,1,0.1,0.0931,0.0313,0.0476,0.1681,1,1,0.1,0.1096,0.0421,0.0517,0.2154,1,1,1,0.9567,0.0467,0.8676,1.049,1,1,1,0.9777,0.0427,0.8973,1.0638,1,1,0.3,0.2792,0.0318,0.2186,0.3437,1,1,0.3,0.2792,0.0318,0.2186,0.3437,1,1
65,0,0.0082,0.052,-0.0934,0.1112,1,0,1,0.98,0.0553,0.872,1.0877,1,1,1,1.0671,0.0755,0.9179,1.2137,1,1,1.5,1.3404,0.0918,1.1618,1.5204,1,1,0.3,0.3026,0.0568,0.1831,0.4012,1,1,0.2,0.2277,0.0556,0.121,0.3373,1,1,-0.15,-0.1722,0.0413,-0.251,-0.0929,1,1,0,-0.0164,0.0437,-0.0998,0.0731,1,0,1,0.919,0.0557,0.809,1.0273,1,1,1,1.0549,0.0517,0.9538,1.156,1,1,1.5,1.519,0.0616,1.4012,1.642,1,1,2,1.9459,0.0696,1.8148,2.088,1,1,0.1,0.086,0.0274,0.046,0.1514,1,1,0.1,0.1014,0.0355,0.0489,0.1814,1,1,0.1,0.0925,0.0313,0.0462,0.166,1,1,0.1,0.1802,0.064,0.0699,0.3041,1,1,1,1.0292,0.0514,0.926,1.1289,1,1,1,0.9587,0.0456,0.8742,1.0532,1,1,0.3,0.2914,0.0309,0.2329,0.3537,1,1,0.3,0.2914,0.0309,0.2329,0.3537,1,1
66,0,-0.0972,0.0537,-0.2011,0.0086,1,0,1,0.8843,0.0524,0.7815,0.9867,0,1,1,0.9089,0.0709,0.77,1.0487,1,1,1.5,1.4908,0.0902,1.3151,1.6684,1,1,0.3,0.2963,0.058,0.189,0.413,1,1,0.2,0.1981,0.0599,0.0885,0.3218,1,1,-0.15,-0.16,0.0444,-0.2452,-0.071,1,1,0,-0.0135,0.0405,-0.0951,0.062,1,0,1,0.9743,0.0546,0.8645,1.0788,1,1,1,0.9848,0.0507,0.8837,1.0831,1,1,1.5,1.414,0.0594,1.2989,1.5321,1,1,2,1.914,0.0689,1.7841,2.0536,1,1,0.1,0.099,0.0363,0.0468,0.1873,1,1,0.1,0.0924,0.034,0.0468,0.1771,1,1,0.1,0.1159,0.044,0.0515,0.2171,1,1,0.1,0.1045,0.0375,0.0509,0.1906,1,1,1,0.9816,0.0488,0.8914,1.0805,1,1,1,0.9692,0.0493,0.8789,1.0728,1,1,0.3,0.2945,0.0317,0.2336,0.3577,1,1,0.3,0.2945,0.0317,0.2336,0.3577,1,1
67,0,0.0444,0.0555,-0.0644,0.1539,1,0,1,1.0359,0.0523,0.934,1.1382,1,1,1,0.8356,0.0707,0.6976,0.9742,0,1,1.5,1.5681,0.0897,1.3919,1.7425,1,1,0.3,0.2583,0.0513,0.1583,0.3507,1,1,0.2,0.2436,0.0478,0.158,0.3465,1,1,-0.15,-0.1586,0.0396,-0.2344,-0.0776,1,1,0,0.012,0.0406,-0.0684,0.0904,1,0,1,1.0297,0.052,0.929,1.1323,1,1,1,0.9531,0.0507,0.8521,1.0508,1,1,1.5,1.4156,0.0575,1.3059,1.532,1,1,2,1.8823,0.0679,1.7536,2.0207,1,1,0.1,0.1164,0.0442,0.0496,0.2156,1,1,0.1,0.096,0.0326,0.0494,0.1762,1,1,0.1,0.0957,0.0334,0.0487,0.177,1,1,0.1,0.127,0.0482,0.0556,0.235,1,1,1,0.9585,0.0448,0.8723,1.0475,1,1,1,1.01,0.0449,0.9277,1.1033,1,1,0.3,0.3029,0.0304,0.2444,0.3638,1,1,0.3,0.3029,0.0304,0.2444,0.3638,1,1
68,0,0.0202,0.0552,-0.0884,0.1279,1,0,1,0.9788,0.0544,0.8728,1.0864,1,1,1,0.9708,0.0745,0.8249,1.1169,1,1,1.5,1.5536,0.0898,1.3782,1.7308,1,1,0.3,0.3388,0.0517,0.2367,0.4402,1,1,0.2,0.2157,0.0528,0.1125,0.3207,1,1,-0.15,-0.1885,0.0424,-0.2736,-0.111,1,1,0,0.0061,0.0376,-0.071,0.0753,1,0,1,0.993,0.0548,0.8851,1.0999,1,1,1,1.0182,0.0506,0.9185,1.1175,1,1,1.5,1.4893,0.0612,1.3723,1.6114,1,1,2,1.9026,0.069,1.7729,2.0422,1,1,0.1,0.1005,0.0385,0.0492,0.196,1,1,0.1,0.0985,0.0341,0.0469,0.1737,1,1,0.1,0.1068,0.0361,0.0526,0.1888,1,1,0.1,0.0893,0.0301,0.0457,0.1606,1,1,1,1.0079,0.0462,0.9208,1.1024,1,1,1,0.991,0.0458,0.9066,1.0856,1,1,0.3,0.3114,0.031,0.2514,0.3727,1,1,0.3,0.3114,0.031,0.2514,0.3727,1,1
69,0,0.0026,0.0544,-0.1047,0.1091,1,0,1,0.9425,0.0535,0.8373,1.0475,1,1,1,0.9571,0.0701,0.8191,1.0942,1,1,1.5,1.4802,0.0916,1.3008,1.6601,1,1,0.3,0.245,0.0626,0.1213,0.3659,1,1,0.2,0.1603,0.0475,0.0729,0.2574,1,1,-0.15,-0.1931,0.043,-0.2821,-0.1138,1,1,0,-0.065,0.0408,-0.1426,0.0145,1,0,1,1.0254,0.0544,0.9181,1.1316,1,1,1,1.0186,0.048,0.9256,1.1131,1,1,1.5,1.4137,0.0586,1.302,1.5311,1,1,2,1.9484,0.0694,1.8157,2.0882,1,1,0.1,0.1452,0.0562,0.0553,0.266,1,1,0.1,0.1068,0.0394,0.0496,0.1983,1,1,0.1,0.1051,0.0424,0.0493,0.2089,1,1,0.1,0.1095,0.0378,0.0516,0.1956,1,1,1,0.9241,0.0471,0.835,1.019,1,1,1,0.9601,0.0418,0.8818,1.046,1,1,0.3,0.2735,0.03,0.2148,0.3324,1,1,0.3,0.2735,0.03,0.2148,0.3324,1,1
70,0,-0.0468,0.0555,-0.1549,0.0624,1,0,1,1.0601,0.0536,0.955,1.1655,1,1,1,1.118,0.0688,0.9828,1.2524,1,1,1.5,1.5794,0.0927,1.3969,1.7614,1,1,0.3,0.3211,0.0572,0.2071,0.4262,1,1,0.2,0.2561,0.0548,0.1525,0.3682,1,1,-0.15,-0.1221,0.046,-0.2128,-0.0316,1,1,0,0.0089,0.0379,-0.0664,0.0804,1,0,1,0.9878,0.0562,0.8765,1.097,1,1,1,0.9532,0.056,0.8393,1.0601,1,1,1.5,1.3494,0.06,1.234,1.4684,0,1,2,1.943,0.0711,1.8084,2.087,1,1,0.1,0.0896,0.0303,0.0466,0.1667,1,1,0.1,0.0991,0.0361,0.0478,0.1845,1,1,0.1,0.1223,0.0474,0.0551,0.2362,1,1,0.1,0.1046,0.0388,0.0497,0.1988,1,1,1,1.025,0.0498,0.9297,1.1225,1,1,1,1.1039,0.0534,1.0059,1.2139,0,1,0.3,0.3482,0.0335,0.2834,0.4147,1,1,0.3,0.3482,0.0335,0.2834,0.4147,1,1
71,0,0.0524,0.053,-0.0514,0.1558,1,0,1,1.0119,0.0521,0.9097,1.1134,1,1,1,0.9896,0.0712,0.8494,1.1287,1,1,1.5,1.6468,0.0984,1.4536,1.8394,1,1,0.3,0.3573,0.049,0.2597,0.4531,1,1,0.2,0.1485,0.0556,0.0387,0.2642,1,1,-0.15,-0.1208,0.0437,-0.2035,-0.0336,1,1,0,5e-04,0.0409,-0.0812,0.0799,1,0,1,0.8972,0.0569,0.783,1.0073,1,1,1,0.9842,0.0499,0.886,1.0819,1,1,1.5,1.4094,0.0604,1.2933,1.5301,1,1,2,2.0994,0.0728,1.96,2.2473,1,1,0.1,0.1396,0.0508,0.0586,0.248,1,1,0.1,0.1187,0.0464,0.0504,0.2264,1,1,0.1,0.0934,0.0326,0.0472,0.1743,1,1,0.1,0.1213,0.0493,0.0518,0.2337,1,1,1,1.055,0.0481,0.9623,1.1515,1,1,1,0.9724,0.046,0.8852,1.0678,1,1,0.3,0.3109,0.0319,0.249,0.3744,1,1,0.3,0.3109,0.0319,0.249,0.3744,1,1
72,0,0.0076,0.0547,-0.1001,0.1145,1,0,1,1.0568,0.0569,0.9443,1.1674,1,1,1,0.9799,0.0751,0.8321,1.1272,1,1,1.5,1.3438,0.095,1.158,1.5299,1,1,0.3,0.3871,0.0548,0.2714,0.4902,1,1,0.2,0.1267,0.0575,0.019,0.2402,1,1,-0.15,-0.1034,0.0451,-0.1963,-0.0192,1,1,0,-0.0443,0.0398,-0.1228,0.0321,1,0,1,0.9646,0.0572,0.8521,1.078,1,1,1,1.1033,0.0499,1.0069,1.2021,0,1,1.5,1.493,0.0628,1.3733,1.6185,1,1,2,2.0313,0.0712,1.897,2.1733,1,1,0.1,0.1121,0.04,0.0507,0.2025,1,1,0.1,0.2043,0.0722,0.0737,0.3357,1,1,0.1,0.0847,0.0283,0.0454,0.1524,1,1,0.1,0.1663,0.0602,0.0624,0.2855,1,1,1,0.9703,0.0482,0.8769,1.0664,1,1,1,0.9457,0.0414,0.8688,1.03,1,1,0.3,0.2894,0.0305,0.2299,0.3493,1,1,0.3,0.2894,0.0305,0.2299,0.3493,1,1
73,0,0.0797,0.0556,-0.0284,0.1877,1,0,1,1.0419,0.0537,0.938,1.1468,1,1,1,0.9151,0.0755,0.7679,1.063,1,1,1.5,1.3878,0.0914,1.2096,1.5668,1,1,0.3,0.3969,0.0518,0.2928,0.4929,1,1,0.2,0.2133,0.0534,0.1105,0.3167,1,1,-0.15,-0.0381,0.0428,-0.1185,0.0475,0,0,0,-0.0097,0.0416,-0.0902,0.0708,1,0,1,0.9509,0.0609,0.8303,1.0673,1,1,1,0.9722,0.0547,0.8633,1.0783,1,1,1.5,1.4883,0.0637,1.3644,1.6151,1,1,2,1.9038,0.0695,1.773,2.0445,1,1,0.1,0.1187,0.0429,0.0526,0.2136,1,1,0.1,0.1302,0.0552,0.053,0.2505,1,1,0.1,0.0937,0.033,0.0482,0.1724,1,1,0.1,0.1028,0.0392,0.0483,0.1954,1,1,1,1.0815,0.0491,0.9886,1.1801,1,1,1,1.0795,0.048,0.9897,1.1777,1,1,0.3,0.3424,0.0331,0.2778,0.4079,1,1,0.3,0.3424,0.0331,0.2778,0.4079,1,1
74,0,-0.0098,0.0573,-0.122,0.1026,1,0,1,1.0436,0.0526,0.9405,1.1469,1,1,1,0.9562,0.0739,0.8107,1.0997,1,1,1.5,1.5242,0.0925,1.3432,1.7046,1,1,0.3,0.3013,0.0506,0.2014,0.4012,1,1,0.2,0.1786,0.0489,0.0797,0.2751,1,1,-0.15,-0.0685,0.0402,-0.1476,0.0109,0,0,0,0.0682,0.0383,-0.008,0.14,1,0,1,1.068,0.0527,0.9647,1.1731,1,1,1,0.9791,0.0489,0.8843,1.0751,1,1,1.5,1.4867,0.0602,1.3706,1.6082,1,1,2,1.9666,0.0702,1.834,2.1095,1,1,0.1,0.1073,0.0411,0.0504,0.2079,1,1,0.1,0.1107,0.042,0.0494,0.207,1,1,0.1,0.1132,0.0451,0.0504,0.2216,1,1,0.1,0.1408,0.0541,0.0558,0.2529,1,1,1,0.9631,0.0444,0.8792,1.0531,1,1,1,1.0304,0.045,0.9446,1.1217,1,1,0.3,0.3568,0.0301,0.2982,0.4169,1,1,0.3,0.3568,0.0301,0.2982,0.4169,1,1
75,0,-0.0713,0.0573,-0.183,0.0405,1,0,1,0.9143,0.0506,0.8149,1.0133,1,1,1,1.0596,0.0758,0.9108,1.2091,1,1,1.5,1.5493,0.0955,1.3617,1.7362,1,1,0.3,0.3946,0.0488,0.2951,0.4861,1,1,0.2,0.1556,0.0461,0.0723,0.252,1,1,-0.15,-0.1652,0.0404,-0.244,-0.0857,1,1,0,-0.0467,0.0376,-0.121,0.0234,1,0,1,1.0185,0.0574,0.9067,1.1313,1,1,1,0.9474,0.0475,0.8533,1.0393,1,1,1.5,1.5004,0.0628,1.3796,1.6258,1,1,2,2.0397,0.0712,1.9039,2.1834,1,1,0.1,0.1437,0.0559,0.0542,0.2603,1,1,0.1,0.0902,0.0294,0.0466,0.1641,1,1,0.1,0.089,0.0291,0.047,0.1571,1,1,0.1,0.0901,0.0292,0.0476,0.1629,1,1,1,1.0114,0.046,0.9232,1.1036,1,1,1,0.962,0.0421,0.885,1.0501,1,1,0.3,0.2715,0.0308,0.2125,0.3327,1,1,0.3,0.2715,0.0308,0.2125,0.3327,1,1
76,0,0.0041,0.0567,-0.1069,0.1152,1,0,1,1.1344,0.0529,1.0311,1.2382,0,1,1,1.0233,0.0739,0.8785,1.1678,1,1,1.5,1.5469,0.0902,1.3701,1.7227,1,1,0.3,0.2674,0.0615,0.1393,0.3874,1,1,0.2,0.21,0.0499,0.1223,0.3112,1,1,-0.15,-0.1467,0.0432,-0.24,-0.0634,1,1,0,0.015,0.0433,-0.068,0.0976,1,0,1,1.0408,0.0573,0.9263,1.1514,1,1,1,0.9786,0.0502,0.8799,1.0776,1,1,1.5,1.4809,0.0612,1.3638,1.6038,1,1,2,1.9132,0.0683,1.7834,2.0506,1,1,0.1,0.0962,0.0335,0.0472,0.1726,1,1,0.1,0.0828,0.0245,0.0456,0.1391,1,1,0.1,0.1058,0.0375,0.0506,0.1948,1,1,0.1,0.1046,0.0379,0.0501,0.1947,1,1,1,1.0495,0.0531,0.9495,1.1583,1,1,1,1.0147,0.0457,0.9301,1.1096,1,1,0.3,0.3492,0.033,0.2863,0.4158,1,1,0.3,0.3492,0.033,0.2863,0.4158,1,1
77,0,0.0882,0.049,-0.0077,0.1849,1,0,1,0.9208,0.0539,0.8156,1.0271,1,1,1,0.9725,0.0756,0.8257,1.1211,1,1,1.5,1.6273,0.0944,1.4421,1.8135,1,1,0.3,0.2991,0.0544,0.1849,0.3984,1,1,0.2,0.3166,0.0627,0.2051,0.4435,0,1,-0.15,-0.0911,0.0411,-0.178,-0.0126,1,1,0,0.0681,0.0384,-0.0046,0.143,1,0,1,0.7957,0.0581,0.6791,0.9076,0,1,1,0.9533,0.0596,0.8323,1.0647,1,1,1.5,1.5208,0.0624,1.4012,1.6465,1,1,2,1.9756,0.0729,1.8374,2.1231,1,1,0.1,0.0985,0.0364,0.048,0.188,1,1,0.1,0.1044,0.0418,0.0475,0.2112,1,1,0.1,0.1135,0.0451,0.0495,0.2199,1,1,0.1,0.1121,0.041,0.0523,0.205,1,1,1,1.0508,0.0506,0.9509,1.1496,1,1,1,1.0615,0.054,0.9641,1.1752,1,1,0.3,0.3765,0.0315,0.316,0.4395,0,1,0.3,0.3765,0.0315,0.316,0.4395,0,1
78,0,-0.0015,0.0551,-0.11,0.1067,1,0,1,1.0882,0.0545,0.9812,1.1943,1,1,1,0.914,0.0707,0.7749,1.0536,1,1,1.5,1.601,0.0926,1.4184,1.7825,1,1,0.3,0.3422,0.0526,0.2393,0.4399,1,1,0.2,0.1261,0.0493,0.0336,0.2295,1,1,-0.15,-0.117,0.0462,-0.2077,-0.0275,1,1,0,-0.0074,0.0418,-0.0916,0.0707,1,0,1,0.9907,0.0555,0.8812,1.0996,1,1,1,1.0334,0.0486,0.9376,1.1286,1,1,1.5,1.414,0.06,1.2983,1.5345,1,1,2,1.9747,0.0701,1.8409,2.1168,1,1,0.1,0.1277,0.0475,0.0555,0.23,1,1,0.1,0.115,0.0453,0.0515,0.229,1,1,0.1,0.1375,0.0524,0.0563,0.2532,1,1,0.1,0.0879,0.0301,0.044,0.1628,1,1,1,0.9852,0.0457,0.8992,1.077,1,1,1,0.9669,0.0438,0.885,1.0562,1,1,0.3,0.2641,0.0324,0.2013,0.3274,1,1,0.3,0.2641,0.0324,0.2013,0.3274,1,1
79,0,-6e-04,0.0548,-0.1083,0.1062,1,0,1,0.9338,0.0539,0.8285,1.0397,1,1,1,1.0335,0.0789,0.8784,1.1878,1,1,1.5,1.4715,0.0916,1.2914,1.6509,1,1,0.3,0.1906,0.0599,0.0772,0.3119,1,1,0.2,0.2019,0.0523,0.1034,0.3073,1,1,-0.15,-0.1699,0.0407,-0.2517,-0.092,1,1,0,-0.0273,0.0409,-0.1072,0.0525,1,0,1,1.0487,0.0521,0.9456,1.1496,1,1,1,1.0072,0.0506,0.9072,1.1055,1,1,1.5,1.6337,0.0621,1.5147,1.7578,0,1,2,1.9368,0.0692,1.8048,2.0758,1,1,0.1,0.1178,0.0465,0.0525,0.2237,1,1,0.1,0.1021,0.0356,0.051,0.1864,1,1,0.1,0.1107,0.0408,0.0549,0.208,1,1,0.1,0.1035,0.0364,0.0503,0.1902,1,1,1,0.9242,0.0469,0.8383,1.0216,1,1,1,0.978,0.0451,0.8935,1.0703,1,1,0.3,0.2526,0.03,0.1948,0.3116,1,1,0.3,0.2526,0.03,0.1948,0.3116,1,1
80,0,0.0515,0.0533,-0.0539,0.1557,1,0,1,1.0236,0.0545,0.9177,1.1318,1,1,1,0.978,0.0735,0.8336,1.1226,1,1,1.5,1.6192,0.0966,1.4283,1.8091,1,1,0.3,0.3049,0.0556,0.1928,0.4154,1,1,0.2,0.2108,0.0592,0.1006,0.3333,1,1,-0.15,-0.1454,0.0449,-0.2312,-0.0585,1,1,0,-0.0073,0.0432,-0.0917,0.0787,1,0,1,0.9489,0.0556,0.8382,1.0563,1,1,1,1.0297,0.0545,0.9204,1.1344,1,1,1.5,1.4848,0.0605,1.3688,1.6054,1,1,2,2.0623,0.0732,1.9231,2.2104,1,1,0.1,0.121,0.048,0.0517,0.229,1,1,0.1,0.1258,0.0519,0.0517,0.2445,1,1,0.1,0.1023,0.0399,0.0479,0.1971,1,1,0.1,0.1931,0.0669,0.0639,0.3141,1,1,1,0.9876,0.0512,0.8929,1.0935,1,1,1,0.991,0.0483,0.9023,1.0907,1,1,0.3,0.3129,0.0321,0.2509,0.3768,1,1,0.3,0.3129,0.0321,0.2509,0.3768,1,1
81,0,-0.0876,0.056,-0.1978,0.0226,1,0,1,1.0894,0.0506,0.9902,1.188,1,1,1,1.0244,0.0728,0.8811,1.1681,1,1,1.5,1.498,0.0911,1.3206,1.6775,1,1,0.3,0.3585,0.0554,0.2471,0.4652,1,1,0.2,0.1948,0.0557,0.0849,0.3095,1,1,-0.15,-0.1717,0.0408,-0.2515,-0.0902,1,1,0,-0.0371,0.0408,-0.1148,0.0423,1,0,1,0.9989,0.0586,0.8824,1.113,1,1,1,0.9251,0.0509,0.8235,1.0237,1,1,1.5,1.44,0.0609,1.3238,1.5628,1,1,2,1.9383,0.0695,1.8066,2.0792,1,1,0.1,0.0902,0.0294,0.0469,0.162,1,1,0.1,0.1259,0.0522,0.0504,0.2457,1,1,0.1,0.0921,0.0311,0.0464,0.1636,1,1,0.1,0.1138,0.0445,0.0516,0.2199,1,1,1,1.0278,0.0504,0.9314,1.1283,1,1,1,0.9767,0.0457,0.891,1.0698,1,1,0.3,0.2654,0.0308,0.2061,0.3267,1,1,0.3,0.2654,0.0308,0.2061,0.3267,1,1
82,0,-0.0514,0.0553,-0.1594,0.0571,1,0,1,0.895,0.0542,0.7891,1.0006,1,1,1,1.0571,0.0737,0.913,1.2017,1,1,1.5,1.3315,0.0942,1.1469,1.5181,1,1,0.3,0.3671,0.0586,0.2466,0.4826,1,1,0.2,0.2452,0.0539,0.1408,0.3502,1,1,-0.15,-0.1613,0.043,-0.2464,-0.0762,1,1,0,0.0214,0.0417,-0.0613,0.1022,1,0,1,0.9704,0.0595,0.8509,1.0847,1,1,1,1.0052,0.0516,0.9032,1.1057,1,1,1.5,1.4729,0.0632,1.3514,1.5985,1,1,2,2.0018,0.0719,1.8649,2.1471,1,1,0.1,0.1451,0.0554,0.0586,0.259,1,1,0.1,0.1029,0.0369,0.0497,0.1908,1,1,0.1,0.1014,0.0353,0.0506,0.1897,1,1,0.1,0.1437,0.0511,0.0604,0.2494,1,1,1,1.0105,0.0511,0.9133,1.1139,1,1,1,1.0167,0.0472,0.9285,1.1132,1,1,0.3,0.3325,0.0318,0.2713,0.3967,1,1,0.3,0.3325,0.0318,0.2713,0.3967,1,1
83,0,0.0528,0.0571,-0.0591,0.1643,1,0,1,0.9885,0.0549,0.8807,1.0954,1,1,1,1.0203,0.0733,0.8765,1.1638,1,1,1.5,1.4617,0.0903,1.2834,1.637,1,1,0.3,0.1988,0.0573,0.0802,0.3128,1,1,0.2,0.2139,0.0515,0.1123,0.3104,1,1,-0.15,-0.1644,0.043,-0.2511,-0.0806,1,1,0,0.0047,0.0404,-0.0725,0.0874,1,0,1,1.0981,0.0506,0.9989,1.1978,1,1,1,1.0363,0.0513,0.9345,1.137,1,1,1.5,1.5192,0.0589,1.4063,1.6368,1,1,2,1.9011,0.0686,1.7711,2.0401,1,1,0.1,0.1016,0.036,0.0502,0.1894,1,1,0.1,0.1059,0.0379,0.05,0.195,1,1,0.1,0.1682,0.0675,0.0603,0.3071,1,1,0.1,0.1164,0.0459,0.0525,0.2256,1,1,1,0.9237,0.0459,0.8362,1.0175,1,1,1,0.9894,0.0472,0.9015,1.0847,1,1,0.3,0.2841,0.0305,0.2256,0.345,1,1,0.3,0.2841,0.0305,0.2256,0.345,1,1
84,0,-0.0401,0.0547,-0.146,0.0688,1,0,1,0.9331,0.0546,0.8256,1.0397,1,1,1,1.021,0.0716,0.881,1.1614,1,1,1.5,1.569,0.0949,1.3817,1.7541,1,1,0.3,0.1663,0.0552,0.0623,0.2765,0,1,0.2,0.0923,0.052,-0.0019,0.2028,1,0,-0.15,-0.1396,0.0406,-0.2215,-0.0623,1,1,0,-0.0041,0.044,-0.0963,0.0797,1,0,1,1.0464,0.0503,0.9472,1.1455,1,1,1,1.0624,0.0471,0.9703,1.1557,1,1,1.5,1.4612,0.0569,1.3521,1.5755,1,1,2,2.0344,0.07,1.9005,2.1752,1,1,0.1,0.0954,0.0333,0.0475,0.1746,1,1,0.1,0.1191,0.0504,0.051,0.2422,1,1,0.1,0.1103,0.0411,0.0516,0.208,1,1,0.1,0.1082,0.041,0.0521,0.2057,1,1,1,0.9449,0.0458,0.8598,1.0389,1,1,1,0.9269,0.042,0.8491,1.0145,1,1,0.3,0.3144,0.0308,0.2563,0.3767,1,1,0.3,0.3144,0.0308,0.2563,0.3767,1,1
85,0,-0.0322,0.0536,-0.1377,0.0725,1,0,1,1.0184,0.0514,0.9176,1.1205,1,1,1,1.0277,0.0718,0.887,1.1683,1,1,1.5,1.6235,0.087,1.4539,1.7952,1,1,0.3,0.389,0.0477,0.3018,0.4797,0,1,0.2,0.1589,0.0587,0.0392,0.2773,1,1,-0.15,-0.142,0.0419,-0.2261,-0.0593,1,1,0,-0.0199,0.0415,-0.1003,0.0582,1,0,1,0.9226,0.0603,0.8005,1.0378,1,1,1,0.9764,0.0502,0.8763,1.0742,1,1,1.5,1.4035,0.0611,1.2858,1.5256,1,1,2,1.856,0.0665,1.7294,1.9905,0,1,0.1,0.0915,0.0295,0.0479,0.1606,1,1,0.1,0.1307,0.0525,0.0541,0.248,1,1,0.1,0.1709,0.0586,0.0693,0.2882,1,1,0.1,0.0975,0.0321,0.0514,0.1733,1,1,1,1.0689,0.0483,0.9787,1.1679,1,1,1,0.8944,0.0472,0.8054,0.9901,0,1,0.3,0.2946,0.0319,0.233,0.3578,1,1,0.3,0.2946,0.0319,0.233,0.3578,1,1
