"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
11,0,-0.0775,0.1313,-0.3346,0.1789,1,0,1,0.9825,0.1252,0.7379,1.2291,1,1,1,1.0307,0.1651,0.7065,1.3525,1,1,1.5,1.2544,0.2116,0.8384,1.6737,1,1,0.3,0.1825,0.1232,-0.0575,0.4246,1,0,0.2,0.3159,0.1063,0.1061,0.5168,1,1,-0.15,-0.145,0.0871,-0.3204,0.0238,1,0,0,0.0867,0.0913,-0.0928,0.2683,1,0,1,1.1397,0.118,0.9123,1.3796,1,1,1,1.0095,0.1146,0.7842,1.2376,1,1,1.5,1.5125,0.13,1.2714,1.7835,1,1,2,1.9964,0.1612,1.7038,2.3338,1,1,0.1,0.2168,0.1104,0.0584,0.4472,1,1,0.1,0.112,0.0503,0.0492,0.2386,1,1,0.1,0.1183,0.055,0.0504,0.2616,1,1,0.1,0.1209,0.056,0.0518,0.2628,1,1,1,0.8594,0.091,0.7024,1.0575,1,1,1,0.9467,0.0941,0.7763,1.1436,1,1,0.3,0.2405,0.0647,0.1182,0.3714,1,1,0.3,0.2405,0.0647,0.1182,0.3714,1,1
12,0,-0.0682,0.1131,-0.2908,0.1541,1,0,1,0.9576,0.1083,0.7468,1.1706,1,1,1,0.8293,0.1458,0.5433,1.1155,1,1,1.5,1.1637,0.2002,0.7677,1.5602,1,1,0.3,-0.0244,0.1185,-0.2361,0.2174,0,0,0.2,0.1176,0.1151,-0.1122,0.3444,1,0,-0.15,-0.1218,0.1004,-0.3233,0.0774,1,0,0,0.0484,0.0829,-0.1173,0.2055,1,0,1,0.9921,0.0985,0.8027,1.1917,1,1,1,0.8737,0.104,0.6687,1.0804,1,1,1.5,1.3401,0.1162,1.1261,1.5807,1,1,2,1.905,0.1525,1.629,2.2254,1,1,0.1,0.1141,0.0515,0.0503,0.2484,1,1,0.1,0.1205,0.0564,0.0506,0.2634,1,1,0.1,0.2071,0.108,0.0603,0.445,1,1,0.1,0.1298,0.0639,0.0516,0.2933,1,1,1,0.8725,0.0941,0.7116,1.0793,1,1,1,0.9617,0.1016,0.7841,1.178,1,1,0.3,0.32,0.0652,0.1994,0.4524,1,1,0.3,0.32,0.0652,0.1994,0.4524,1,1
13,0,-0.0081,0.1213,-0.2463,0.2309,1,0,1,1.0883,0.1175,0.8589,1.3185,1,1,1,0.9352,0.1645,0.6127,1.2583,1,1,1.5,1.3866,0.2194,0.9559,1.8152,1,1,0.3,0.3399,0.1054,0.1204,0.5352,1,1,0.2,0.1285,0.1072,-0.0683,0.344,1,0,-0.15,-0.153,0.0927,-0.3383,0.0201,1,0,0,-0.0105,0.0855,-0.1762,0.1584,1,0,1,0.9338,0.1223,0.689,1.1727,1,1,1,0.9959,0.1042,0.7955,1.2054,1,1,1.5,1.4592,0.1347,1.2102,1.7393,1,1,2,2.1008,0.1643,1.8037,2.4468,1,1,0.1,0.1244,0.0579,0.0512,0.2732,1,1,0.1,0.1072,0.0467,0.0499,0.2282,1,1,0.1,0.1283,0.0626,0.0502,0.2876,1,1,0.1,0.1091,0.0469,0.0495,0.2294,1,1,1,1.0128,0.0969,0.835,1.2118,1,1,1,0.939,0.0973,0.7712,1.1507,1,1,0.3,0.2899,0.0683,0.1612,0.428,1,1,0.3,0.2899,0.0683,0.1612,0.428,1,1
14,0,-0.2676,0.1239,-0.5109,-0.0252,0,1,1,1.0366,0.1147,0.8112,1.2613,1,1,1,1.2096,0.1828,0.8513,1.5667,1,1,1.5,0.8843,0.2263,0.4424,1.3285,0,1,0.3,0.3545,0.1283,0.0923,0.5875,1,1,0.2,0.2201,0.1029,0.0235,0.4233,1,1,-0.15,-0.0646,0.0867,-0.2352,0.1035,1,0,0,0.1021,0.0838,-0.0635,0.2616,1,0,1,0.9379,0.1329,0.6716,1.1934,1,1,1,0.9083,0.1099,0.6934,1.1255,1,1,1.5,1.6436,0.1517,1.3626,1.9571,1,1,2,2.1599,0.1698,1.8556,2.5164,1,1,0.1,0.1138,0.0517,0.0506,0.2456,1,1,0.1,0.1073,0.0475,0.0487,0.2337,1,1,0.1,0.1249,0.0616,0.0504,0.2858,1,1,0.1,0.1355,0.0682,0.0516,0.3075,1,1,1,1.0423,0.1159,0.8278,1.2812,1,1,1,1.0449,0.0999,0.8658,1.2555,1,1,0.3,0.3397,0.0689,0.2081,0.4783,1,1,0.3,0.3397,0.0689,0.2081,0.4783,1,1
15,0,0.0236,0.1256,-0.2227,0.2695,1,0,1,1.1382,0.1319,0.8795,1.3995,1,1,1,0.7238,0.1698,0.3898,1.0552,1,1,1.5,1.4449,0.1751,1.1024,1.7913,1,1,0.3,0.1244,0.1395,-0.1289,0.4139,1,0,0.2,0.1934,0.122,-0.0406,0.4288,1,0,-0.15,-0.1209,0.106,-0.326,0.0838,1,0,0,0.0351,0.1004,-0.1715,0.2322,1,0,1,1.0816,0.1167,0.8513,1.311,1,1,1,1.1348,0.1216,0.9002,1.3779,1,1,1.5,1.577,0.1374,1.3173,1.858,1,1,2,1.6113,0.1405,1.3487,1.901,0,1,0.1,0.1142,0.0526,0.0499,0.2497,1,1,0.1,0.1308,0.0672,0.0518,0.3074,1,1,0.1,0.129,0.0659,0.0525,0.302,1,1,0.1,0.1896,0.1039,0.058,0.4303,1,1,1,0.8786,0.1157,0.6825,1.1323,1,1,1,0.9879,0.1133,0.7928,1.2328,1,1,0.3,0.2782,0.0786,0.1347,0.4419,1,1,0.3,0.2782,0.0786,0.1347,0.4419,1,1
16,0,0.1527,0.1055,-0.0562,0.3587,1,0,1,1.2864,0.1257,1.0388,1.5346,0,1,1,0.9434,0.1721,0.6055,1.2829,1,1,1.5,1.5592,0.1812,1.2049,1.9155,1,1,0.3,0.3299,0.1127,0.0989,0.5347,1,1,0.2,0.2026,0.1015,0.0038,0.3993,1,1,-0.15,-0.2037,0.0963,-0.3953,-0.0179,1,1,0,-0.047,0.0709,-0.195,0.0894,1,0,1,0.7853,0.1156,0.5595,1.0132,1,1,1,1.028,0.1156,0.8044,1.2597,1,1,1.5,1.5638,0.1381,1.307,1.8484,1,1,2,1.6684,0.1426,1.4046,1.9646,0,1,0.1,0.1112,0.0513,0.0496,0.2472,1,1,0.1,0.1255,0.0576,0.0521,0.2711,1,1,0.1,0.1845,0.102,0.0568,0.4292,1,1,0.1,0.1058,0.0438,0.0496,0.218,1,1,1,0.9124,0.0915,0.7436,1.1017,1,1,1,1.0557,0.1034,0.8721,1.2775,1,1,0.3,0.2271,0.0634,0.1069,0.3549,1,1,0.3,0.2271,0.0634,0.1069,0.3549,1,1
17,0,-0.0046,0.1333,-0.2661,0.2525,1,0,1,0.9924,0.1184,0.7628,1.2252,1,1,1,1.0242,0.1874,0.6559,1.3933,1,1,1.5,1.5848,0.211,1.171,1.9984,1,1,0.3,0.2201,0.1387,-0.0549,0.4835,1,0,0.2,0.21,0.1196,-0.0244,0.4386,1,0,-0.15,-0.1666,0.1013,-0.363,0.0268,1,0,0,0.0474,0.0901,-0.128,0.2262,1,0,1,1.1575,0.1164,0.9373,1.3968,1,1,1,0.9674,0.1185,0.7301,1.1973,1,1,1.5,1.7658,0.1522,1.4813,2.0772,1,1,2,2.0036,0.1593,1.7122,2.3368,1,1,0.1,0.1465,0.0768,0.0537,0.3467,1,1,0.1,0.1093,0.047,0.0491,0.2304,1,1,0.1,0.1521,0.0773,0.0536,0.3422,1,1,0.1,0.1091,0.0456,0.0491,0.2241,1,1,1,0.8642,0.1017,0.6854,1.0835,1,1,1,1.0079,0.1103,0.8132,1.2465,1,1,0.3,0.2884,0.0705,0.1579,0.4312,1,1,0.3,0.2884,0.0705,0.1579,0.4312,1,1
18,0,0.0198,0.1341,-0.2457,0.2827,1,0,1,1.022,0.1209,0.7847,1.2593,1,1,1,0.6466,0.1788,0.2943,0.9949,0,1,1.5,1.6464,0.2208,1.2085,2.0771,1,1,0.3,0.2719,0.1106,0.0575,0.4759,1,1,0.2,0.2234,0.1117,0.0089,0.4445,1,1,-0.15,-0.058,0.1007,-0.2608,0.1323,1,0,0,0.0592,0.0815,-0.0949,0.2209,1,0,1,1.1328,0.116,0.9132,1.3693,1,1,1,0.974,0.1154,0.7492,1.2045,1,1,1.5,1.6397,0.1394,1.3832,1.9295,1,1,2,2.0873,0.1691,1.7791,2.4457,1,1,0.1,0.1145,0.0513,0.0496,0.2478,1,1,0.1,0.105,0.0427,0.0483,0.2125,1,1,0.1,0.1218,0.0598,0.0506,0.2822,1,1,0.1,0.1222,0.0587,0.0511,0.2755,1,1,1,0.9308,0.0903,0.7684,1.1194,1,1,1,1.0909,0.1064,0.9009,1.3181,1,1,0.3,0.3461,0.0685,0.2168,0.4851,1,1,0.3,0.3461,0.0685,0.2168,0.4851,1,1
19,0,-0.0931,0.1108,-0.3107,0.1217,1,0,1,0.9426,0.1192,0.7044,1.1749,1,1,1,1.19,0.16,0.8756,1.5037,1,1,1.5,1.2601,0.1817,0.9062,1.6139,1,1,0.3,0.2944,0.1145,0.0731,0.5071,1,1,0.2,0.1006,0.1057,-0.0981,0.3184,1,0,-0.15,-0.2254,0.0944,-0.4073,-0.0433,1,1,0,-0.0887,0.0882,-0.2557,0.0887,1,0,1,0.8526,0.1201,0.6128,1.0863,1,1,1,1.0193,0.1067,0.8122,1.2334,1,1,1.5,1.4279,0.1339,1.1787,1.7029,1,1,2,1.7099,0.1397,1.4553,2.0039,1,1,0.1,0.1424,0.0726,0.0524,0.3259,1,1,0.1,0.1077,0.0462,0.0484,0.2272,1,1,0.1,0.1181,0.0539,0.0499,0.2552,1,1,0.1,0.1322,0.0654,0.0539,0.3008,1,1,1,0.9864,0.1012,0.8035,1.1994,1,1,1,0.9383,0.0957,0.7723,1.1463,1,1,0.3,0.2361,0.0697,0.1057,0.3785,1,1,0.3,0.2361,0.0697,0.1057,0.3785,1,1
20,0,0.0977,0.1176,-0.1344,0.3305,1,0,1,0.9296,0.1201,0.6916,1.1646,1,1,1,1.1608,0.1801,0.8081,1.5118,1,1,1.5,1.1436,0.2249,0.7013,1.5862,1,1,0.3,0.46,0.0947,0.2673,0.6436,1,1,0.2,0.2461,0.134,-0.0224,0.4962,1,0,-0.15,-0.2659,0.0879,-0.4275,-0.0907,1,1,0,-0.1984,0.0837,-0.3543,-0.0278,0,1,1,0.8343,0.1295,0.5848,1.0923,1,1,1,0.9717,0.1354,0.6987,1.2315,1,1,1.5,1.6028,0.1466,1.3335,1.9076,1,1,2,2.1341,0.1718,1.8206,2.4944,1,1,0.1,0.1158,0.0523,0.0499,0.249,1,1,0.1,0.1278,0.0621,0.0525,0.2904,1,1,0.1,0.1209,0.0587,0.0493,0.277,1,1,0.1,0.1396,0.0712,0.0532,0.3195,1,1,1,1.0235,0.0939,0.8497,1.2167,1,1,1,0.9683,0.1126,0.7672,1.2036,1,1,0.3,0.1436,0.0642,0.0218,0.2749,0,1,0.3,0.1436,0.0642,0.0218,0.2749,0,1
21,0,0.0414,0.1351,-0.2223,0.3072,1,0,1,1.05,0.1175,0.8194,1.2811,1,1,1,1.2523,0.136,0.9881,1.5192,1,1,1.5,1.5885,0.2204,1.1563,2.021,1,1,0.3,0.531,0.0859,0.3532,0.688,0,1,0.2,-0.0078,0.1071,-0.2155,0.2109,1,0,-0.15,-0.0347,0.082,-0.192,0.1272,1,0,0,-0.0213,0.0937,-0.1995,0.1628,1,0,1,0.9975,0.1366,0.7284,1.266,1,1,1,1.0437,0.0984,0.8591,1.2473,1,1,1.5,0.9964,0.1431,0.7189,1.2789,0,1,2,2.1423,0.1614,1.8504,2.4825,1,1,0.1,0.12,0.0525,0.0504,0.2513,1,1,0.1,0.1169,0.0537,0.0509,0.2551,1,1,0.1,0.109,0.0454,0.0502,0.2225,1,1,0.1,0.1367,0.0711,0.0529,0.3257,1,1,1,1.1916,0.1038,0.9993,1.4066,1,1,1,0.8371,0.0835,0.6904,1.0183,1,1,0.3,0.3874,0.0709,0.2537,0.5309,1,1,0.3,0.3874,0.0709,0.2537,0.5309,1,1
22,0,-0.004,0.1042,-0.2093,0.1997,1,0,1,1.2098,0.1207,0.974,1.4452,1,1,1,0.6165,0.1793,0.2651,0.9688,0,1,1.5,1.2854,0.2108,0.8698,1.6978,1,1,0.3,0.2309,0.1178,-0.0082,0.4556,1,0,0.2,0.3024,0.1154,0.086,0.5261,1,1,-0.15,-0.2935,0.0887,-0.4676,-0.1225,1,1,0,0.0036,0.0874,-0.1643,0.1779,1,0,1,0.7863,0.1077,0.5716,0.9968,0,1,1,0.9472,0.129,0.6821,1.1962,1,1,1.5,1.6596,0.145,1.3906,1.9611,1,1,2,1.9488,0.1638,1.6467,2.2907,1,1,0.1,0.113,0.0485,0.05,0.2376,1,1,0.1,0.1188,0.0534,0.0504,0.2536,1,1,0.1,0.1054,0.0441,0.0491,0.2166,1,1,0.1,0.1929,0.0956,0.0585,0.4078,1,1,1,0.9588,0.1079,0.7629,1.1822,1,1,1,1.1152,0.1121,0.9166,1.3549,1,1,0.3,0.2747,0.0685,0.1437,0.4133,1,1,0.3,0.2747,0.0685,0.1437,0.4133,1,1
23,0,0.0793,0.1142,-0.1448,0.3019,1,0,1,0.9945,0.129,0.7422,1.2484,1,1,1,1.3231,0.1773,0.9788,1.6723,1,1,1.5,1.6279,0.2191,1.1962,2.0565,1,1,0.3,0.1876,0.1238,-0.0496,0.4338,1,0,0.2,0.1692,0.1198,-0.0445,0.4113,1,0,-0.15,-0.262,0.0913,-0.4401,-0.0801,1,1,0,-0.0614,0.1013,-0.2592,0.1416,1,0,1,0.9209,0.116,0.6923,1.1477,1,1,1,1.1247,0.114,0.9033,1.3526,1,1,1.5,1.6493,0.1416,1.3875,1.9441,1,1,2,2.0996,0.1647,1.8041,2.4427,1,1,0.1,0.1099,0.0463,0.0504,0.2272,1,1,0.1,0.1108,0.0504,0.0498,0.2415,1,1,0.1,0.1846,0.0915,0.0582,0.3939,1,1,0.1,0.1239,0.0595,0.0505,0.2771,1,1,1,0.9706,0.1071,0.7795,1.1974,1,1,1,0.8555,0.0966,0.6871,1.0644,1,1,0.3,0.1812,0.0651,0.0546,0.3103,1,1,0.3,0.1812,0.0651,0.0546,0.3103,1,1
24,0,-0.1008,0.1098,-0.3168,0.1131,1,0,1,0.9678,0.1219,0.728,1.2069,1,1,1,0.7657,0.1695,0.4332,1.0983,1,1,1.5,1.3437,0.2183,0.9112,1.7709,1,1,0.3,0.0601,0.1229,-0.1879,0.3009,1,0,0.2,0.3163,0.109,0.0916,0.5222,1,1,-0.15,-0.1412,0.1024,-0.3421,0.0601,1,0,0,0.1234,0.0888,-0.0598,0.2999,1,0,1,0.905,0.1032,0.7013,1.1089,1,1,1,0.9351,0.1188,0.7027,1.1704,1,1,1.5,1.5826,0.133,1.3384,1.8643,1,1,2,2.0462,0.1685,1.7375,2.397,1,1,0.1,0.1197,0.0568,0.0504,0.2676,1,1,0.1,0.1277,0.0653,0.0512,0.2988,1,1,0.1,0.1644,0.0894,0.0556,0.3845,1,1,0.1,0.1091,0.0473,0.0497,0.2328,1,1,1,0.8988,0.0965,0.7271,1.1055,1,1,1,1.1449,0.1166,0.932,1.3887,1,1,0.3,0.3934,0.0755,0.2529,0.5507,1,1,0.3,0.3934,0.0755,0.2529,0.5507,1,1
25,0,-0.1576,0.1227,-0.3993,0.0835,1,0,1,0.9319,0.111,0.713,1.1503,1,1,1,1.2607,0.1592,0.9465,1.5733,1,1,1.5,1.0869,0.2097,0.6766,1.5023,1,1,0.3,0.201,0.1111,-0.0224,0.4205,1,0,0.2,0.3575,0.1331,0.0788,0.6033,1,1,-0.15,-0.2892,0.0931,-0.4723,-0.104,1,1,0,0.0183,0.0883,-0.1533,0.1906,1,0,1,1.0105,0.1102,0.7967,1.2341,1,1,1,0.782,0.135,0.516,1.0389,1,1,1.5,1.4389,0.1308,1.1954,1.7084,1,1,2,1.9456,0.164,1.6408,2.2853,1,1,0.1,0.1066,0.0469,0.0491,0.2276,1,1,0.1,0.112,0.0501,0.0489,0.2416,1,1,0.1,0.1282,0.0649,0.0524,0.298,1,1,0.1,0.1242,0.0578,0.0526,0.2739,1,1,1,0.9848,0.1,0.8048,1.199,1,1,1,1.0892,0.12,0.8675,1.3332,1,1,0.3,0.2791,0.0716,0.1434,0.4246,1,1,0.3,0.2791,0.0716,0.1434,0.4246,1,1
26,0,-0.0683,0.1132,-0.2891,0.1516,1,0,1,0.7992,0.1147,0.5732,1.0237,1,1,1,1.0478,0.165,0.7271,1.3736,1,1,1.5,1.4913,0.2248,1.0505,1.9307,1,1,0.3,0.376,0.1017,0.1748,0.5653,1,1,0.2,0.3667,0.1089,0.1417,0.5684,1,1,-0.15,-0.1873,0.0871,-0.3532,-0.0156,1,1,0,-0.0804,0.0776,-0.2362,0.0664,1,0,1,0.8465,0.1149,0.6226,1.0738,1,1,1,0.8211,0.1294,0.5618,1.0725,1,1,1.5,1.4667,0.1403,1.2057,1.7576,1,1,2,2.0955,0.173,1.7814,2.4565,1,1,0.1,0.1252,0.0585,0.0499,0.2697,1,1,0.1,0.115,0.053,0.0496,0.2499,1,1,0.1,0.1222,0.0591,0.051,0.2765,1,1,0.1,0.1253,0.0604,0.0501,0.2839,1,1,1,0.9619,0.0921,0.792,1.152,1,1,1,1.1164,0.1065,0.9211,1.3374,1,1,0.3,0.2396,0.0631,0.1181,0.3651,1,1,0.3,0.2396,0.0631,0.1181,0.3651,1,1
27,0,-0.2542,0.143,-0.5374,0.0251,1,0,1,1.0044,0.1309,0.7464,1.2612,1,1,1,1.0936,0.1561,0.7896,1.3995,1,1,1.5,1.3237,0.2062,0.9169,1.7318,1,1,0.3,0.4146,0.1117,0.1874,0.619,1,1,0.2,0.1521,0.1247,-0.0794,0.4049,1,0,-0.15,-0.0708,0.0976,-0.2633,0.1167,1,0,0,-0.0507,0.0924,-0.2314,0.121,1,0,1,1.1678,0.1321,0.9164,1.435,1,1,1,1.1065,0.1214,0.8659,1.3455,1,1,1.5,1.3236,0.1393,1.0567,1.6045,1,1,2,1.9288,0.1571,1.6427,2.258,1,1,0.1,0.1044,0.0418,0.0497,0.2084,1,1,0.1,0.1413,0.0734,0.0514,0.3293,1,1,0.1,0.1258,0.0598,0.0515,0.2795,1,1,0.1,0.114,0.0503,0.0495,0.2393,1,1,1,1.0775,0.1063,0.8819,1.299,1,1,1,1.0854,0.1211,0.8783,1.3526,1,1,0.3,0.3536,0.0804,0.2007,0.5155,1,1,0.3,0.3536,0.0804,0.2007,0.5155,1,1
28,0,-0.0577,0.1252,-0.3033,0.1912,1,0,1,0.9995,0.1151,0.7725,1.2247,1,1,1,0.8072,0.163,0.4883,1.1293,1,1,1.5,0.9357,0.2125,0.5174,1.3539,0,1,0.3,0.2784,0.1229,0.0377,0.5103,1,1,0.2,0.1898,0.1158,-0.0295,0.4119,1,0,-0.15,-0.2638,0.0982,-0.4601,-0.0673,1,1,0,-0.0083,0.0899,-0.1767,0.1725,1,0,1,1.06,0.1142,0.8413,1.2909,1,1,1,0.9409,0.1167,0.7044,1.1674,1,1,1.5,1.4774,0.1333,1.2292,1.7532,1,1,2,2.0082,0.1601,1.7167,2.3453,1,1,0.1,0.1173,0.0529,0.0505,0.2513,1,1,0.1,0.1289,0.0652,0.0511,0.302,1,1,0.1,0.1312,0.0688,0.0506,0.3158,1,1,0.1,0.1105,0.0486,0.0494,0.2315,1,1,1,0.878,0.0947,0.71,1.0768,1,1,1,0.9647,0.1017,0.7846,1.1815,1,1,0.3,0.2454,0.0653,0.1218,0.3784,1,1,0.3,0.2454,0.0653,0.1218,0.3784,1,1
29,0,0.0212,0.127,-0.2299,0.2717,1,0,1,0.7167,0.1374,0.4493,0.9899,0,1,1,0.934,0.168,0.6048,1.265,1,1,1.5,1.6361,0.2087,1.2265,2.0455,1,1,0.3,0.2326,0.1112,0.0162,0.4304,1,1,0.2,0.2216,0.1213,9e-04,0.4679,1,1,-0.15,-0.2408,0.0947,-0.4151,-0.0425,1,1,0,0.0184,0.0876,-0.1521,0.1868,1,0,1,1.0387,0.1209,0.8034,1.2798,1,1,1,1.1799,0.1215,0.9441,1.4268,1,1,1.5,1.5027,0.1369,1.2485,1.7865,1,1,2,1.9775,0.1599,1.6855,2.3112,1,1,0.1,0.1014,0.0411,0.0483,0.2047,1,1,0.1,0.1074,0.0482,0.049,0.2336,1,1,0.1,0.1001,0.0378,0.0485,0.1933,1,1,0.1,0.1165,0.0541,0.0502,0.26,1,1,1,1.1204,0.1129,0.9164,1.353,1,1,1,1.0527,0.1136,0.8562,1.3004,1,1,0.3,0.3316,0.0787,0.1881,0.4939,1,1,0.3,0.3316,0.0787,0.1881,0.4939,1,1
30,0,-0.0705,0.1301,-0.3241,0.1838,1,0,1,0.9675,0.1183,0.7322,1.1989,1,1,1,1.0667,0.1721,0.7301,1.4021,1,1,1.5,1.1036,0.2288,0.6518,1.5534,1,1,0.3,0.2678,0.1076,0.0505,0.4656,1,1,0.2,0.1987,0.1066,-0.0048,0.4101,1,0,-0.15,0.0015,0.0992,-0.2002,0.193,1,0,0,0.1134,0.0838,-0.0531,0.2766,1,0,1,1.0827,0.1148,0.8655,1.3164,1,1,1,0.9404,0.1138,0.7179,1.1662,1,1,1.5,1.5563,0.1403,1.297,1.8461,1,1,2,2.1587,0.1718,1.8499,2.521,1,1,0.1,0.1017,0.0401,0.0489,0.2011,1,1,0.1,0.126,0.0586,0.053,0.2782,1,1,0.1,0.1579,0.0859,0.0534,0.3739,1,1,0.1,0.1038,0.0418,0.0489,0.2087,1,1,1,0.9928,0.0948,0.8209,1.1919,1,1,1,1.0669,0.1064,0.8761,1.2917,1,1,0.3,0.3666,0.0708,0.2301,0.5079,1,1,0.3,0.3666,0.0708,0.2301,0.5079,1,1
31,0,0.0866,0.1249,-0.1604,0.3307,1,0,1,1.0493,0.1212,0.8098,1.288,1,1,1,1.3378,0.1755,0.9965,1.6862,1,1,1.5,1.503,0.1925,1.1244,1.879,1,1,0.3,0.3268,0.1066,0.1248,0.5415,1,1,0.2,0.1904,0.1116,-0.0143,0.4274,1,0,-0.15,-0.0671,0.0916,-0.2513,0.1086,1,0,0,0.0834,0.089,-0.0958,0.2516,1,0,1,1.01,0.1198,0.7762,1.2484,1,1,1,1.0139,0.1123,0.7925,1.2361,1,1,1.5,1.5886,0.144,1.3213,1.8859,1,1,2,1.8155,0.1506,1.5405,2.1278,1,1,0.1,0.1051,0.0418,0.0492,0.2102,1,1,0.1,0.1246,0.0596,0.052,0.2824,1,1,0.1,0.1026,0.0402,0.0483,0.2039,1,1,0.1,0.2356,0.1016,0.0658,0.4364,1,1,1,0.955,0.0998,0.777,1.1655,1,1,1,0.9921,0.1033,0.8129,1.2187,1,1,0.3,0.3127,0.0703,0.1786,0.4532,1,1,0.3,0.3127,0.0703,0.1786,0.4532,1,1
