"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
1,0,-0.1303,0.126,-0.3764,0.116,1,0,1,1.1238,0.1249,0.8776,1.3667,1,1,1,0.8521,0.1738,0.5096,1.1899,1,1,1.5,1.3338,0.1843,0.9712,1.6922,1,1,0.3,0.2391,0.1002,0.0454,0.4316,1,1,0.2,0.2021,0.1005,-0.0136,0.39,1,0,-0.15,-0.1976,0.0806,-0.3557,-0.0348,1,1,0,-0.0033,0.0855,-0.1755,0.1647,1,0,1,1.0049,0.1192,0.7735,1.2418,1,1,1,1.052,0.1111,0.839,1.2773,1,1,1.5,1.5587,0.1416,1.2942,1.8515,1,1,2,1.7086,0.1408,1.4535,2.0043,1,1,0.1,0.1051,0.0423,0.0502,0.2131,1,1,0.1,0.1379,0.0665,0.0533,0.3023,1,1,0.1,0.1345,0.0652,0.0531,0.2988,1,1,0.1,0.1059,0.045,0.0497,0.2242,1,1,1,1.1987,0.1127,0.997,1.4388,1,1,1,0.9863,0.0931,0.8172,1.1836,1,1,0.3,0.3268,0.0705,0.194,0.469,1,1,0.3,0.3268,0.0705,0.194,0.469,1,1
2,0,0.1185,0.1275,-0.1331,0.3673,1,0,1,0.8809,0.1343,0.6163,1.1426,1,1,1,1.4273,0.1567,1.1193,1.7331,0,1,1.5,1.6511,0.2042,1.2477,2.0483,1,1,0.3,0.3184,0.1231,0.064,0.5425,1,1,0.2,0.232,0.1314,-0.0157,0.4898,1,0,-0.15,-0.1496,0.1092,-0.3687,0.0536,1,0,0,-0.0833,0.0956,-0.272,0.105,1,0,1,1.0239,0.1276,0.7706,1.2759,1,1,1,1.1439,0.1227,0.9063,1.3901,1,1,1.5,1.3768,0.1343,1.1219,1.6537,1,1,2,1.9071,0.158,1.6163,2.237,1,1,0.1,0.1702,0.0955,0.0533,0.4027,1,1,0.1,0.1671,0.0855,0.0566,0.3655,1,1,0.1,0.1283,0.0651,0.0503,0.2952,1,1,0.1,0.1856,0.1048,0.0557,0.4346,1,1,1,1.0235,0.1174,0.8106,1.2707,1,1,1,0.9856,0.1074,0.7991,1.2201,1,1,0.3,0.3081,0.0774,0.1644,0.4668,1,1,0.3,0.3081,0.0774,0.1644,0.4668,1,1
3,0,0.0168,0.1187,-0.2152,0.2498,1,0,1,1.1013,0.1299,0.8463,1.3587,1,1,1,0.9645,0.1766,0.6189,1.3116,1,1,1.5,1.3549,0.212,0.9366,1.7698,1,1,0.3,0.3924,0.1136,0.1469,0.5907,1,1,0.2,0.1098,0.0992,-0.0739,0.3166,1,0,-0.15,-0.2313,0.0921,-0.4156,-0.0565,1,1,0,0.0235,0.0883,-0.1492,0.2024,1,0,1,0.8751,0.1279,0.6269,1.1289,1,1,1,1.1445,0.109,0.9379,1.3671,1,1,1.5,1.5799,0.1497,1.3002,1.889,1,1,2,2.0399,0.1565,1.7566,2.3689,1,1,0.1,0.1668,0.0811,0.0565,0.3541,1,1,0.1,0.122,0.0588,0.0513,0.2788,1,1,0.1,0.1109,0.0487,0.0507,0.2363,1,1,0.1,0.1284,0.0618,0.0524,0.2882,1,1,1,1.0712,0.1099,0.8651,1.2943,1,1,1,0.9403,0.0882,0.7836,1.1277,1,1,0.3,0.3311,0.0733,0.1925,0.4806,1,1,0.3,0.3311,0.0733,0.1925,0.4806,1,1
4,0,0.068,0.1244,-0.1751,0.3131,1,0,1,0.9821,0.1207,0.7455,1.2185,1,1,1,1.1424,0.1627,0.8237,1.4618,1,1,1.5,1.3764,0.1904,1.0048,1.7538,1,1,0.3,0.4024,0.102,0.2011,0.5958,1,1,0.2,0.2379,0.1125,0.0293,0.4713,1,1,-0.15,-0.0707,0.0864,-0.2439,0.0983,1,0,0,-0.0179,0.0908,-0.1929,0.1569,1,0,1,0.9193,0.1279,0.667,1.1722,1,1,1,1.002,0.1155,0.7735,1.2307,1,1,1.5,1.4113,0.1409,1.1458,1.7007,1,1,2,1.779,0.148,1.5062,2.0892,1,1,0.1,0.1167,0.0558,0.0489,0.2614,1,1,0.1,0.1072,0.0458,0.0482,0.2238,1,1,0.1,0.1751,0.0917,0.0535,0.3906,1,1,0.1,0.1187,0.0596,0.0506,0.2771,1,1,1,1.092,0.1023,0.9053,1.3052,1,1,1,0.9352,0.1008,0.7569,1.1526,1,1,0.3,0.2949,0.0669,0.1675,0.4307,1,1,0.3,0.2949,0.0669,0.1675,0.4307,1,1
5,0,0.0156,0.1245,-0.2305,0.2585,1,0,1,1.2235,0.1299,0.9671,1.478,1,1,1,1.2948,0.173,0.9548,1.6312,1,1,1.5,1.6615,0.1993,1.2686,2.0491,1,1,0.3,0.268,0.1169,0.0377,0.4908,1,1,0.2,0.2359,0.1189,0.0133,0.4723,1,1,-0.15,-0.0987,0.1005,-0.3099,0.0843,1,0,0,0.0294,0.0832,-0.1465,0.1828,1,0,1,1.0083,0.1195,0.7777,1.2456,1,1,1,1.0787,0.1208,0.8437,1.3205,1,1,1.5,1.5536,0.139,1.2949,1.8409,1,1,2,1.865,0.155,1.5819,2.189,1,1,0.1,0.1165,0.0515,0.0507,0.2482,1,1,0.1,0.1272,0.0606,0.0524,0.2793,1,1,0.1,0.1098,0.0483,0.0496,0.2316,1,1,0.1,0.1202,0.0553,0.0502,0.2662,1,1,1,1.0082,0.1018,0.8232,1.2207,1,1,1,1.0657,0.1097,0.87,1.3003,1,1,0.3,0.3556,0.0708,0.2213,0.4993,1,1,0.3,0.3556,0.0708,0.2213,0.4993,1,1
6,0,-0.1109,0.1309,-0.3684,0.1465,1,0,1,0.8799,0.1282,0.6279,1.1319,1,1,1,1.0487,0.1562,0.7421,1.3554,1,1,1.5,1.3081,0.2442,0.8286,1.7843,1,1,0.3,0.3486,0.1024,0.1405,0.5416,1,1,0.2,0.206,0.1374,-0.0435,0.4758,1,0,-0.15,0.0905,0.1008,-0.1056,0.2864,0,0,0,0.1766,0.0833,0.0146,0.3399,0,1,1,1.04,0.1203,0.8089,1.2821,1,1,1,1.043,0.1244,0.7897,1.284,1,1,1.5,1.332,0.138,1.0721,1.6156,1,1,2,2.3188,0.1849,1.9808,2.7122,1,1,0.1,0.1212,0.057,0.0492,0.2664,1,1,0.1,0.1416,0.0714,0.053,0.3216,1,1,0.1,0.2365,0.1162,0.0655,0.4783,1,1,0.1,0.1429,0.0679,0.0541,0.3076,1,1,1,1.0318,0.0966,0.8527,1.2304,1,1,1,1.0123,0.1254,0.7939,1.2812,1,1,0.3,0.4319,0.0704,0.2973,0.5709,1,1,0.3,0.4319,0.0704,0.2973,0.5709,1,1
7,0,-0.0303,0.1273,-0.2787,0.2214,1,0,1,0.9941,0.12,0.7575,1.2324,1,1,1,0.9002,0.1605,0.5838,1.2138,1,1,1.5,1.5799,0.2079,1.1708,1.9842,1,1,0.3,0.3852,0.1094,0.1711,0.5908,1,1,0.2,0.4091,0.1087,0.1796,0.6088,1,1,-0.15,-0.1354,0.0858,-0.2967,0.0415,1,0,0,0.0489,0.0814,-0.1101,0.2157,1,0,1,0.9853,0.1333,0.7229,1.2485,1,1,1,0.8682,0.1344,0.6014,1.1315,1,1,1.5,1.3832,0.1415,1.1164,1.67,1,1,2,1.908,0.1661,1.6035,2.2574,1,1,0.1,0.1504,0.0733,0.056,0.3301,1,1,0.1,0.1404,0.0716,0.0523,0.3191,1,1,0.1,0.1123,0.05,0.0497,0.2413,1,1,0.1,0.1343,0.0635,0.0536,0.294,1,1,1,1.0574,0.1095,0.8557,1.2838,1,1,1,1.1111,0.1098,0.9105,1.341,1,1,0.3,0.2782,0.0697,0.1434,0.4179,1,1,0.3,0.2782,0.0697,0.1434,0.4179,1,1
8,0,0.1545,0.1219,-0.0844,0.3924,1,0,1,0.8205,0.1064,0.6107,1.0294,1,1,1,0.9333,0.1706,0.5967,1.2673,1,1,1.5,1.6945,0.23,1.2446,2.1427,1,1,0.3,0.214,0.1315,-0.0458,0.4602,1,0,0.2,0.1466,0.1073,-0.064,0.3609,1,0,-0.15,-0.2245,0.0912,-0.3985,-0.04,1,1,0,-0.0489,0.088,-0.218,0.1209,1,0,1,1.0119,0.1223,0.7671,1.2494,1,1,1,0.8373,0.1083,0.6207,1.0502,1,1,1.5,1.561,0.1383,1.3047,1.8485,1,1,2,2.2072,0.1723,1.8934,2.567,1,1,0.1,0.1237,0.0588,0.0513,0.2801,1,1,0.1,0.1198,0.0554,0.0506,0.2599,1,1,0.1,0.1157,0.0519,0.0498,0.2469,1,1,0.1,0.1107,0.0487,0.0493,0.2346,1,1,1,0.9879,0.1098,0.7935,1.22,1,1,1,1.0125,0.0995,0.8345,1.2254,1,1,0.3,0.2633,0.068,0.1339,0.4011,1,1,0.3,0.2633,0.068,0.1339,0.4011,1,1
9,0,-0.0249,0.1246,-0.2701,0.2191,1,0,1,0.9165,0.1175,0.6847,1.1492,1,1,1,1.2699,0.1326,1.0105,1.5316,0,1,1.5,1.5514,0.2135,1.1313,1.9705,1,1,0.3,0.4579,0.1158,0.21,0.6548,1,1,0.2,0.0593,0.1112,-0.1399,0.2875,1,0,-0.15,-0.0417,0.0884,-0.2158,0.1315,1,0,0,0.0204,0.1023,-0.1769,0.221,1,0,1,0.9363,0.1339,0.6762,1.2,1,1,1,1.0329,0.0992,0.8453,1.2353,1,1,1.5,1.0356,0.1387,0.7643,1.3132,0,1,2,2.061,0.1588,1.7746,2.3956,1,1,0.1,0.1043,0.0458,0.0476,0.2228,1,1,0.1,0.1228,0.059,0.0504,0.2708,1,1,0.1,0.1755,0.0901,0.057,0.3855,1,1,0.1,0.1234,0.0588,0.0506,0.2756,1,1,1,1.045,0.103,0.8474,1.2525,1,1,1,0.7783,0.0805,0.6355,0.9519,0,1,0.3,0.2871,0.0636,0.1636,0.4123,1,1,0.3,0.2871,0.0636,0.1636,0.4123,1,1
10,0,0.0114,0.1206,-0.223,0.2483,1,0,1,1.0159,0.1221,0.7779,1.2583,1,1,1,1.3339,0.1733,0.997,1.6732,1,1,1.5,1.6669,0.2254,1.2239,2.1063,1,1,0.3,0.2548,0.1265,0.0103,0.4881,1,1,0.2,0.1485,0.1024,-0.0506,0.3565,1,0,-0.15,-0.2369,0.0844,-0.4059,-0.0686,1,1,0,-0.1074,0.0942,-0.2854,0.0771,1,0,1,0.9518,0.1292,0.6888,1.1997,1,1,1,1.0306,0.1063,0.8259,1.2479,1,1,1.5,1.593,0.1404,1.3333,1.8863,1,1,2,2.1603,0.1682,1.8569,2.5159,1,1,0.1,0.1148,0.0509,0.0502,0.2448,1,1,0.1,0.1152,0.053,0.0494,0.2517,1,1,0.1,0.117,0.0538,0.0504,0.2575,1,1,0.1,0.1211,0.0546,0.0513,0.2623,1,1,1,1.0478,0.1179,0.8391,1.2935,1,1,1,0.9364,0.0921,0.7744,1.1344,1,1,0.3,0.2095,0.0686,0.0808,0.3505,1,1,0.3,0.2095,0.0686,0.0808,0.3505,1,1
