"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","DetectRate","MissingPer"
"Level2Mean[1]","Burst1_y1",NA,"3.362111",NA,NA,"0.136197165380105","0.130023","-0.045332554189907","3.08051","3.61202",NA,NA,NA,"1","0"
"Level2Mean[2]","Burst1_y2",NA,"2.637639",NA,NA,"0.0936488356747286","0.097594","0.0421272116929906","2.4563475","2.8107625",NA,NA,NA,"1","0"
"Level2Mean[3]","Burst2_y1",NA,"6.522838",NA,NA,"0.194077385263474","0.184774","-0.0479364726129447","6.1924525","6.89788",NA,NA,NA,"1","0"
"Level2Mean[4]","Burst2_y2",NA,"4.792024",NA,NA,"0.117744714539635","0.131487","0.116712546411064","4.5663625","4.99767",NA,NA,NA,"1","0"
"Level2Mean[5]","Burst3_y1",NA,"8.361949",NA,NA,"0.207769195223542","0.200181","-0.0365222342772128","7.9848375","8.769675",NA,NA,NA,"1","0"
"Level2Mean[6]","Burst3_y2",NA,"6.253557",NA,NA,"0.136355098844187","0.14764","0.0827611233570951","5.9902075","6.4949625",NA,NA,NA,"1","0"
"Level2Mean[7]","Burst4_y1",NA,"9.243067",NA,NA,"0.221419213466039","0.202627","-0.0848716476401041","8.8779375","9.684395",NA,NA,NA,"1","0"
"Level2Mean[8]","Burst4_y2",NA,"7.086489",NA,NA,"0.132712018207726","0.152691","0.150543877352559","6.81066","7.3141525",NA,NA,NA,"1","0"
"Level2Mean[9]","Burst5_y1",NA,"9.626289",NA,NA,"0.213364862203767","0.204259","-0.0426774217165634","9.208765","10.0582425",NA,NA,NA,"1","0"
"Level2Mean[10]","Burst5_y2",NA,"7.506293",NA,NA,"0.14959235129734","0.15644","0.0457753932154562","7.1634725","7.7629075",NA,NA,NA,"1","0"
"Level2Mean[11]","AR1","0.3","0.30315","0.038901285325809","0.0105","0.0389688751739543","0.040735","0.0453214217285419","0.21932","0.369945","0.94","1",NA,"1","0"
"Level2Mean[12]","AR2","0.2","0.206233","0.0379109707076988","0.0311649999999999","0.0375834614793219","0.037912","0.00874157163141589","0.12753","0.2818875","0.93","1",NA,"1","0"
