"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Mean[9]","Est_Level2Mean[9]","se_Level2Mean[9]","LL_Level2Mean[9]","UL_Level2Mean[9]","cFlag_Level2Mean[9]","pFlag_Level2Mean[9]","Tru_Level2Mean[10]","Est_Level2Mean[10]","se_Level2Mean[10]","LL_Level2Mean[10]","UL_Level2Mean[10]","cFlag_Level2Mean[10]","pFlag_Level2Mean[10]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_Level2Sigma[9]","Est_Level2Sigma[9]","se_Level2Sigma[9]","LL_Level2Sigma[9]","UL_Level2Sigma[9]","cFlag_Level2Sigma[9]","pFlag_Level2Sigma[9]","Tru_Level2Sigma[10]","Est_Level2Sigma[10]","se_Level2Sigma[10]","LL_Level2Sigma[10]","UL_Level2Sigma[10]","cFlag_Level2Sigma[10]","pFlag_Level2Sigma[10]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
1,10,9.8355,0.2099,9.4193,10.2435,1,1,3,3.2183,0.0981,3.0288,3.4155,0,1,1,1.0241,0.0261,0.9741,1.077,1,1,8,7.5745,0.1662,7.2497,7.9059,0,1,2.5,2.5258,0.0747,2.3796,2.6746,1,1,0.8,0.7996,0.0245,0.7511,0.8473,1,1,0.3,0.2917,0.0148,0.2626,0.3208,1,1,0.2,0.2208,0.0135,0.1943,0.2472,1,1,-0.15,-0.1669,0.0142,-0.1947,-0.1387,1,1,-0.1,-0.0746,0.0147,-0.1034,-0.0454,1,1,2,2.0478,0.1525,1.7729,2.3696,1,1,0.5,0.6836,0.0773,0.5408,0.844,0,1,0.2,0.1841,0.0236,0.1412,0.2334,1,1,1.5,1.5535,0.1182,1.3399,1.8015,1,1,0.4,0.4987,0.0542,0.4002,0.6122,0,1,0.15,0.1547,0.0203,0.1169,0.1967,1,1,0.1,0.1033,0.014,0.0774,0.1324,1,1,0.1,0.0827,0.0136,0.0574,0.1104,1,1,0.1,0.0956,0.0135,0.0705,0.1237,1,1,0.1,0.1028,0.0139,0.0768,0.1311,1,1,1,1.0195,0.0148,0.9905,1.0488,1,1,1,0.9979,0.0144,0.9699,1.0264,1,1,0.3,0.3109,0.0108,0.29,0.3322,1,1,0.3,0.3109,0.0108,0.29,0.3322,1,1
2,10,10.0724,0.2199,9.6388,10.5053,1,1,3,3.2351,0.0979,3.0478,3.4292,0,1,1,1.0466,0.0224,1.0033,1.0917,0,1,8,7.8517,0.1751,7.5078,8.1926,1,1,2.5,2.6285,0.0727,2.4886,2.7738,1,1,0.8,0.8151,0.0222,0.7716,0.8594,1,1,0.3,0.3073,0.0156,0.2766,0.3382,1,1,0.2,0.2217,0.0156,0.1911,0.2526,1,1,-0.15,-0.1551,0.0147,-0.184,-0.1264,1,1,-0.1,-0.1019,0.0141,-0.1292,-0.0741,1,1,2,2.1482,0.1556,1.8694,2.4794,1,1,0.5,0.7035,0.0721,0.5698,0.854,0,1,0.2,0.1466,0.0191,0.1118,0.1868,0,1,1.5,1.6528,0.1238,1.428,1.9131,1,1,0.4,0.4937,0.0557,0.3912,0.6114,1,1,0.15,0.1412,0.0184,0.107,0.179,1,1,0.1,0.1137,0.0141,0.0873,0.1427,1,1,0.1,0.1123,0.0139,0.0866,0.1413,1,1,0.1,0.1042,0.0136,0.0792,0.1322,1,1,0.1,0.0924,0.0139,0.0663,0.1209,1,1,1,1.0118,0.0147,0.9833,1.0408,1,1,1,1.0061,0.0145,0.9778,1.0348,1,1,0.3,0.2993,0.0108,0.2781,0.3205,1,1,0.3,0.2993,0.0108,0.2781,0.3205,1,1
3,10,9.8544,0.2005,9.4638,10.2499,1,1,3,3.0014,0.0774,2.8546,3.1581,1,1,1,1.0169,0.0236,0.9709,1.064,1,1,8,7.9457,0.1643,7.6204,8.267,1,1,2.5,2.5899,0.0736,2.4464,2.7375,1,1,0.8,0.8125,0.022,0.7696,0.8562,1,1,0.3,0.2838,0.0146,0.2548,0.3123,1,1,0.2,0.2009,0.0145,0.1721,0.2291,1,1,-0.15,-0.148,0.0152,-0.1778,-0.1181,1,1,-0.1,-0.0674,0.0149,-0.0966,-0.0382,0,1,2,1.9531,0.1422,1.6948,2.2544,1,1,0.5,0.4894,0.0588,0.3821,0.6118,1,1,0.2,0.1671,0.0181,0.1338,0.205,1,1,1.5,1.5462,0.1164,1.3364,1.7919,1,1,0.4,0.5352,0.0561,0.4328,0.6524,0,1,0.15,0.1423,0.019,0.1066,0.1813,1,1,0.1,0.099,0.0141,0.0728,0.1278,1,1,0.1,0.0946,0.0137,0.0686,0.1226,1,1,0.1,0.1093,0.0142,0.0825,0.1387,1,1,0.1,0.106,0.0143,0.0791,0.1352,1,1,1,1.0069,0.0146,0.9788,1.0358,1,1,1,1.0252,0.0148,0.9966,1.0544,1,1,0.3,0.295,0.0108,0.2738,0.3164,1,1,0.3,0.295,0.0108,0.2738,0.3164,1,1
4,10,10.0597,0.1938,9.6755,10.4415,1,1,3,3.1157,0.0825,2.9578,3.2819,1,1,1,1.0215,0.0246,0.9738,1.0707,1,1,8,7.8476,0.1691,7.5145,8.1809,1,1,2.5,2.4861,0.0659,2.3608,2.619,1,1,0.8,0.7826,0.0244,0.7355,0.8316,1,1,0.3,0.2867,0.014,0.2591,0.314,1,1,0.2,0.2014,0.0147,0.1725,0.2305,1,1,-0.15,-0.1753,0.0152,-0.2049,-0.1455,1,1,-0.1,-0.1089,0.0153,-0.1391,-0.079,1,1,2,1.8936,0.139,1.6424,2.1835,1,1,0.5,0.5451,0.0647,0.4267,0.6794,1,1,0.2,0.1844,0.0194,0.1486,0.225,1,1,1.5,1.5863,0.1223,1.3644,1.8419,1,1,0.4,0.4356,0.0476,0.3482,0.5345,1,1,0.15,0.1683,0.0188,0.1339,0.2079,1,1,0.1,0.0919,0.0136,0.0664,0.1197,1,1,0.1,0.1005,0.0139,0.0748,0.1294,1,1,0.1,0.1082,0.014,0.0818,0.1367,1,1,0.1,0.1106,0.014,0.0844,0.1395,1,1,1,1.0018,0.0145,0.9739,1.0308,1,1,1,1.0147,0.0147,0.9863,1.0441,1,1,0.3,0.3108,0.0108,0.2897,0.332,1,1,0.3,0.3108,0.0108,0.2897,0.332,1,1
5,10,9.8662,0.208,9.458,10.2764,1,1,3,3.0983,0.0884,2.9285,3.2754,1,1,1,1.0378,0.0283,0.9828,1.0939,1,1,8,7.9717,0.1459,7.6843,8.2583,1,1,2.5,2.4701,0.0669,2.3387,2.6018,1,1,0.8,0.8025,0.0217,0.7594,0.8446,1,1,0.3,0.2934,0.015,0.2641,0.3228,1,1,0.2,0.2154,0.016,0.1837,0.2466,1,1,-0.15,-0.1578,0.0144,-0.1859,-0.1295,1,1,-0.1,-0.081,0.0164,-0.1135,-0.0488,1,1,2,2.0271,0.1487,1.758,2.3389,1,1,0.5,0.5939,0.0709,0.4643,0.7432,1,1,0.2,0.2193,0.0221,0.1793,0.2657,1,1,1.5,1.3296,0.1051,1.1363,1.5482,1,1,0.4,0.4479,0.0481,0.3609,0.549,1,1,0.15,0.1308,0.0197,0.0951,0.1725,1,1,0.1,0.1046,0.0141,0.0784,0.1336,1,1,0.1,0.1194,0.0141,0.0933,0.1482,1,1,0.1,0.1009,0.0143,0.0745,0.1303,1,1,0.1,0.1268,0.0147,0.0995,0.1573,1,1,1,1.0179,0.0148,0.9892,1.0472,1,1,1,1.0108,0.0146,0.9824,1.0398,1,1,0.3,0.2817,0.0108,0.2607,0.3029,1,1,0.3,0.2817,0.0108,0.2607,0.3029,1,1
6,10,9.9032,0.2017,9.506,10.3025,1,1,3,3.0236,0.0795,2.8698,3.1838,1,1,1,1.0278,0.0274,0.9747,1.0825,1,1,8,8.0237,0.1645,7.6926,8.3382,1,1,2.5,2.5564,0.0664,2.4289,2.6893,1,1,0.8,0.769,0.0248,0.7205,0.8182,1,1,0.3,0.3229,0.0147,0.2939,0.3516,1,1,0.2,0.2083,0.0174,0.1743,0.2422,1,1,-0.15,-0.1581,0.0134,-0.1844,-0.1319,1,1,-0.1,-0.0922,0.0139,-0.1193,-0.0649,1,1,2,1.9652,0.143,1.7093,2.2689,1,1,0.5,0.4779,0.0609,0.367,0.6059,1,1,0.2,0.2065,0.0202,0.1693,0.2489,1,1,1.5,1.4368,0.1405,1.2042,1.7507,1,1,0.4,0.4492,0.0494,0.36,0.5539,1,1,0.15,0.1772,0.023,0.1277,0.2196,1,1,0.1,0.0998,0.0137,0.0744,0.128,1,1,0.1,0.1363,0.0148,0.109,0.167,0,1,0.1,0.086,0.0136,0.0606,0.1139,1,1,0.1,0.0878,0.0139,0.0616,0.1162,1,1,1,1.0087,0.0146,0.9806,1.038,1,1,1,1.0062,0.0146,0.9781,1.035,1,1,0.3,0.3115,0.0108,0.2905,0.3329,1,1,0.3,0.3115,0.0108,0.2905,0.3329,1,1
7,10,9.9934,0.2122,9.5776,10.4117,1,1,3,2.9738,0.0814,2.8149,3.1367,1,1,1,0.9781,0.0241,0.9312,1.0257,1,1,8,7.8789,0.1601,7.5666,8.1955,1,1,2.5,2.5232,0.0679,2.3913,2.6583,1,1,0.8,0.7941,0.0218,0.7508,0.8369,1,1,0.3,0.2873,0.0147,0.2585,0.316,1,1,0.2,0.2164,0.0128,0.1914,0.2413,1,1,-0.15,-0.1518,0.0148,-0.1808,-0.1225,1,1,-0.1,-0.0995,0.0145,-0.1279,-0.0709,1,1,2,2.0682,0.1514,1.7977,2.3911,1,1,0.5,0.5707,0.0627,0.456,0.7025,1,1,0.2,0.1767,0.0193,0.1415,0.2174,1,1,1.5,1.5107,0.1134,1.3062,1.7511,1,1,0.4,0.4461,0.0484,0.3579,0.5475,1,1,0.15,0.13,0.0182,0.095,0.1669,1,1,0.1,0.0992,0.0141,0.073,0.1281,1,1,0.1,0.0664,0.012,0.0448,0.0917,0,1,0.1,0.1021,0.014,0.076,0.131,1,1,0.1,0.0988,0.0143,0.0718,0.1282,1,1,1,1.0022,0.0146,0.9741,1.0312,1,1,1,1.0343,0.0149,1.0055,1.0641,0,1,0.3,0.3256,0.0109,0.3042,0.3471,0,1,0.3,0.3256,0.0109,0.3042,0.3471,0,1
8,10,9.7726,0.2074,9.364,10.1814,1,1,3,2.9583,0.0764,2.8112,3.1101,1,1,1,0.9755,0.0256,0.9261,1.0268,1,1,8,7.7506,0.175,7.4067,8.091,1,1,2.5,2.4873,0.0656,2.3608,2.6184,1,1,0.8,0.7792,0.0229,0.7349,0.8243,1,1,0.3,0.2903,0.0135,0.2635,0.3168,1,1,0.2,0.2187,0.0139,0.1912,0.2463,1,1,-0.15,-0.1532,0.0144,-0.1815,-0.1251,1,1,-0.1,-0.0973,0.0168,-0.1302,-0.0641,1,1,2,2.0139,0.1504,1.7425,2.3304,1,1,0.5,0.5061,0.0601,0.3969,0.6318,1,1,0.2,0.1948,0.0201,0.1589,0.2371,1,1,1.5,1.6615,0.1254,1.4357,1.9263,1,1,0.4,0.429,0.0475,0.3427,0.5286,1,1,0.15,0.1507,0.0196,0.1142,0.1912,1,1,0.1,0.0846,0.0132,0.0602,0.1117,1,1,0.1,0.0886,0.014,0.0625,0.1172,1,1,0.1,0.0993,0.0138,0.0736,0.1275,1,1,0.1,0.1284,0.015,0.1003,0.1595,0,1,1,1.0152,0.0148,0.9867,1.0447,1,1,1,1.0082,0.0145,0.9803,1.037,1,1,0.3,0.31,0.0108,0.2887,0.3315,1,1,0.3,0.31,0.0108,0.2887,0.3315,1,1
9,10,10.0146,0.2125,9.5941,10.4299,1,1,3,2.9531,0.079,2.8012,3.1118,1,1,1,0.9801,0.0283,0.9244,1.0358,1,1,8,8.0936,0.1451,7.8107,8.3834,1,1,2.5,2.5394,0.0639,2.4166,2.6661,1,1,0.8,0.8037,0.0196,0.7657,0.8431,1,1,0.3,0.2998,0.0143,0.2717,0.3277,1,1,0.2,0.1989,0.0151,0.1692,0.2288,1,1,-0.15,-0.1293,0.0148,-0.1584,-0.1003,1,1,-0.1,-0.0964,0.0142,-0.124,-0.0688,1,1,2,2.0595,0.1527,1.7853,2.3829,1,1,0.5,0.5419,0.0628,0.4273,0.674,1,1,0.2,0.2248,0.0215,0.185,0.2692,1,1,1.5,1.3724,0.1036,1.1878,1.593,1,1,0.4,0.4294,0.0455,0.3465,0.5241,1,1,0.15,0.1187,0.0176,0.0855,0.154,1,1,0.1,0.0928,0.0138,0.067,0.1211,1,1,0.1,0.1056,0.014,0.0793,0.1343,1,1,0.1,0.1055,0.0141,0.0794,0.1344,1,1,0.1,0.0947,0.014,0.0683,0.1233,1,1,1,0.9879,0.0144,0.9602,1.0167,1,1,1,0.9911,0.0144,0.9632,1.0196,1,1,0.3,0.2884,0.0106,0.2677,0.3093,1,1,0.3,0.2884,0.0106,0.2677,0.3093,1,1
10,10,9.8345,0.2049,9.432,10.237,1,1,3,3.034,0.0764,2.8838,3.1859,1,1,1,0.986,0.0264,0.9351,1.0382,1,1,8,7.9656,0.1398,7.6903,8.2409,1,1,2.5,2.5381,0.0629,2.416,2.6651,1,1,0.8,0.8015,0.0236,0.756,0.8486,1,1,0.3,0.3271,0.0143,0.2987,0.355,1,1,0.2,0.1765,0.0162,0.1446,0.2082,1,1,-0.15,-0.1434,0.0148,-0.173,-0.1144,1,1,-0.1,-0.0846,0.015,-0.1138,-0.0552,1,1,2,1.9941,0.1446,1.7347,2.2994,1,1,0.5,0.4594,0.0592,0.3528,0.5836,1,1,0.2,0.2003,0.0203,0.1632,0.2425,1,1,1.5,1.2661,0.1001,1.0863,1.4765,0,1,0.4,0.4141,0.0464,0.3316,0.5129,1,1,0.15,0.1724,0.0187,0.1373,0.2111,1,1,0.1,0.0963,0.014,0.0698,0.1244,1,1,0.1,0.12,0.0143,0.0933,0.1494,1,1,0.1,0.1084,0.0141,0.0818,0.1375,1,1,0.1,0.1031,0.014,0.0769,0.1316,1,1,1,1.029,0.0149,1.0001,1.0586,0,1,1,0.9951,0.0144,0.9672,1.0238,1,1,0.3,0.2961,0.0108,0.2749,0.3174,1,1,0.3,0.2961,0.0108,0.2749,0.3174,1,1
