"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]","Theta1_y1_Asymptote","10","9.948409","0.210472375622075","-0.00515910000000002","0.205079412110814","0.204882","-0.000962613013087611","9.5646025","10.3943125","0.93","1",NA,"0"
"Level2Mean[2]","Theta2_y1_Displacement","3","3.013545","0.083309384225308","0.00451500000000005","0.0826150038651356","0.081905","-0.00859412736086781","2.84902","3.183245","0.93","1",NA,"0"
"Level2Mean[3]","Theta3_y1_GrowthRate","1","1.001212","0.0276057312889914","0.00121199999999999","0.0277180511507566","0.026111","-0.0579785044055211","0.9515","1.0486475","0.95","1",NA,"0"
"Level2Mean[4]","Theta1_y2_Asymptote","8","7.966267","0.145325419318163","-0.00421662499999997","0.142068279966808","0.160206","0.127669033773266","7.6797025","8.19062","0.95","1",NA,"0"
"Level2Mean[5]","Theta2_y2_Displacement","2.5","2.516401","0.0627423947582494","0.00656040000000004","0.0608659339711617","0.067408","0.107483211083854","2.4133","2.6408975","0.97","1",NA,"0"
"Level2Mean[6]","Theta3_y2_GrowthRate","0.8","0.803384","0.0231990948099274","0.00422999999999993","0.0230665822384162","0.021989","-0.0467161639846892","0.7631175","0.85014","0.93","1",NA,"0"
"Level2Mean[7]","AR1","0.3","0.297326","0.0151790513537573","-0.00891333333333337","0.0150169373735395","0.014599","-0.0278310658920337","0.268595","0.326625","0.94","1",NA,"0"
"Level2Mean[8]","AR2","0.2","0.201294","0.0121369930378162","0.00646999999999995","0.012128610635996","0.014719","0.213576760087925","0.1770225","0.2228025","1","1",NA,"0"
"Level2Mean[9]","CR_y1toy2","-0.15","-0.151847","0.0124331050023717","0.0123133333333334","0.0123570897737601","0.014569","0.178999284357128","-0.174065","-0.1275975","0.99","1",NA,"0"
"Level2Mean[10]","CR_y2toy1","-0.1","-0.101515","0.0143973296135082","0.0151499999999999","0.0143895260379194","0.014612","0.0154608262631002","-0.1284575","-0.073275","0.95","1",NA,"0"
"Level2Sigma[1]","SD_Theta1_y1","2","1.994125","0.130140711155272","-0.00293750000000004","0.130662991116363","0.146796","0.123470377846086","1.7126125","2.219595","0.97","1",NA,"0"
"Level2Sigma[2]","SD_Theta2_y1","0.5","0.546067","0.0714795236413898","0.0921339999999999","0.0549302019094977","0.064006","0.165224189517007","0.46507","0.6725","0.91","1",NA,"0"
"Level2Sigma[3]","SD_Theta3_y1","0.2","0.196433","0.0194485140820578","-0.0178350000000001","0.0192149250439455","0.020682","0.0763508029669235","0.15727","0.2298825","0.94","1",NA,"0"
"Level2Sigma[4]","SD_Theta1_y2","1.5","1.504103","0.125991118337762","0.00273533333333331","0.126558675221169","0.114643","-0.0941513902570943","1.3078325","1.7624175","0.93","1",NA,"0"
"Level2Sigma[5]","SD_Theta2_y2","0.4","0.457996","0.0689287400145977","0.14499","0.0374386391447406","0.049123","0.312093631664517","0.391825","0.5391575","0.84","1",NA,"0"
"Level2Sigma[6]","SD_Theta3_y2","0.15","0.141026","0.0218723066913392","-0.0598266666666665","0.0200470437630181","0.018912","-0.0566190095874384","0.10828","0.1804525","0.9","1",NA,"0"
"Level2Sigma[7]","SD_AR1","0.1","0.098411","0.0130595903457957","-0.0158900000000001","0.0130278636511568","0.013836","0.0620313790873528","0.0741475","0.1196675","0.97","1",NA,"0"
"Level2Sigma[8]","SD_AR2","0.1","0.099769","0.0130694185027491","-0.00231000000000009","0.0131332079289506","0.013941","0.0615075977948033","0.0742875","0.1243","0.96","1",NA,"0"
"Level2Sigma[9]","SD_CR_y1toy2","0.1","0.100799","0.0124876859345517","0.00798999999999994","0.0125248802490293","0.013873","0.10763534055147","0.0777925","0.1243825","0.98","1",NA,"0"
"Level2Sigma[10]","SD_CR_y2toy1","0.1","0.100233","0.0121282603863868","0.00232999999999997","0.0121871107189837","0.013993","0.148180263776818","0.0780275","0.126905","0.97","1",NA,"0"
"sigma_innovation[1,1]","InnoVar_y1","1","0.998748","0.0144384763739115","-0.00125200000000003","0.0144565561653395","0.014483","0.00182919322956583","0.9736425","1.027385","0.95","1",NA,"0"
"sigma_innovation[2,2]","InnoVar_y2","1","1.000255","0.0139434249738004","0.000254999999999894","0.0140113256858424","0.014486","0.0338779016918588","0.9729325","1.0287025","0.95","1",NA,"0"
"sigma_innovation[1,2]","InnoCov","0.3","0.298099","0.0109992226998093","-0.00633666666666662","0.0108882801880988","0.010658","-0.021149362812185","0.27659","0.31953","0.94","1",NA,"0"
"sigma_innovation[2,1]","InnoCov_sym","0.3","0.298099","0.0109992226998093","-0.00633666666666662","0.0108882801880988","0.010658","-0.021149362812185","0.27659","0.31953","0.94","1",NA,"0"
