"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]","Theta1_y1_Asymptote","10","9.985192","0.0985776993036456","-0.00148080000000004","0.097950131282106","0.095825","-0.0216960534334088","9.8371","10.1613175","0.96","1",NA,"0"
"Level2Mean[2]","Theta2_y1_Displacement","3","3.003425","0.0494237260837343","0.00114166666666667","0.0495532982624453","0.054344","0.0966777571935179","2.92161","3.1076875","0.97","1",NA,"0"
"Level2Mean[3]","Theta3_y1_GrowthRate","1","0.999397","0.0173375171232792","-0.00060300000000002","0.0174143181249676","0.016452","-0.0552601668386838","0.9682075","1.03473","0.92","1",NA,"0"
"Level2Mean[4]","Theta1_y2_Asymptote","8","7.98842","0.0770161931024898","-0.00144750000000005","0.0765242260445486","0.080769","0.0554696750932224","7.8524725","8.153145","0.96","1",NA,"0"
"Level2Mean[5]","Theta2_y2_Displacement","2.5","2.516223","0.0446606773347651","0.00648920000000004","0.041819602612008","0.045546","0.0891064753188746","2.42817","2.59928","0.92","1",NA,"0"
"Level2Mean[6]","Theta3_y2_GrowthRate","0.8","0.803763","0.0165761123307005","0.00470374999999995","0.016224664196304","0.015572","-0.0402266690026572","0.7709425","0.8356975","0.91","1",NA,"0"
"Level2Mean[7]","AR1","0.3","0.30183","0.0128607698058864","0.00609999999999999","0.0127940366474922","0.012568","-0.0176673440697481","0.275875","0.3274675","0.9","1",NA,"0"
"Level2Mean[8]","AR2","0.2","0.199983","0.0113043133360678","-8.5000000000085e-05","0.0113612495311515","0.012389","0.0904610418097472","0.17367","0.22041","0.96","1",NA,"0"
"Level2Mean[9]","CR_y1toy2","-0.15","-0.151095","0.0117520849214086","0.00730000000000008","0.0117599077076706","0.011878","0.0100419404016598","-0.170715","-0.131195","0.97","1",NA,"0"
"Level2Mean[10]","CR_y2toy1","-0.1","-0.100922","0.0115834968813394","0.00921999999999992","0.0116049151899381","0.011927","0.0277541718134345","-0.1254675","-0.080435","0.96","1",NA,"0"
"Level2Sigma[1]","SD_Theta1_y1","2","1.985994","0.0791030378683398","-0.00700299999999998","0.078245421746211","0.06836","-0.126338660149016","1.8055775","2.104655","0.91","1",NA,"0"
"Level2Sigma[2]","SD_Theta2_y1","0.5","0.523192","0.046976340853668","0.046384","0.0410580733826977","0.045734","0.113885680258752","0.455395","0.607475","0.94","1",NA,"0"
"Level2Sigma[3]","SD_Theta3_y1","0.2","0.196766","0.0139436867434692","-0.0161700000000001","0.0136317974981403","0.012572","-0.077744515958724","0.1676475","0.2183525","0.93","1",NA,"0"
"Level2Sigma[4]","SD_Theta1_y2","1.5","1.50021","0.0524865659002377","0.000140000000000029","0.0527505612972195","0.055946","0.0605763924439775","1.3907225","1.6125475","0.93","1",NA,"0"
"Level2Sigma[5]","SD_Theta2_y2","0.4","0.430687","0.0416548064453551","0.0767174999999999","0.0283098107526081","0.034921","0.233529969704331","0.3853325","0.49031","0.87","1",NA,"0"
"Level2Sigma[6]","SD_Theta3_y2","0.15","0.14609","0.0129018990850185","-0.0260666666666666","0.012357098315862","0.013014","0.0531598654754414","0.1212475","0.173255","0.94","1",NA,"0"
"Level2Sigma[7]","SD_AR1","0.1","0.097315","0.0180738678760248","-0.0268500000000001","0.0179633598744722","0.016989","-0.0542415161351228","0.0689375","0.1326525","0.95","1",NA,"0"
"Level2Sigma[8]","SD_AR2","0.1","0.0974","0.0164517415491491","-0.0260000000000001","0.0163268323487887","0.017098","0.0472331457037633","0.0725425","0.1323725","0.97","1",NA,"0"
"Level2Sigma[9]","SD_CR_y1toy2","0.1","0.094795","0.0156424518538495","-0.05205","0.0148253902805187","0.01726","0.164218929378241","0.07335","0.1208","0.98","1",NA,"0"
"Level2Sigma[10]","SD_CR_y2toy1","0.1","0.095541","0.0146724537825137","-0.04459","0.0140489123559028","0.017422","0.240095998796658","0.0678225","0.1190925","0.96","1",NA,"0"
"sigma_innovation[1,1]","InnoVar_y1","1","1.001154","0.0125233382131124","0.0011540000000001","0.0125328773289063","0.013846","0.10477423792101","0.974075","1.0212725","0.97","1",NA,"0"
"sigma_innovation[2,2]","InnoVar_y2","1","0.999242","0.0145709093745037","-0.000758000000000036","0.0146244860394884","0.013733","-0.0609584526308323","0.9721975","1.03004","0.91","1",NA,"0"
"sigma_innovation[1,2]","InnoCov","0.3","0.299014","0.010082658379614","-0.00328666666666662","0.0100848823753801","0.009981","-0.0103008018847814","0.2792275","0.3195925","0.93","1",NA,"0"
"sigma_innovation[2,1]","InnoCov_sym","0.3","0.299014","0.010082658379614","-0.00328666666666662","0.0100848823753801","0.009981","-0.0103008018847814","0.2792275","0.3195925","0.93","1",NA,"0"
