"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Mean[9]","Est_Level2Mean[9]","se_Level2Mean[9]","LL_Level2Mean[9]","UL_Level2Mean[9]","cFlag_Level2Mean[9]","pFlag_Level2Mean[9]","Tru_Level2Mean[10]","Est_Level2Mean[10]","se_Level2Mean[10]","LL_Level2Mean[10]","UL_Level2Mean[10]","cFlag_Level2Mean[10]","pFlag_Level2Mean[10]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_Level2Sigma[9]","Est_Level2Sigma[9]","se_Level2Sigma[9]","LL_Level2Sigma[9]","UL_Level2Sigma[9]","cFlag_Level2Sigma[9]","pFlag_Level2Sigma[9]","Tru_Level2Sigma[10]","Est_Level2Sigma[10]","se_Level2Sigma[10]","LL_Level2Sigma[10]","UL_Level2Sigma[10]","cFlag_Level2Sigma[10]","pFlag_Level2Sigma[10]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
1,10,10.0436,0.2279,9.5958,10.4883,1,1,3,3.1658,0.1363,2.9113,3.4487,1,1,1,0.9768,0.0368,0.9063,1.0514,1,1,8,7.5983,0.1809,7.2429,7.9566,0,1,2.5,2.5132,0.1154,2.291,2.7439,1,1,0.8,0.7953,0.0396,0.7192,0.8742,1,1,0.3,0.2802,0.0299,0.2211,0.3388,1,1,0.2,0.2512,0.0276,0.1965,0.3051,1,1,-0.15,-0.1576,0.0269,-0.2106,-0.105,1,1,-0.1,-0.0522,0.0267,-0.1045,-1e-04,1,1,2,2.0866,0.1633,1.7927,2.4288,1,1,0.5,0.6693,0.1018,0.4749,0.8784,1,1,0.2,0.2017,0.0316,0.1404,0.2653,1,1,1.5,1.4049,0.1219,1.1826,1.6612,1,1,0.4,0.5381,0.077,0.4007,0.6998,0,1,0.15,0.1682,0.029,0.1105,0.2262,1,1,0.1,0.1223,0.0342,0.061,0.1921,1,1,0.1,0.1202,0.0337,0.061,0.1899,1,1,0.1,0.0984,0.0295,0.051,0.1633,1,1,0.1,0.1076,0.0313,0.0538,0.1748,1,1,1,1.0515,0.0327,0.989,1.1179,1,1,1,1.037,0.0321,0.9753,1.1019,1,1,0.3,0.3277,0.0236,0.2822,0.3748,1,1,0.3,0.3277,0.0236,0.2822,0.3748,1,1
2,10,10.2325,0.2234,9.7903,10.6656,1,1,3,3.0209,0.114,2.8076,3.2521,1,1,1,0.9908,0.0302,0.9329,1.0513,1,1,8,7.6381,0.1837,7.2778,7.998,0,1,2.5,2.8142,0.1178,2.5882,3.0493,0,1,0.8,0.9049,0.0357,0.8345,0.9743,0,1,0.3,0.2763,0.0284,0.2209,0.3322,1,1,0.2,0.2001,0.0288,0.1435,0.2565,1,1,-0.15,-0.1554,0.0281,-0.2102,-0.0997,1,1,-0.1,-0.1151,0.0263,-0.1678,-0.0639,1,1,2,2.1405,0.1635,1.8474,2.4861,1,1,0.5,0.5556,0.0783,0.4115,0.7174,1,1,0.2,0.1453,0.0247,0.0975,0.1943,0,1,1.5,1.6425,0.1294,1.4079,1.919,1,1,0.4,0.4669,0.073,0.3391,0.6216,1,1,0.15,0.1648,0.0284,0.1086,0.2207,1,1,0.1,0.103,0.0308,0.0525,0.1712,1,1,0.1,0.1222,0.0333,0.0625,0.1903,1,1,0.1,0.1223,0.0325,0.0626,0.1882,1,1,0.1,0.0867,0.0248,0.0473,0.1422,1,1,1,0.9734,0.0296,0.9166,1.0327,1,1,1,0.9651,0.0297,0.9089,1.0253,1,1,0.3,0.3026,0.0217,0.2607,0.3457,1,1,0.3,0.3026,0.0217,0.2607,0.3457,1,1
3,10,9.7941,0.2058,9.3934,10.2003,1,1,3,2.8501,0.1162,2.6248,3.0795,1,1,1,0.9958,0.035,0.9276,1.064,1,1,8,8.0212,0.1836,7.6648,8.3889,1,1,2.5,2.4716,0.0973,2.2878,2.6694,1,1,0.8,0.7683,0.0319,0.7073,0.8327,1,1,0.3,0.2995,0.0278,0.2446,0.3531,1,1,0.2,0.1967,0.0274,0.1437,0.2506,1,1,-0.15,-0.1453,0.028,-0.2007,-0.0906,1,1,-0.1,-0.057,0.0283,-0.1126,-0.0018,1,1,2,1.9105,0.146,1.6491,2.223,1,1,0.5,0.5348,0.0795,0.3893,0.7011,1,1,0.2,0.1643,0.0279,0.1088,0.2184,1,1,1.5,1.5489,0.1244,1.3229,1.8097,1,1,0.4,0.4604,0.0621,0.3489,0.5903,1,1,0.15,0.1213,0.0266,0.0702,0.1736,1,1,0.1,0.0858,0.0246,0.0471,0.1409,1,1,0.1,0.0901,0.0263,0.0482,0.1485,1,1,0.1,0.1353,0.0328,0.0726,0.2006,1,1,0.1,0.1146,0.0336,0.0571,0.1856,1,1,1,1.0282,0.0315,0.9686,1.0922,1,1,1,0.9887,0.0304,0.9307,1.0502,1,1,0.3,0.2966,0.0226,0.2532,0.3414,1,1,0.3,0.2966,0.0226,0.2532,0.3414,1,1
4,10,10.0335,0.2014,9.6392,10.4279,1,1,3,3.2444,0.1271,2.9915,3.4911,1,1,1,1.0502,0.0356,0.9789,1.1203,1,1,8,7.6163,0.1786,7.2658,7.9715,0,1,2.5,2.6555,0.1178,2.4285,2.8927,1,1,0.8,0.8544,0.0378,0.7791,0.9277,1,1,0.3,0.272,0.0285,0.2163,0.3282,1,1,0.2,0.2279,0.0267,0.1756,0.2805,1,1,-0.15,-0.1918,0.0259,-0.2427,-0.1414,1,1,-0.1,-0.0908,0.027,-0.1437,-0.0375,1,1,2,1.8759,0.1438,1.6173,2.1793,1,1,0.5,0.5538,0.0863,0.4013,0.7362,1,1,0.2,0.1964,0.0248,0.1497,0.2476,1,1,1.5,1.5018,0.1227,1.2781,1.7601,1,1,0.4,0.4559,0.0684,0.335,0.6011,1,1,0.15,0.1407,0.0324,0.0727,0.2016,1,1,0.1,0.1023,0.0302,0.0525,0.1672,1,1,0.1,0.0821,0.0225,0.0468,0.1332,1,1,0.1,0.0808,0.0223,0.0447,0.1312,1,1,0.1,0.0929,0.0269,0.0501,0.1529,1,1,1,0.9955,0.0304,0.938,1.0565,1,1,1,0.9813,0.0297,0.9241,1.0414,1,1,0.3,0.308,0.0221,0.2649,0.3521,1,1,0.3,0.308,0.0221,0.2649,0.3521,1,1
5,10,9.8995,0.2229,9.4674,10.3387,1,1,3,2.9295,0.1238,2.6953,3.1838,1,1,1,1.0059,0.0385,0.9316,1.0832,1,1,8,7.8221,0.164,7.5022,8.1454,1,1,2.5,2.4359,0.1119,2.2267,2.6656,1,1,0.8,0.8383,0.0371,0.768,0.9126,1,1,0.3,0.2863,0.0266,0.2345,0.3387,1,1,0.2,0.2402,0.0272,0.1866,0.2937,1,1,-0.15,-0.149,0.0255,-0.1986,-0.0987,1,1,-0.1,-0.0744,0.0286,-0.1297,-0.0184,1,1,2,2.043,0.1573,1.7585,2.3718,1,1,0.5,0.5608,0.0878,0.4029,0.7451,1,1,0.2,0.2061,0.0294,0.1506,0.2657,1,1,1.5,1.369,0.1111,1.1668,1.6016,1,1,0.4,0.4651,0.0639,0.3501,0.5997,1,1,0.15,0.1154,0.0271,0.0646,0.1696,1,1,0.1,0.0698,0.0178,0.0424,0.1114,1,1,0.1,0.097,0.028,0.0508,0.159,1,1,0.1,0.0863,0.0249,0.0468,0.1426,1,1,0.1,0.1482,0.0347,0.0813,0.2178,1,1,1,1.0285,0.0316,0.9686,1.0922,1,1,1,1.0071,0.0306,0.9487,1.0689,1,1,0.3,0.2701,0.0225,0.2265,0.3145,1,1,0.3,0.2701,0.0225,0.2265,0.3145,1,1
6,10,9.9184,0.2105,9.5086,10.3309,1,1,3,2.9804,0.122,2.7492,3.2293,1,1,1,1.011,0.0359,0.9423,1.0835,1,1,8,8.0769,0.2033,7.6773,8.4696,1,1,2.5,2.5011,0.1007,2.3102,2.7047,1,1,0.8,0.7445,0.0351,0.6764,0.8133,1,1,0.3,0.2861,0.0286,0.2296,0.3423,1,1,0.2,0.2409,0.0282,0.1844,0.2955,1,1,-0.15,-0.1616,0.0281,-0.2154,-0.1053,1,1,-0.1,-0.0733,0.026,-0.1241,-0.0228,1,1,2,1.96,0.1506,1.6903,2.2804,1,1,0.5,0.5587,0.0818,0.4096,0.7308,1,1,0.2,0.1868,0.0265,0.1356,0.2403,1,1,1.5,1.5199,0.1666,1.22,1.8555,1,1,0.4,0.4414,0.0609,0.3335,0.5683,1,1,0.15,0.1518,0.0332,0.0879,0.2118,1,1,0.1,0.0962,0.0277,0.0506,0.1561,1,1,0.1,0.0993,0.0286,0.0526,0.162,1,1,0.1,0.0866,0.0251,0.0472,0.1447,1,1,0.1,0.0965,0.0279,0.0507,0.1578,1,1,1,0.979,0.03,0.9216,1.0395,1,1,1,1.0419,0.0317,0.9816,1.106,1,1,0.3,0.3235,0.0225,0.2803,0.3684,1,1,0.3,0.3235,0.0225,0.2803,0.3684,1,1
7,10,9.8998,0.2166,9.4819,10.3252,1,1,3,3.1234,0.1284,2.8809,3.387,1,1,1,1.0217,0.0344,0.9566,1.0923,1,1,8,7.7216,0.1719,7.3844,8.0554,1,1,2.5,2.7627,0.1276,2.5228,3.0217,0,1,0.8,0.857,0.0349,0.7891,0.9262,1,1,0.3,0.2947,0.0282,0.239,0.3508,1,1,0.2,0.2546,0.0272,0.2025,0.3087,0,1,-0.15,-0.163,0.0272,-0.2163,-0.1099,1,1,-0.1,-0.0805,0.0262,-0.1323,-0.0301,1,1,2,2.0129,0.1532,1.7369,2.3363,1,1,0.5,0.6035,0.0925,0.4372,0.798,1,1,0.2,0.1614,0.0297,0.1015,0.2196,1,1,1.5,1.4954,0.1179,1.2845,1.7461,1,1,0.4,0.5679,0.0804,0.417,0.7347,0,1,0.15,0.103,0.0272,0.0566,0.1608,1,1,0.1,0.098,0.0277,0.0523,0.1589,1,1,0.1,0.083,0.0232,0.0467,0.1359,1,1,0.1,0.0867,0.0258,0.047,0.1458,1,1,0.1,0.0851,0.024,0.0477,0.1394,1,1,1,1.0121,0.0308,0.9528,1.0737,1,1,1,1.0136,0.0306,0.9554,1.0752,1,1,0.3,0.2812,0.0224,0.2377,0.3254,1,1,0.3,0.2812,0.0224,0.2377,0.3254,1,1
8,10,9.9292,0.2049,9.5282,10.3353,1,1,3,2.984,0.1199,2.7542,3.2259,1,1,1,0.9558,0.0379,0.8822,1.0309,1,1,8,7.5895,0.195,7.2087,7.9749,0,1,2.5,2.511,0.1096,2.3082,2.7359,1,1,0.8,0.8087,0.0342,0.7451,0.8799,1,1,0.3,0.2784,0.0303,0.2184,0.3379,1,1,0.2,0.2108,0.0263,0.1594,0.2631,1,1,-0.15,-0.1544,0.0247,-0.2029,-0.1054,1,1,-0.1,-0.1242,0.0299,-0.1834,-0.0662,1,1,2,1.8099,0.148,1.5368,2.1203,1,1,0.5,0.4935,0.0762,0.3593,0.6566,1,1,0.2,0.2129,0.0266,0.163,0.2673,1,1,1.5,1.7406,0.1351,1.4979,2.0266,1,1,0.4,0.519,0.0703,0.3918,0.6672,1,1,0.15,0.1139,0.0306,0.057,0.1755,1,1,0.1,0.1509,0.0349,0.0823,0.2195,1,1,0.1,0.0794,0.0219,0.0452,0.1293,1,1,0.1,0.0758,0.0198,0.0443,0.121,1,1,0.1,0.1581,0.0352,0.0884,0.2267,1,1,1,1.0551,0.0328,0.9927,1.1218,1,1,1,1.0191,0.0306,0.9609,1.0803,1,1,0.3,0.2869,0.023,0.2423,0.3326,1,1,0.3,0.2869,0.023,0.2423,0.3326,1,1
9,10,10.0331,0.2356,9.5732,10.4952,1,1,3,2.9795,0.1227,2.7444,3.2242,1,1,1,0.9867,0.0364,0.9159,1.0578,1,1,8,8.2124,0.1655,7.8889,8.5393,1,1,2.5,2.469,0.0979,2.2866,2.6695,1,1,0.8,0.7765,0.0337,0.7117,0.844,1,1,0.3,0.3173,0.0289,0.262,0.3753,1,1,0.2,0.2157,0.0274,0.1611,0.2688,1,1,-0.15,-0.1335,0.0269,-0.1863,-0.0809,1,1,-0.1,-0.0657,0.0262,-0.1163,-0.0146,1,1,2,2.1666,0.169,1.8617,2.5258,1,1,0.5,0.56,0.0863,0.403,0.7403,1,1,0.2,0.1972,0.0315,0.1329,0.2583,1,1,1.5,1.245,0.1177,1.0248,1.4914,0,1,0.4,0.4314,0.0585,0.3269,0.5547,1,1,0.15,0.1323,0.0258,0.0786,0.1808,1,1,0.1,0.1131,0.0314,0.0578,0.1782,1,1,0.1,0.0858,0.0243,0.0476,0.1407,1,1,0.1,0.1053,0.0308,0.054,0.1707,1,1,0.1,0.0851,0.0237,0.0472,0.1388,1,1,1,0.9893,0.0306,0.9309,1.0512,1,1,1,0.9762,0.0296,0.9199,1.0358,1,1,0.3,0.2721,0.0218,0.2298,0.3155,1,1,0.3,0.2721,0.0218,0.2298,0.3155,1,1
10,10,9.8507,0.2203,9.4214,10.284,1,1,3,2.8726,0.1211,2.6446,3.1196,1,1,1,0.946,0.0362,0.8768,1.0197,1,1,8,8.0353,0.1767,7.6904,8.3837,1,1,2.5,2.5088,0.1078,2.3076,2.7295,1,1,0.8,0.7934,0.0397,0.716,0.8725,1,1,0.3,0.3054,0.0281,0.2502,0.3601,1,1,0.2,0.1861,0.0283,0.1293,0.2419,1,1,-0.15,-0.1635,0.0293,-0.2209,-0.1059,1,1,-0.1,-0.0861,0.027,-0.1397,-0.034,1,1,2,1.9993,0.1535,1.7246,2.3254,1,1,0.5,0.5694,0.0856,0.4126,0.749,1,1,0.2,0.1747,0.0288,0.1185,0.2323,1,1,1.5,1.2564,0.1292,1.0079,1.5187,1,1,0.4,0.46,0.0653,0.3434,0.5988,1,1,0.15,0.1805,0.0274,0.1278,0.2357,1,1,0.1,0.0987,0.0293,0.0511,0.1616,1,1,0.1,0.11,0.0319,0.0564,0.1775,1,1,0.1,0.1287,0.0361,0.0613,0.2003,1,1,0.1,0.1205,0.0325,0.0617,0.1867,1,1,1,1.0208,0.0315,0.961,1.0841,1,1,1,1.0893,0.0336,1.0253,1.157,0,1,0.3,0.3178,0.0237,0.2719,0.3654,1,1,0.3,0.3178,0.0237,0.2719,0.3654,1,1
