"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Mean[9]","Est_Level2Mean[9]","se_Level2Mean[9]","LL_Level2Mean[9]","UL_Level2Mean[9]","cFlag_Level2Mean[9]","pFlag_Level2Mean[9]","Tru_Level2Mean[10]","Est_Level2Mean[10]","se_Level2Mean[10]","LL_Level2Mean[10]","UL_Level2Mean[10]","cFlag_Level2Mean[10]","pFlag_Level2Mean[10]","Tru_Level2Mean[11]","Est_Level2Mean[11]","se_Level2Mean[11]","LL_Level2Mean[11]","UL_Level2Mean[11]","cFlag_Level2Mean[11]","pFlag_Level2Mean[11]","Tru_Level2Mean[12]","Est_Level2Mean[12]","se_Level2Mean[12]","LL_Level2Mean[12]","UL_Level2Mean[12]","cFlag_Level2Mean[12]","pFlag_Level2Mean[12]","Tru_Level2Mean[13]","Est_Level2Mean[13]","se_Level2Mean[13]","LL_Level2Mean[13]","UL_Level2Mean[13]","cFlag_Level2Mean[13]","pFlag_Level2Mean[13]","Tru_Level2Mean[14]","Est_Level2Mean[14]","se_Level2Mean[14]","LL_Level2Mean[14]","UL_Level2Mean[14]","cFlag_Level2Mean[14]","pFlag_Level2Mean[14]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_Level2Sigma[9]","Est_Level2Sigma[9]","se_Level2Sigma[9]","LL_Level2Sigma[9]","UL_Level2Sigma[9]","cFlag_Level2Sigma[9]","pFlag_Level2Sigma[9]","Tru_Level2Sigma[10]","Est_Level2Sigma[10]","se_Level2Sigma[10]","LL_Level2Sigma[10]","UL_Level2Sigma[10]","cFlag_Level2Sigma[10]","pFlag_Level2Sigma[10]","Tru_Level2Sigma[11]","Est_Level2Sigma[11]","se_Level2Sigma[11]","LL_Level2Sigma[11]","UL_Level2Sigma[11]","cFlag_Level2Sigma[11]","pFlag_Level2Sigma[11]","Tru_Level2Sigma[12]","Est_Level2Sigma[12]","se_Level2Sigma[12]","LL_Level2Sigma[12]","UL_Level2Sigma[12]","cFlag_Level2Sigma[12]","pFlag_Level2Sigma[12]","Tru_Level2Sigma[13]","Est_Level2Sigma[13]","se_Level2Sigma[13]","LL_Level2Sigma[13]","UL_Level2Sigma[13]","cFlag_Level2Sigma[13]","pFlag_Level2Sigma[13]","Tru_Level2Sigma[14]","Est_Level2Sigma[14]","se_Level2Sigma[14]","LL_Level2Sigma[14]","UL_Level2Sigma[14]","cFlag_Level2Sigma[14]","pFlag_Level2Sigma[14]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
53,NA,3.0866,0.1207,2.8484,3.3223,NA,1,NA,2.4886,0.0903,2.3104,2.6676,NA,1,NA,6.3878,0.1861,6.0221,6.7539,NA,1,NA,4.5937,0.1117,4.3721,4.8105,NA,1,NA,8.2343,0.1909,7.8589,8.6083,NA,1,NA,5.8575,0.1226,5.6168,6.0979,NA,1,NA,8.9699,0.2107,8.558,9.3825,NA,1,NA,6.8115,0.1399,6.5364,7.0873,NA,1,NA,9.363,0.1937,8.9844,9.741,NA,1,NA,7.1084,0.1376,6.8396,7.3802,NA,1,0.3,0.2965,0.0394,0.2214,0.3748,1,1,0.2,0.1884,0.0372,0.1167,0.263,1,1,-0.15,-0.136,0.0357,-0.2067,-0.0675,1,1,-0.1,-0.0781,0.0327,-0.1415,-0.0131,1,1,NA,1.0456,0.0989,0.8641,1.2525,NA,1,NA,0.7268,0.0785,0.5809,0.8884,NA,1,NA,1.7539,0.1396,1.5028,2.0471,NA,1,NA,0.9822,0.0912,0.815,1.17,NA,1,NA,1.8135,0.1424,1.5566,2.1128,NA,1,NA,1.1065,0.0976,0.9278,1.3108,NA,1,NA,2.0252,0.1569,1.741,2.3568,NA,1,NA,1.2965,0.1078,1.1014,1.5252,NA,1,NA,1.8489,0.1444,1.589,2.1548,NA,1,NA,1.2751,0.1077,1.0813,1.5032,NA,1,0.1,0.0886,0.0277,0.0474,0.1544,1,1,0.1,0.1196,0.0377,0.0566,0.1995,1,1,0.1,0.1464,0.0407,0.0683,0.226,1,1,0.1,0.1081,0.0326,0.0547,0.179,1,1,1,1.0075,0.037,0.9382,1.0828,1,1,1,0.9983,0.0357,0.9309,1.0705,1,1,0.3,0.3429,0.0264,0.2924,0.3958,1,1,0.3,0.3429,0.0264,0.2924,0.3958,1,1
54,NA,3.5431,0.1337,3.2816,3.8049,NA,1,NA,2.5959,0.099,2.4031,2.7922,NA,1,NA,6.8228,0.2006,6.4283,7.2163,NA,1,NA,4.6408,0.1242,4.398,4.8857,NA,1,NA,8.6996,0.2227,8.26,9.1332,NA,1,NA,6.0775,0.1504,5.7809,6.3728,NA,1,NA,9.6016,0.2263,9.1543,10.046,NA,1,NA,6.7772,0.1454,6.4926,7.0645,NA,1,NA,10.0114,0.2325,9.5527,10.4665,NA,1,NA,7.1544,0.1483,6.8633,7.4453,NA,1,0.3,0.4044,0.0436,0.3206,0.49,0,1,0.2,0.1759,0.0385,0.1022,0.2521,1,1,-0.15,-0.1009,0.0356,-0.1708,-0.0314,1,1,-0.1,-0.1155,0.0355,-0.1843,-0.0457,1,1,NA,1.1642,0.1112,0.9603,1.3971,NA,1,NA,0.8291,0.0835,0.6748,1.0031,NA,1,NA,1.892,0.1518,1.6186,2.2086,NA,1,NA,1.1215,0.0983,0.9418,1.3281,NA,1,NA,2.1269,0.1665,1.8268,2.4773,NA,1,NA,1.4034,0.1139,1.1966,1.645,NA,1,NA,2.1696,0.1699,1.866,2.5298,NA,1,NA,1.35,0.1113,1.1471,1.5839,NA,1,NA,2.2157,0.1717,1.9051,2.5772,NA,1,NA,1.3765,0.1127,1.1732,1.6158,NA,1,0.1,0.0979,0.033,0.0482,0.1739,1,1,0.1,0.1028,0.0331,0.051,0.1763,1,1,0.1,0.0956,0.0315,0.0485,0.1687,1,1,0.1,0.1516,0.039,0.0771,0.2289,1,1,1,1.0444,0.0398,0.9693,1.1247,1,1,1,1.03,0.0371,0.9604,1.1053,1,1,0.3,0.3271,0.0275,0.2742,0.3823,1,1,0.3,0.3271,0.0275,0.2742,0.3823,1,1
55,NA,3.0983,0.1288,2.8447,3.3504,NA,1,NA,2.7641,0.097,2.5751,2.9551,NA,1,NA,6.1743,0.1806,5.8192,6.5298,NA,1,NA,4.9941,0.1274,4.7424,5.2439,NA,1,NA,8.2124,0.1828,7.853,8.5693,NA,1,NA,6.4971,0.1526,6.1952,6.7973,NA,1,NA,8.9214,0.2004,8.5255,9.3142,NA,1,NA,7.2307,0.1589,6.9194,7.5432,NA,1,NA,9.3806,0.1884,9.0081,9.7512,NA,1,NA,7.6783,0.1565,7.3704,7.9819,NA,1,0.3,0.3167,0.0398,0.2399,0.3945,1,1,0.2,0.2057,0.039,0.1313,0.2835,1,1,-0.15,-0.2013,0.0349,-0.2674,-0.131,1,1,-0.1,-0.0866,0.031,-0.1474,-0.025,1,1,NA,1.1306,0.107,0.9344,1.3541,NA,1,NA,0.8008,0.0842,0.6446,0.9762,NA,1,NA,1.6927,0.138,1.4407,1.9827,NA,1,NA,1.1487,0.1012,0.9649,1.3605,NA,1,NA,1.729,0.1383,1.4777,2.0207,NA,1,NA,1.4268,0.117,1.2168,1.672,NA,1,NA,1.9101,0.1498,1.6433,2.2277,NA,1,NA,1.4945,0.1221,1.2736,1.7505,NA,1,NA,1.7929,0.1423,1.5341,2.0924,NA,1,NA,1.4686,0.1201,1.2516,1.7201,NA,1,0.1,0.1119,0.0385,0.0524,0.1963,1,1,0.1,0.1212,0.039,0.0569,0.2035,1,1,0.1,0.1046,0.0331,0.0513,0.1776,1,1,0.1,0.0855,0.0253,0.0467,0.1437,1,1,1,1.0313,0.0372,0.9612,1.1065,1,1,1,1.0284,0.0374,0.9583,1.1044,1,1,0.3,0.3014,0.0271,0.2498,0.3555,1,1,0.3,0.3014,0.0271,0.2498,0.3555,1,1
56,NA,3.0389,0.1084,2.8268,3.2524,NA,1,NA,2.7365,0.0973,2.5438,2.9281,NA,1,NA,6.2175,0.1814,5.8634,6.5732,NA,1,NA,4.7969,0.1295,4.5427,5.0499,NA,1,NA,8.1004,0.2066,7.6892,8.5037,NA,1,NA,6.3319,0.1391,6.0587,6.6065,NA,1,NA,9.1074,0.2126,8.6926,9.525,NA,1,NA,7.2137,0.1445,6.9297,7.497,NA,1,NA,9.558,0.2149,9.1369,9.9775,NA,1,NA,7.4251,0.1384,7.1522,7.6951,NA,1,0.3,0.2472,0.039,0.1729,0.3249,1,1,0.2,0.1896,0.0392,0.1135,0.2681,1,1,-0.15,-0.1795,0.034,-0.2467,-0.1131,1,1,-0.1,-0.1488,0.0324,-0.213,-0.0853,1,1,NA,0.9353,0.088,0.774,1.1183,NA,1,NA,0.8134,0.0825,0.6607,0.9857,NA,1,NA,1.7423,0.1361,1.4972,2.0301,NA,1,NA,1.1856,0.1028,0.9974,1.4001,NA,1,NA,1.992,0.1522,1.7165,2.3129,NA,1,NA,1.2848,0.1074,1.0892,1.5105,NA,1,NA,2.0592,0.1575,1.7751,2.3908,NA,1,NA,1.3502,0.1128,1.1456,1.5856,NA,1,NA,2.0677,0.1583,1.7831,2.4021,NA,1,NA,1.2741,0.1078,1.0783,1.5011,NA,1,0.1,0.1074,0.0339,0.0526,0.1822,1,1,0.1,0.1409,0.0468,0.0605,0.2344,1,1,0.1,0.1052,0.0339,0.0519,0.1798,1,1,0.1,0.1089,0.0332,0.0549,0.1813,1,1,1,0.9438,0.0343,0.8793,1.013,1,1,1,0.9837,0.0356,0.9164,1.0555,1,1,0.3,0.2733,0.025,0.2252,0.323,1,1,0.3,0.2733,0.025,0.2252,0.323,1,1
57,NA,3.5724,0.1348,3.3075,3.8372,NA,1,NA,2.5262,0.104,2.3201,2.7291,NA,1,NA,6.8558,0.1975,6.4688,7.2443,NA,1,NA,4.6285,0.1349,4.3644,4.8915,NA,1,NA,8.6644,0.2002,8.2703,9.0561,NA,1,NA,6.1076,0.1574,5.8002,6.4145,NA,1,NA,9.5238,0.2206,9.0891,9.9563,NA,1,NA,6.9532,0.146,6.6665,7.2395,NA,1,NA,9.8073,0.2123,9.3928,10.2266,NA,1,NA,7.2953,0.1479,7.0015,7.5852,NA,1,0.3,0.2921,0.0391,0.2173,0.3701,1,1,0.2,0.2131,0.0362,0.146,0.2876,1,1,-0.15,-0.1849,0.0342,-0.2515,-0.1169,1,1,-0.1,-0.1138,0.0346,-0.1815,-0.0454,1,1,NA,1.2199,0.1061,1.0263,1.4408,NA,1,NA,0.8954,0.088,0.7337,1.0796,NA,1,NA,1.892,0.1476,1.6258,2.2047,NA,1,NA,1.2325,0.1056,1.0413,1.4546,NA,1,NA,1.9137,0.149,1.6472,2.2287,NA,1,NA,1.4789,0.1205,1.2608,1.7335,NA,1,NA,2.1305,0.1623,1.8391,2.475,NA,1,NA,1.3617,0.1128,1.1591,1.6027,NA,1,NA,2.0432,0.1581,1.7588,2.3784,NA,1,NA,1.3705,0.1131,1.165,1.6083,NA,1,0.1,0.0897,0.028,0.048,0.1546,1,1,0.1,0.0926,0.03,0.0481,0.1607,1,1,0.1,0.115,0.0349,0.0563,0.1897,1,1,0.1,0.1472,0.0413,0.0704,0.2305,1,1,1,0.9756,0.036,0.9079,1.0484,1,1,1,0.9811,0.0349,0.915,1.0523,1,1,0.3,0.2628,0.0256,0.2138,0.314,1,1,0.3,0.2628,0.0256,0.2138,0.314,1,1
58,NA,3.2352,0.1171,3.0048,3.4656,NA,1,NA,2.6489,0.1086,2.4343,2.862,NA,1,NA,6.6176,0.1842,6.2536,6.9804,NA,1,NA,4.882,0.1251,4.6377,5.1296,NA,1,NA,8.4305,0.1971,8.0445,8.8185,NA,1,NA,6.3086,0.1398,6.0335,6.5819,NA,1,NA,9.4356,0.1979,9.0476,9.8239,NA,1,NA,7.2017,0.1454,6.9148,7.4888,NA,1,NA,9.8675,0.1988,9.4762,10.2571,NA,1,NA,7.6222,0.149,7.3321,7.9153,NA,1,0.3,0.2824,0.0404,0.2042,0.3632,1,1,0.2,0.2264,0.0384,0.1517,0.3036,1,1,-0.15,-0.1468,0.0326,-0.2104,-0.0835,1,1,-0.1,-0.1206,0.0314,-0.1831,-0.0587,1,1,NA,1.0211,0.098,0.8411,1.2244,NA,1,NA,0.935,0.0897,0.7688,1.1214,NA,1,NA,1.7375,0.1378,1.4899,2.0272,NA,1,NA,1.1243,0.0986,0.9437,1.3308,NA,1,NA,1.8935,0.1479,1.6242,2.206,NA,1,NA,1.2824,0.1085,1.0846,1.5101,NA,1,NA,1.8943,0.1481,1.6271,2.2102,NA,1,NA,1.3395,0.111,1.1381,1.5725,NA,1,NA,1.8928,0.1474,1.6283,2.2046,NA,1,NA,1.3847,0.1144,1.1784,1.6273,NA,1,0.1,0.1559,0.0432,0.0712,0.2385,1,1,0.1,0.0936,0.0292,0.0495,0.1611,1,1,0.1,0.093,0.0296,0.0486,0.1624,1,1,0.1,0.0842,0.0246,0.0468,0.1408,1,1,1,0.95,0.0341,0.8856,1.0195,1,1,1,0.9908,0.0352,0.9244,1.0626,1,1,0.3,0.2706,0.0252,0.2218,0.3204,1,1,0.3,0.2706,0.0252,0.2218,0.3204,1,1
59,NA,3.599,0.133,3.3402,3.8606,NA,1,NA,2.7155,0.0941,2.5319,2.9009,NA,1,NA,6.9146,0.193,6.5358,7.2917,NA,1,NA,4.8342,0.1174,4.6041,5.0674,NA,1,NA,8.8568,0.2235,8.4162,9.2935,NA,1,NA,6.3225,0.1376,6.0526,6.5925,NA,1,NA,9.7071,0.2288,9.2608,10.1598,NA,1,NA,7.108,0.1526,6.8071,7.4056,NA,1,NA,9.9224,0.2369,9.4566,10.384,NA,1,NA,7.3829,0.1676,7.0563,7.7099,NA,1,0.3,0.3023,0.0407,0.2239,0.3832,1,1,0.2,0.2113,0.0396,0.1362,0.2913,1,1,-0.15,-0.1735,0.0337,-0.2412,-0.1077,1,1,-0.1,-0.1205,0.0348,-0.1901,-0.053,1,1,NA,1.192,0.1058,0.9988,1.4139,NA,1,NA,0.763,0.0858,0.6024,0.9389,NA,1,NA,1.8331,0.1439,1.5733,2.1355,NA,1,NA,1.037,0.0977,0.8576,1.2415,NA,1,NA,2.1549,0.1633,1.8585,2.4979,NA,1,NA,1.254,0.1079,1.0551,1.4811,NA,1,NA,2.2077,0.1677,1.9061,2.5617,NA,1,NA,1.4285,0.1173,1.2153,1.676,NA,1,NA,2.299,0.1742,1.9815,2.6677,NA,1,NA,1.587,0.1265,1.3571,1.8558,NA,1,0.1,0.101,0.0334,0.0511,0.177,1,1,0.1,0.1378,0.0443,0.0593,0.2279,1,1,0.1,0.1027,0.0322,0.0515,0.1741,1,1,0.1,0.1283,0.0367,0.0618,0.2028,1,1,1,0.975,0.036,0.9071,1.0484,1,1,1,1.0279,0.0367,0.9589,1.1024,1,1,0.3,0.307,0.0262,0.2563,0.3592,1,1,0.3,0.307,0.0262,0.2563,0.3592,1,1
60,NA,3.4572,0.1275,3.2055,3.7055,NA,1,NA,2.4926,0.0988,2.2983,2.6852,NA,1,NA,6.7409,0.1903,6.3693,7.1134,NA,1,NA,4.6281,0.1279,4.3771,4.8803,NA,1,NA,8.4871,0.1999,8.0943,8.8771,NA,1,NA,6.1075,0.1387,5.833,6.379,NA,1,NA,9.3506,0.2069,8.9439,9.759,NA,1,NA,6.9923,0.1569,6.6828,7.2996,NA,1,NA,9.6982,0.2147,9.2789,10.12,NA,1,NA,7.3955,0.1626,7.0747,7.7138,NA,1,0.3,0.3031,0.0411,0.2232,0.3856,1,1,0.2,0.1786,0.037,0.1069,0.2522,1,1,-0.15,-0.1038,0.0341,-0.1706,-0.0363,1,1,-0.1,-0.0733,0.0333,-0.1379,-0.0071,1,1,NA,1.1285,0.1026,0.9408,1.3446,NA,1,NA,0.8344,0.0831,0.6797,1.0073,NA,1,NA,1.8081,0.1433,1.5475,2.1119,NA,1,NA,1.1544,0.1001,0.973,1.3667,NA,1,NA,1.9036,0.1488,1.635,2.2184,NA,1,NA,1.2921,0.1066,1.1006,1.5167,NA,1,NA,1.9553,0.1522,1.6785,2.2754,NA,1,NA,1.483,0.1182,1.268,1.7319,NA,1,NA,2.0566,0.1595,1.7705,2.394,NA,1,NA,1.5335,0.1221,1.3137,1.7914,NA,1,0.1,0.1148,0.0383,0.0535,0.1995,1,1,0.1,0.0786,0.0225,0.0445,0.1319,1,1,0.1,0.098,0.0307,0.0494,0.1666,1,1,0.1,0.1042,0.0325,0.0525,0.1754,1,1,1,1.0383,0.0381,0.966,1.1151,1,1,1,1.0228,0.0366,0.9541,1.0968,1,1,0.3,0.3501,0.0274,0.298,0.4053,1,1,0.3,0.3501,0.0274,0.298,0.4053,1,1
61,NA,3.2601,0.1349,2.9945,3.5247,NA,1,NA,2.6771,0.1029,2.4766,2.878,NA,1,NA,6.3961,0.1789,6.0421,6.7491,NA,1,NA,4.7026,0.14,4.4269,4.9758,NA,1,NA,8.3456,0.1945,7.9668,8.7254,NA,1,NA,6.1324,0.1529,5.832,6.4355,NA,1,NA,9.3431,0.2051,8.9348,9.7415,NA,1,NA,6.9692,0.1638,6.6477,7.2911,NA,1,NA,9.6734,0.2116,9.2585,10.0893,NA,1,NA,7.4284,0.1537,7.1272,7.7304,NA,1,0.3,0.3022,0.0405,0.2259,0.3824,1,1,0.2,0.2389,0.0402,0.1611,0.3187,1,1,-0.15,-0.1346,0.0329,-0.1983,-0.0698,1,1,-0.1,-0.0661,0.0376,-0.1402,0.0068,1,0,NA,1.2023,0.1088,1.0033,1.4313,NA,1,NA,0.8673,0.0876,0.7047,1.0474,NA,1,NA,1.6782,0.1356,1.4324,1.9658,NA,1,NA,1.2909,0.1093,1.0912,1.5214,NA,1,NA,1.8517,0.1458,1.5881,2.1607,NA,1,NA,1.4128,0.1172,1.2017,1.6599,NA,1,NA,1.9673,0.1534,1.6898,2.2905,NA,1,NA,1.5403,0.1253,1.3137,1.8051,NA,1,NA,2.0395,0.1586,1.7524,2.3756,NA,1,NA,1.4199,0.1181,1.2076,1.6707,NA,1,0.1,0.1081,0.0357,0.0532,0.1882,1,1,0.1,0.1377,0.0434,0.0616,0.2276,1,1,0.1,0.0895,0.0269,0.0474,0.1511,1,1,0.1,0.1565,0.0414,0.0756,0.2389,1,1,1,1.0646,0.0394,0.9899,1.1448,1,1,1,1.0266,0.0367,0.9572,1.1014,1,1,0.3,0.3509,0.0277,0.2975,0.406,1,1,0.3,0.3509,0.0277,0.2975,0.406,1,1
62,NA,3.3926,0.1387,3.1172,3.6679,NA,1,NA,2.7216,0.1119,2.502,2.9395,NA,1,NA,6.7048,0.1722,6.3659,7.0426,NA,1,NA,4.9056,0.1449,4.6202,5.1881,NA,1,NA,8.6602,0.1859,8.2964,9.0272,NA,1,NA,6.4351,0.1612,6.1217,6.7532,NA,1,NA,9.6169,0.178,9.2674,9.969,NA,1,NA,7.2329,0.159,6.9196,7.5441,NA,1,NA,10.0203,0.1914,9.6413,10.3965,NA,1,NA,7.764,0.1694,7.4295,8.0965,NA,1,0.3,0.2682,0.0371,0.1963,0.3405,1,1,0.2,0.1942,0.0374,0.1229,0.2686,1,1,-0.15,-0.1577,0.0326,-0.2211,-0.0934,1,1,-0.1,-0.1337,0.0329,-0.1989,-0.0705,1,1,NA,1.2574,0.1083,1.0604,1.4835,NA,1,NA,0.9794,0.092,0.8095,1.171,NA,1,NA,1.6215,0.1295,1.3848,1.8939,NA,1,NA,1.3465,0.1119,1.1426,1.5835,NA,1,NA,1.7755,0.1394,1.5254,2.0714,NA,1,NA,1.5235,0.1224,1.3017,1.7811,NA,1,NA,1.6914,0.1343,1.4504,1.9747,NA,1,NA,1.4937,0.1202,1.2759,1.745,NA,1,NA,1.8142,0.1408,1.5592,2.1115,NA,1,NA,1.608,0.1279,1.3774,1.8803,NA,1,0.1,0.0916,0.0291,0.0475,0.1598,1,1,0.1,0.1248,0.0401,0.0586,0.2092,1,1,0.1,0.0893,0.0274,0.0477,0.1528,1,1,0.1,0.1307,0.0372,0.0644,0.2069,1,1,1,0.9858,0.0356,0.9192,1.0585,1,1,1,1.0114,0.0358,0.944,1.0844,1,1,0.3,0.2751,0.026,0.2251,0.3271,1,1,0.3,0.2751,0.026,0.2251,0.3271,1,1
63,NA,3.3328,0.1261,3.085,3.5809,NA,1,NA,2.6985,0.1039,2.4923,2.9025,NA,1,NA,6.4349,0.178,6.0865,6.7854,NA,1,NA,4.8197,0.1334,4.5598,5.0808,NA,1,NA,8.3701,0.2067,7.9611,8.7736,NA,1,NA,6.2152,0.1641,5.89,6.5373,NA,1,NA,9.2624,0.2017,8.868,9.6567,NA,1,NA,7.0279,0.1523,6.7293,7.3267,NA,1,NA,9.5971,0.1985,9.2036,9.9851,NA,1,NA,7.5889,0.1593,7.2779,7.9028,NA,1,0.3,0.3,0.0401,0.2227,0.3787,1,1,0.2,0.211,0.037,0.1394,0.2846,1,1,-0.15,-0.1376,0.0356,-0.2064,-0.0673,1,1,-0.1,-0.0732,0.0318,-0.1376,-0.0122,1,1,NA,1.1101,0.1015,0.9249,1.3212,NA,1,NA,0.8899,0.0864,0.7319,1.069,NA,1,NA,1.6888,0.1341,1.4463,1.972,NA,1,NA,1.2226,0.1027,1.0382,1.4398,NA,1,NA,1.9743,0.1525,1.6994,2.2971,NA,1,NA,1.5415,0.1225,1.3193,1.8008,NA,1,NA,1.9297,0.1498,1.6596,2.2451,NA,1,NA,1.4268,0.1163,1.2163,1.6718,NA,1,NA,1.8989,0.1484,1.6309,2.2133,NA,1,NA,1.4967,0.1204,1.2793,1.7478,NA,1,0.1,0.1042,0.0336,0.0516,0.1788,1,1,0.1,0.1123,0.037,0.0542,0.1933,1,1,0.1,0.1357,0.0417,0.0636,0.2228,1,1,0.1,0.0929,0.0287,0.0484,0.1583,1,1,1,0.9757,0.0359,0.9084,1.0486,1,1,1,0.9747,0.0351,0.9083,1.0461,1,1,0.3,0.2841,0.0256,0.2351,0.3353,1,1,0.3,0.2841,0.0256,0.2351,0.3353,1,1
64,NA,3.5257,0.1309,3.2693,3.7804,NA,1,NA,2.5893,0.0942,2.4045,2.7742,NA,1,NA,6.6963,0.2023,6.3018,7.0967,NA,1,NA,4.806,0.1184,4.5737,5.0393,NA,1,NA,8.4514,0.2133,8.0302,8.8685,NA,1,NA,6.3516,0.14,6.0748,6.6279,NA,1,NA,9.3509,0.2106,8.9352,9.7632,NA,1,NA,7.1908,0.1409,6.9142,7.4654,NA,1,NA,9.7157,0.2033,9.3117,10.1155,NA,1,NA,7.5956,0.1575,7.2878,7.9044,NA,1,0.3,0.369,0.0423,0.2864,0.453,1,1,0.2,0.174,0.0372,0.1028,0.2486,1,1,-0.15,-0.0666,0.0357,-0.1358,0.0031,0,0,-0.1,-0.0246,0.0342,-0.0916,0.0423,0,0,NA,1.1331,0.1049,0.9405,1.3528,NA,1,NA,0.7759,0.0799,0.6291,0.9421,NA,1,NA,1.9123,0.1511,1.6414,2.2322,NA,1,NA,1.0637,0.0957,0.8871,1.2626,NA,1,NA,2.0277,0.1589,1.7407,2.3614,NA,1,NA,1.2773,0.1068,1.0847,1.4997,NA,1,NA,2.0019,0.1581,1.7148,2.3354,NA,1,NA,1.2971,0.1085,1.1003,1.5258,NA,1,NA,1.9332,0.1541,1.6554,2.2579,NA,1,NA,1.4759,0.1192,1.2613,1.7283,NA,1,0.1,0.1351,0.0429,0.0609,0.2224,1,1,0.1,0.0973,0.0313,0.0493,0.1694,1,1,0.1,0.1252,0.039,0.0566,0.2043,1,1,0.1,0.1372,0.0386,0.0663,0.2155,1,1,1,0.9929,0.0371,0.9232,1.0685,1,1,1,1.0345,0.0373,0.9647,1.111,1,1,0.3,0.347,0.0273,0.2941,0.4016,1,1,0.3,0.347,0.0273,0.2941,0.4016,1,1
