"","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]",0,-0.011061,0.0528099943192574,NA,0.0518987921367398,0.051771,-0.00246233354339171,-0.1145975,0.0827299999999999,0.92,NA,0.08,0
"Level2Mean[2]",1,1.004551,0.0511820251650909,0.00455099999999997,0.0512361151331694,0.050429,-0.0157528557946213,0.91712,1.1008875,0.96,1,NA,0
"Level2Mean[3]",1,1.008847,0.0752973405904883,0.00884700000000005,0.0751525054926194,0.072244,-0.0387013775995132,0.88078,1.13065,0.96,1,NA,0
"Level2Mean[4]",1.5,1.497029,0.0907568151710934,-0.0019806666666667,0.0911651440734857,0.092587,0.0155964863650984,1.3345725,1.673775,0.96,1,NA,0
"Level2Mean[5]",2,1.999915,0.0896004268963045,-4.24999999999454e-05,0.0900517767731431,0.093071,0.0335276363781566,1.8145775,2.164335,0.95,1,NA,0
"Level2Mean[6]",2,2.015381,0.132806197521049,0.00769050000000004,0.132577063310973,0.135691,0.0234877482670094,1.75054,2.2324875,0.96,1,NA,0
"Level2Mean[7]",0.3,0.303511,0.0226048866398396,0.0117033333333333,0.0224430542898819,0.022795,0.0156817207485337,0.2641375,0.345695,0.96,1,NA,0
"Level2Mean[8]",0.2,0.201045,0.0219180633268544,0.00522499999999995,0.022003431206257,0.020849,-0.0524659629416674,0.15395,0.2408675,0.93,1,NA,0
"Level2Mean[9]",-0.15,-0.150786,0.0159777157316057,0.00524000000000006,0.0160387662942766,0.01896,0.182135810954849,-0.1814375,-0.117475,0.97,1,NA,0
"Level2Mean[10]",0,-0.000318,0.0174725727928087,NA,0.0175576877748751,0.018331,0.0440440811478297,-0.035275,0.0321674999999999,0.94,NA,0.06,0
"Level2Sigma[1]",1,0.993536,0.0470865437253575,-0.00646400000000003,0.0468757147177836,0.043699,-0.0677688806860664,0.9088875,1.072345,0.94,1,NA,0
"Level2Sigma[2]",1,0.997469,0.0426031160832163,-0.00253100000000006,0.0427421153340862,0.040865,-0.0439172305678842,0.919545,1.065965,0.95,1,NA,0
"Level2Sigma[3]",1.5,1.501311,0.0563685346625225,0.000874000000000041,0.0566371846568894,0.055322,-0.0232212223269365,1.3823925,1.6043,0.95,1,NA,0
"Level2Sigma[4]",2,2.002021,0.0664619763473823,0.00101050000000003,0.0667659099111412,0.067805,0.0155631832209237,1.8859975,2.126035,0.99,1,NA,0
"Level2Sigma[5]",2,1.994767,0.0666252902432702,-0.00261650000000002,0.0667540715740783,0.06889,0.0319969759979571,1.8737575,2.113735,0.97,1,NA,0
"Level2Sigma[6]",3,2.987952,0.1087863723083,-0.00401600000000002,0.108661835252328,0.097565,-0.102122656280924,2.7487775,3.1854225,0.94,1,NA,0
"Level2Sigma[7]",0.1,0.101206,0.0177218396336272,0.01206,0.0177698292710772,0.027186,0.529896522092583,0.0762325,0.145615,1,1,NA,0
"Level2Sigma[8]",0.1,0.10294,0.0199563924595604,0.0294,0.0198380819372613,0.027006,0.361321123957823,0.07552,0.14632,0.99,1,NA,0
"Level2Sigma[9]",0.1,0.101943,0.0201481934674055,0.01943,0.0201553173924877,0.025684,0.274303921880828,0.0737175,0.14361,0.99,1,NA,0
"Level2Sigma[10]",0.1,0.095749,0.017793445422402,-0.04251,0.0173652299469691,0.02398,0.380920383618962,0.0728175,0.1355675,1,1,NA,0
"sigma_innovation[1,1]",1,1.001333,0.019630269993049,0.00133300000000003,0.0196836241992211,0.021337,0.0839975293190339,0.96434,1.0399525,0.96,1,NA,0
"sigma_innovation[2,2]",1,0.997836,0.0206127872933284,-0.00216400000000005,0.0206021501280568,0.020613,0.000526637844874599,0.95927,1.0338525,0.95,1,NA,0
"sigma_innovation[1,2]",0.3,0.298796,0.0158074982207812,-0.00401333333333328,0.0158409832875094,0.015134,-0.0446300128393444,0.26809,0.32733,0.94,1,NA,0
"sigma_innovation[2,1]",0.3,0.298796,0.0158074982207812,-0.00401333333333328,0.0158409832875094,0.015134,-0.0446300128393444,0.26809,0.32733,0.94,1,NA,0
