"","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]",0,-0.007135,0.0462478702212329,NA,0.0459243699197414,0.046931,0.021919300842184,-0.09004,0.0791249999999998,0.94,NA,0.06,0
"Level2Mean[2]",1,1.005978,0.0433520564679463,0.00597800000000004,0.0431542256086097,0.04631,0.0731278188145879,0.9347025,1.094155,0.96,1,NA,0
"Level2Mean[3]",1,1.00539,0.0685878414881238,0.00539000000000001,0.0687201902315073,0.068679,-0.000599390533822608,0.8733025,1.114745,0.96,1,NA,0
"Level2Mean[4]",1.5,1.497108,0.0872344977632129,-0.00192799999999993,0.0876257764760479,0.090638,0.0343759980806048,1.33193,1.676255,0.94,1,NA,0
"Level2Mean[5]",2,2.003644,0.0851372656361478,0.00182199999999999,0.0854877583769935,0.090647,0.0603506481039619,1.8263425,2.153615,0.96,1,NA,0
"Level2Mean[6]",2,2.012557,0.135389864096246,0.00627850000000008,0.135485423760326,0.134051,-0.010587292127186,1.73155,2.247155,0.95,1,NA,0
"Level2Mean[7]",0.3,0.300754,0.00917454086044637,0.00251333333333344,0.00918956830632243,0.007972,-0.132494614081571,0.283675,0.3183625,0.93,1,NA,0
"Level2Mean[8]",0.2,0.199539,0.00795846090648186,-0.00230500000000008,0.00798512373167135,0.00781,-0.0219312483508249,0.18211,0.214115,0.95,1,NA,0
"Level2Mean[9]",-0.15,-0.151239,0.00817498012229999,0.00826000000000012,0.00812125152070949,0.007655,-0.0574112893216686,-0.167145,-0.13639,0.93,1,NA,0
"Level2Mean[10]",0,-0.001258,0.00820353582304606,NA,0.00814734486092422,0.007725,-0.0518383434276658,-0.0219825,0.011615,0.95,NA,0.05,0
"Level2Sigma[1]",1,0.998464,0.0339322059406694,-0.00153599999999998,0.0340681922210751,0.034902,0.0244746704936434,0.927125,1.05791,0.96,1,NA,0
"Level2Sigma[2]",1,0.99863,0.0354387640868019,-0.00136999999999998,0.0355906737869074,0.033956,-0.0459298353466064,0.928935,1.06949,0.93,1,NA,0
"Level2Sigma[3]",1.5,1.50049,0.0516719846725476,0.000326666666666734,0.0519299635192546,0.049691,-0.0431150605069153,1.39377,1.5960825,0.92,1,NA,0
"Level2Sigma[4]",2,2.007374,0.0668897122134637,0.003687,0.0668169346162719,0.064722,-0.0313533481938828,1.8954475,2.1311725,0.96,1,NA,0
"Level2Sigma[5]",2,2.001039,0.0620291036530434,0.000519500000000006,0.0623328486369099,0.064971,0.0423236130031118,1.89077,2.1181825,0.97,1,NA,0
"Level2Sigma[6]",3,2.985685,0.103736314278077,-0.00477166666666662,0.103261478805267,0.095336,-0.0767515524372124,2.77139,3.178685,0.93,1,NA,0
"Level2Sigma[7]",0.1,0.100786,0.00821359848056867,0.00785999999999995,0.0082170925576514,0.008794,0.0702082200365875,0.0857425,0.11782,0.95,1,NA,0
"Level2Sigma[8]",0.1,0.097892,0.0100709284576945,-0.02108,0.00989745074820437,0.008812,-0.109669729692901,0.079865,0.11608,0.92,1,NA,0
"Level2Sigma[9]",0.1,0.099402,0.0088428276020739,-0.00598000000000001,0.00886703097907289,0.008584,-0.0319194756103677,0.08086,0.1140675,0.95,1,NA,0
"Level2Sigma[10]",0.1,0.099574,0.00888649537219257,-0.0042600000000001,0.00892099577718573,0.008677,-0.0273507334023986,0.08419,0.115405,0.97,1,NA,0
"sigma_innovation[1,1]",1,1.000075,0.00912336012662002,7.50000000000473e-05,0.0091690120966374,0.008556,-0.0668569405489401,0.9854,1.0184975,0.94,1,NA,0
"sigma_innovation[2,2]",1,0.999372,0.00818984737342522,-0.000627999999999962,0.00820687172035383,0.008534,0.039860289132443,0.9817225,1.0147075,0.94,1,NA,0
"sigma_innovation[1,2]",0.3,0.299326,0.00598569962493942,-0.00224666666666669,0.00597759486784111,0.006269,0.0487495620900341,0.288595,0.3117025,0.96,1,NA,0
"sigma_innovation[2,1]",0.3,0.299326,0.00598569962493942,-0.00224666666666669,0.00597759486784111,0.006269,0.0487495620900341,0.288595,0.3117025,0.96,1,NA,0
