"","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]",0,-0.014551,0.109862205967293,NA,0.109442908408951,0.117112,0.070073901566942,-0.2320125,0.1954575,0.96,NA,0.04,0
"Level2Mean[2]",1,1.011763,0.124387075293215,0.011763,0.124453457005445,0.11349,-0.0880928281884932,0.780345,1.2413875,0.92,1,NA,0
"Level2Mean[3]",1,1.009517,0.156227754576452,0.009517,0.156723194221757,0.162543,0.0371342978755763,0.7263175,1.3388425,0.95,1,NA,0
"Level2Mean[4]",1.5,1.466756,0.193832302777427,-0.0221626666666667,0.19192222241988,0.206848,0.0777699288384961,1.028195,1.767425,0.96,1,NA,0
"Level2Mean[5]",2,2.012204,0.203360678598396,0.00610200000000005,0.204016804576228,0.208147,0.0202443883598249,1.65741,2.39564,0.97,1,NA,0
"Level2Mean[6]",2,2.034854,0.332254708619758,0.0174270000000001,0.33208613657461,0.300712,-0.0944758998319736,1.3885675,2.6584125,0.93,1,NA,0
"Level2Mean[7]",0.3,0.301307,0.0456532660386965,0.00435666666666668,0.0458644517061202,0.050883,0.109421307945346,0.212475,0.38424,0.97,1,NA,0
"Level2Mean[8]",0.2,0.200883,0.0483654184309409,0.00441499999999997,0.0486009727944375,0.046603,-0.0411097284593076,0.1085125,0.2962325,0.94,0.99,NA,0
"Level2Mean[9]",-0.15,-0.153695,0.0451926022707257,0.0246333333333334,0.0452682049432919,0.043138,-0.0470574202348083,-0.2392475,-0.0560875000000002,0.93,0.95,NA,0
"Level2Mean[10]",0,0.000589,0.0430911557050864,NA,0.0433041950868644,0.04121,-0.0483600972761102,-0.0760325,0.07812,0.95,NA,0.05,0
"Level2Sigma[1]",1,1.002788,0.0937995746259011,0.00278800000000001,0.0942304678257869,0.098463,0.0449168116414127,0.8139275,1.1530775,0.97,1,NA,0
"Level2Sigma[2]",1,0.996976,0.0824477931784714,-0.00302400000000003,0.0828073950242795,0.091997,0.110975655894332,0.8421325,1.16401,0.99,1,NA,0
"Level2Sigma[3]",1.5,1.506793,0.118898314958623,0.0045286666666667,0.119302113958427,0.124847,0.0464776847416573,1.2498975,1.7065025,0.96,1,NA,0
"Level2Sigma[4]",2,1.994389,0.177690720354215,-0.00280550000000002,0.17849683464641,0.152321,-0.146645931835501,1.681245,2.3325025,0.89,1,NA,0
"Level2Sigma[5]",2,1.989103,0.154554577091719,-0.00544849999999997,0.15494662714508,0.154795,-0.000978576609723795,1.715735,2.3122875,0.95,1,NA,0
"Level2Sigma[6]",3,2.958443,0.257280544736675,-0.0138523333333334,0.255181247630825,0.21739,-0.148095708370773,2.44583,3.4067925,0.89,1,NA,0
"Level2Sigma[7]",0.1,0.114655,0.0264032516936835,0.14655,0.0220734008537997,0.04129,0.870577183528671,0.089595,0.1693675,1,1,NA,0
"Level2Sigma[8]",0.1,0.113133,0.0238107265743824,0.13133,0.0199614530300454,0.040804,1.04413976971431,0.088195,0.156905,1,1,NA,0
"Level2Sigma[9]",0.1,0.114132,0.0320916749329168,0.14132,0.028957687278601,0.039389,0.360226029828957,0.0863375,0.18779,0.98,1,NA,0
"Level2Sigma[10]",0.1,0.109676,0.0231892345712402,0.0967599999999999,0.0211802181387265,0.037686,0.779301787789136,0.0844375,0.16105,1,1,NA,0
"sigma_innovation[1,1]",1,0.991628,0.0474378983514236,-0.00837200000000005,0.0469285273882346,0.047193,0.00563564693981264,0.9020175,1.0790025,0.94,1,NA,0
"sigma_innovation[2,2]",1,0.998738,0.0517854709353888,-0.00126199999999999,0.0520308994830005,0.04612,-0.113603638255989,0.9080425,1.09296,0.95,1,NA,0
"sigma_innovation[1,2]",0.3,0.296439,0.0345531836449263,-0.0118699999999999,0.0345423437847146,0.033936,-0.017553637601828,0.23929,0.3759775,0.94,1,NA,0
"sigma_innovation[2,1]",0.3,0.296439,0.0345531836449263,-0.0118699999999999,0.0345423437847146,0.033936,-0.017553637601828,0.23929,0.3759775,0.94,1,NA,0
