"","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","MissingPer"
"Level2Mean[1]",0,-0.012159,0.0490137725542525,NA,0.0477208699976576,0.055013,0.152807985325925,-0.093975,0.0811899999999998,0.97,NA,0.03,0
"Level2Mean[2]",1,1.007191,0.0594264478157663,0.00719099999999995,0.0592869432114149,0.053378,-0.0996668556573045,0.8892025,1.1162825,0.91,1,NA,0
"Level2Mean[3]",1,1.009615,0.0728833815077209,0.00961499999999993,0.0726103414943023,0.074367,0.0241929519892919,0.86321,1.135655,0.98,1,NA,0
"Level2Mean[4]",1.5,1.494468,0.0954579561901469,-0.00368800000000006,0.0957776168786293,0.094267,-0.015772128476986,1.333335,1.697285,0.94,1,NA,0
"Level2Mean[5]",2,1.997101,0.0932604101427825,-0.00144949999999999,0.0936849432131358,0.094708,0.0109201836685398,1.7810775,2.17065,0.94,1,NA,0
"Level2Mean[6]",2,2.015298,0.134304276923708,0.00764900000000002,0.134102365528741,0.13661,0.0186994051996917,1.729185,2.256575,0.95,1,NA,0
"Level2Mean[7]",0.3,0.304694,0.0462869873722626,0.0156466666666668,0.0462803442799064,0.047721,0.0311288894347977,0.207865,0.3836075,0.96,1,NA,0
"Level2Mean[8]",0.2,0.208872,0.043148371927571,0.04436,0.0424391378352815,0.045895,0.08143101724007,0.1301475,0.2925275,0.93,1,NA,0
"Level2Mean[9]",-0.15,-0.155468,0.0328854040571193,0.0364533333333333,0.032590988033659,0.036931,0.133166013925654,-0.218965,-0.0961400000000001,0.96,1,NA,0
"Level2Mean[10]",0,0.000325,0.032773612861569,NA,0.0329371006770496,0.034539,0.0486351041840972,-0.0705675,0.0613525,0.95,NA,0.05,0
"Level2Sigma[1]",1,0.995658,0.0589004108644413,-0.00434199999999996,0.0590360738545647,0.053773,-0.0891501333156107,0.8606975,1.1076875,0.89,1,NA,0
"Level2Sigma[2]",1,0.992699,0.0491446182201063,-0.007301,0.048844102639175,0.049867,0.0209420852376268,0.894665,1.0788225,0.96,1,NA,0
"Level2Sigma[3]",1.5,1.497938,0.0641887513509961,-0.00137466666666667,0.0644788271254584,0.060692,-0.058729776800844,1.377115,1.6396375,0.93,1,NA,0
"Level2Sigma[4]",2,2.001489,0.0691947967696994,0.000744499999999926,0.0695272839330799,0.071021,0.0214838834831777,1.87256,2.130775,0.96,1,NA,0
"Level2Sigma[5]",2,1.990891,0.0679198314191076,-0.00455450000000002,0.0676453139843434,0.072323,0.0691501855803238,1.873555,2.1084225,0.98,1,NA,0
"Level2Sigma[6]",3,2.982736,0.105900719544298,-0.00575466666666665,0.105010421339498,0.099349,-0.0539129475654143,2.76052,3.1812725,0.92,1,NA,0
"Level2Sigma[7]",0.1,0.108876,0.0236669685426757,0.08876,0.0220500354794831,0.036996,0.677820429560017,0.08219,0.1587175,1,1,NA,0
"Level2Sigma[8]",0.1,0.110363,0.0259000019305019,0.10363,0.0238560144460999,0.037789,0.584044983095573,0.08235,0.17039,1,1,NA,0
"Level2Sigma[9]",0.1,0.108318,0.023321372172323,0.0831799999999999,0.0218973102909877,0.036848,0.68276375090531,0.082085,0.1629025,1,1,NA,0
"Level2Sigma[10]",0.1,0.106126,0.0227238465053784,0.0612599999999999,0.0219927748466296,0.035036,0.593068643876432,0.0809225,0.1684625,1,1,NA,0
"sigma_innovation[1,1]",1,0.999631,0.0379645611063792,-0.000368999999999953,0.0381540172104187,0.040965,0.0736746218380822,0.91459,1.071505,0.96,1,NA,0
"sigma_innovation[2,2]",1,0.999434,0.0372647608337958,-0.000565999999999955,0.0374481735336999,0.039434,0.0530286601164415,0.93236,1.0706925,0.97,1,NA,0
"sigma_innovation[1,2]",0.3,0.29859,0.0252081970795216,-0.00469999999999989,0.0252955280113647,0.027216,0.0759214034896782,0.2486325,0.3439025,0.96,1,NA,0
"sigma_innovation[2,1]",0.3,0.29859,0.0252081970795216,-0.00469999999999989,0.0252955280113647,0.027216,0.0759214034896782,0.2486325,0.3439025,0.96,1,NA,0
