Parameter,Min_ESS,Q25_ESS,Median_ESS,Mean_ESS,Max_ESS,Min_RHAT,Median_RHAT,Max_RHAT,N_RHAT_gt_1.10,N_RHAT_gt_1.05,N_ESS_lt_200,N_ESS_lt_100,N_reps
Level2Mean[1],7396,15112.75,17097.5,17709.7,28348,1,1,1.0007,0,0,0,0,100
Level2Mean[2],6497,16219,18667.5,18556.4,27039,1,1,1.0007,0,0,0,0,100
Level2Mean[3],13656,24193.25,26073,25862.6,32731,1,1,1.0004,0,0,0,0,100
Level2Mean[4],25576,29781.5,31079.5,31221.9,35992,1,1,1.0003,0,0,0,0,100
Level2Mean[5],118,155,182,192.9,517,1,1.0023,1.0749,0,1,61,0,100
Level2Mean[6],131,184.75,210,215.7,404,1,1.0029,1.0342,0,0,42,0,100
Level2Mean[7],180,227.5,260,271.5,450,1,1.0023,1.0399,0,0,4,0,100
Level2Mean[8],178,268.25,302,316.2,655,1,1.0017,1.0431,0,0,1,0,100
Level2Sigma[1],489,1083.5,1359,1673.2,13456,1,1.0005,1.0154,0,0,0,0,100
Level2Sigma[2],409,1110.5,1527.5,1846.4,5040,1,1.0004,1.0106,0,0,0,0,100
Level2Sigma[3],938,2633.5,3539.5,4327.5,24070,1,1.0002,1.0064,0,0,0,0,100
Level2Sigma[4],2768,7078.75,10874.5,11834.4,29769,1,1.0001,1.0027,0,0,0,0,100
Level2Sigma[5],230,500.5,567.5,561,836,1,1.0006,1.0123,0,0,0,0,100
Level2Sigma[6],242,444,532,525.4,744,1,1.0009,1.011,0,0,0,0,100
Level2Sigma[7],247,414.5,489.5,493,811,1,1.0009,1.0115,0,0,0,0,100
Level2Sigma[8],318,457.25,534.5,535.3,746,1,1.0008,1.0155,0,0,0,0,100
"sigma_innovation[1,1]",188,314.75,407,432.2,1322,1,1.0012,1.0363,0,0,1,0,100
"sigma_innovation[2,1]",335,538.75,633.5,677.6,1278,1,1.0008,1.014,0,0,0,0,100
"sigma_innovation[1,2]",335,538.75,633.5,677.6,1278,1,1.0008,1.014,0,0,0,0,100
"sigma_innovation[2,2]",257,438.75,543,564.7,1028,1,1.001,1.0124,0,0,0,0,100
