Condition,Replication,Parameter,ESS,RHAT
Study1_Tb3_N100,1,Level2Mean[1],17600,1
Study1_Tb3_N100,1,Level2Mean[2],21380,1
Study1_Tb3_N100,1,Level2Mean[3],25707,1
Study1_Tb3_N100,1,Level2Mean[4],30482,1
Study1_Tb3_N100,1,Level2Mean[5],203,1.0003
Study1_Tb3_N100,1,Level2Mean[6],310,1.0007
Study1_Tb3_N100,1,Level2Mean[7],349,1.0022
Study1_Tb3_N100,1,Level2Mean[8],285,1.0008
Study1_Tb3_N100,1,Level2Sigma[1],2033,1.0001
Study1_Tb3_N100,1,Level2Sigma[2],3379,1.0006
Study1_Tb3_N100,1,Level2Sigma[3],4296,1
Study1_Tb3_N100,1,Level2Sigma[4],16171,1.0003
Study1_Tb3_N100,1,Level2Sigma[5],710,1.0007
Study1_Tb3_N100,1,Level2Sigma[6],521,1.0001
Study1_Tb3_N100,1,Level2Sigma[7],483,1.0003
Study1_Tb3_N100,1,Level2Sigma[8],663,1.0006
Study1_Tb3_N100,1,"sigma_innovation[1,1]",507,1
Study1_Tb3_N100,1,"sigma_innovation[2,1]",943,1.0003
Study1_Tb3_N100,1,"sigma_innovation[1,2]",943,1.0003
Study1_Tb3_N100,1,"sigma_innovation[2,2]",1006,1.0006
Study1_Tb3_N100,2,Level2Mean[1],18256,1
Study1_Tb3_N100,2,Level2Mean[2],21965,1
Study1_Tb3_N100,2,Level2Mean[3],22782,1
Study1_Tb3_N100,2,Level2Mean[4],31003,1
Study1_Tb3_N100,2,Level2Mean[5],262,1.0131
Study1_Tb3_N100,2,Level2Mean[6],206,1.0009
Study1_Tb3_N100,2,Level2Mean[7],186,1.0032
Study1_Tb3_N100,2,Level2Mean[8],466,1.0008
Study1_Tb3_N100,2,Level2Sigma[1],1344,1.0035
Study1_Tb3_N100,2,Level2Sigma[2],1580,1
Study1_Tb3_N100,2,Level2Sigma[3],3818,1.0007
Study1_Tb3_N100,2,Level2Sigma[4],5344,1
Study1_Tb3_N100,2,Level2Sigma[5],327,1
Study1_Tb3_N100,2,Level2Sigma[6],407,1.0001
Study1_Tb3_N100,2,Level2Sigma[7],426,1.0014
Study1_Tb3_N100,2,Level2Sigma[8],318,1.003
Study1_Tb3_N100,2,"sigma_innovation[1,1]",464,1.0037
