Condition,Replication,Parameter,ESS,RHAT
Study1_Tb3_N100,2,"sigma_innovation[2,1]",520,1.0011
Study1_Tb3_N100,2,"sigma_innovation[1,2]",520,1.0011
Study1_Tb3_N100,2,"sigma_innovation[2,2]",516,1
Study1_Tb3_N100,3,Level2Mean[1],13773,1.0001
Study1_Tb3_N100,3,Level2Mean[2],25864,1.0002
Study1_Tb3_N100,3,Level2Mean[3],25474,1
Study1_Tb3_N100,3,Level2Mean[4],31037,1
Study1_Tb3_N100,3,Level2Mean[5],260,1.0004
Study1_Tb3_N100,3,Level2Mean[6],264,1
Study1_Tb3_N100,3,Level2Mean[7],237,1.0004
Study1_Tb3_N100,3,Level2Mean[8],275,1.0006
Study1_Tb3_N100,3,Level2Sigma[1],1201,1.0001
Study1_Tb3_N100,3,Level2Sigma[2],3136,1.0002
Study1_Tb3_N100,3,Level2Sigma[3],3070,1
Study1_Tb3_N100,3,Level2Sigma[4],27882,1
Study1_Tb3_N100,3,Level2Sigma[5],407,1.0023
Study1_Tb3_N100,3,Level2Sigma[6],524,1.0028
Study1_Tb3_N100,3,Level2Sigma[7],557,1.0009
Study1_Tb3_N100,3,Level2Sigma[8],487,1.0155
Study1_Tb3_N100,3,"sigma_innovation[1,1]",531,1.0007
Study1_Tb3_N100,3,"sigma_innovation[2,1]",471,1
Study1_Tb3_N100,3,"sigma_innovation[1,2]",471,1
Study1_Tb3_N100,3,"sigma_innovation[2,2]",763,1
Study1_Tb3_N100,4,Level2Mean[1],13291,1
Study1_Tb3_N100,4,Level2Mean[2],18665,1.0001
Study1_Tb3_N100,4,Level2Mean[3],22641,1
Study1_Tb3_N100,4,Level2Mean[4],30604,1
Study1_Tb3_N100,4,Level2Mean[5],214,1.0164
Study1_Tb3_N100,4,Level2Mean[6],171,1.0169
Study1_Tb3_N100,4,Level2Mean[7],437,1.0125
Study1_Tb3_N100,4,Level2Mean[8],307,1.0066
Study1_Tb3_N100,4,Level2Sigma[1],1160,1.0022
Study1_Tb3_N100,4,Level2Sigma[2],1247,1.0024
Study1_Tb3_N100,4,Level2Sigma[3],3190,1.0024
Study1_Tb3_N100,4,Level2Sigma[4],6105,1.0005
Study1_Tb3_N100,4,Level2Sigma[5],509,1.0006
Study1_Tb3_N100,4,Level2Sigma[6],670,1
Study1_Tb3_N100,4,Level2Sigma[7],419,1.0001
Study1_Tb3_N100,4,Level2Sigma[8],493,1
Study1_Tb3_N100,4,"sigma_innovation[1,1]",540,1.0052
Study1_Tb3_N100,4,"sigma_innovation[2,1]",1051,1.0004
Study1_Tb3_N100,4,"sigma_innovation[1,2]",1051,1.0004
Study1_Tb3_N100,4,"sigma_innovation[2,2]",395,1.0047
Study1_Tb3_N100,5,Level2Mean[1],17606,1
Study1_Tb3_N100,5,Level2Mean[2],18816,1
Study1_Tb3_N100,5,Level2Mean[3],26014,1.0003
Study1_Tb3_N100,5,Level2Mean[4],30425,1.0001
Study1_Tb3_N100,5,Level2Mean[5],171,1.0212
Study1_Tb3_N100,5,Level2Mean[6],166,1.0117
Study1_Tb3_N100,5,Level2Mean[7],228,1.0016
Study1_Tb3_N100,5,Level2Mean[8],313,1.03
Study1_Tb3_N100,5,Level2Sigma[1],1333,1.0023
Study1_Tb3_N100,5,Level2Sigma[2],1454,1.0037
Study1_Tb3_N100,5,Level2Sigma[3],3799,1.0017
Study1_Tb3_N100,5,Level2Sigma[4],7336,1.0005
Study1_Tb3_N100,5,Level2Sigma[5],613,1.0044
Study1_Tb3_N100,5,Level2Sigma[6],481,1
Study1_Tb3_N100,5,Level2Sigma[7],602,1.0115
Study1_Tb3_N100,5,Level2Sigma[8],570,1.0037
Study1_Tb3_N100,5,"sigma_innovation[1,1]",352,1.0072
Study1_Tb3_N100,5,"sigma_innovation[2,1]",601,1.001
Study1_Tb3_N100,5,"sigma_innovation[1,2]",601,1.001
Study1_Tb3_N100,5,"sigma_innovation[2,2]",477,1.0068
Study1_Tb3_N100,6,Level2Mean[1],14819,1
Study1_Tb3_N100,6,Level2Mean[2],15674,1
Study1_Tb3_N100,6,Level2Mean[3],20138,1
Study1_Tb3_N100,6,Level2Mean[4],30782,1
Study1_Tb3_N100,6,Level2Mean[5],213,1.0011
Study1_Tb3_N100,6,Level2Mean[6],156,1.0014
Study1_Tb3_N100,6,Level2Mean[7],450,1.0003
Study1_Tb3_N100,6,Level2Mean[8],383,1
Study1_Tb3_N100,6,Level2Sigma[1],3040,1
Study1_Tb3_N100,6,Level2Sigma[2],844,1.0009
Study1_Tb3_N100,6,Level2Sigma[3],2451,1.0002
Study1_Tb3_N100,6,Level2Sigma[4],7714,1
Study1_Tb3_N100,6,Level2Sigma[5],515,1.0063
Study1_Tb3_N100,6,Level2Sigma[6],426,1
Study1_Tb3_N100,6,Level2Sigma[7],309,1
Study1_Tb3_N100,6,Level2Sigma[8],517,1.0039
Study1_Tb3_N100,6,"sigma_innovation[1,1]",683,1.0015
Study1_Tb3_N100,6,"sigma_innovation[2,1]",1248,1.0007
Study1_Tb3_N100,6,"sigma_innovation[1,2]",1248,1.0007
Study1_Tb3_N100,6,"sigma_innovation[2,2]",276,1.0011
Study1_Tb3_N100,7,Level2Mean[1],16208,1
Study1_Tb3_N100,7,Level2Mean[2],13611,1.0001
Study1_Tb3_N100,7,Level2Mean[3],22428,1
Study1_Tb3_N100,7,Level2Mean[4],28165,1
Study1_Tb3_N100,7,Level2Mean[5],307,1
Study1_Tb3_N100,7,Level2Mean[6],253,1.0091
Study1_Tb3_N100,7,Level2Mean[7],298,1.0036
Study1_Tb3_N100,7,Level2Mean[8],381,1.0002
Study1_Tb3_N100,7,Level2Sigma[1],1377,1.0004
Study1_Tb3_N100,7,Level2Sigma[2],999,1.0028
Study1_Tb3_N100,7,Level2Sigma[3],2644,1
Study1_Tb3_N100,7,Level2Sigma[4],5595,1.0003
Study1_Tb3_N100,7,Level2Sigma[5],496,1.0073
Study1_Tb3_N100,7,Level2Sigma[6],433,1.0062
Study1_Tb3_N100,7,Level2Sigma[7],560,1.0049
Study1_Tb3_N100,7,Level2Sigma[8],522,1
Study1_Tb3_N100,7,"sigma_innovation[1,1]",570,1
Study1_Tb3_N100,7,"sigma_innovation[2,1]",903,1.0005
Study1_Tb3_N100,7,"sigma_innovation[1,2]",903,1.0005
Study1_Tb3_N100,7,"sigma_innovation[2,2]",646,1.002
Study1_Tb3_N100,8,Level2Mean[1],20331,1
Study1_Tb3_N100,8,Level2Mean[2],16669,1
Study1_Tb3_N100,8,Level2Mean[3],28031,1
Study1_Tb3_N100,8,Level2Mean[4],34160,1.0001
Study1_Tb3_N100,8,Level2Mean[5],153,1.0027
Study1_Tb3_N100,8,Level2Mean[6],221,1.0137
Study1_Tb3_N100,8,Level2Mean[7],253,1.0123
Study1_Tb3_N100,8,Level2Mean[8],284,1.0077
Study1_Tb3_N100,8,Level2Sigma[1],774,1.0006
Study1_Tb3_N100,8,Level2Sigma[2],1020,1.002
Study1_Tb3_N100,8,Level2Sigma[3],2953,1.0002
Study1_Tb3_N100,8,Level2Sigma[4],10152,1.0004
Study1_Tb3_N100,8,Level2Sigma[5],533,1.0005
Study1_Tb3_N100,8,Level2Sigma[6],560,1
Study1_Tb3_N100,8,Level2Sigma[7],594,1.0019
Study1_Tb3_N100,8,Level2Sigma[8],624,1.0009
Study1_Tb3_N100,8,"sigma_innovation[1,1]",249,1.001
Study1_Tb3_N100,8,"sigma_innovation[2,1]",657,1.0056
Study1_Tb3_N100,8,"sigma_innovation[1,2]",657,1.0056
Study1_Tb3_N100,8,"sigma_innovation[2,2]",638,1.0039
Study1_Tb3_N100,9,Level2Mean[1],14544,1.0001
Study1_Tb3_N100,9,Level2Mean[2],23327,1
Study1_Tb3_N100,9,Level2Mean[3],15960,1
Study1_Tb3_N100,9,Level2Mean[4],33536,1
Study1_Tb3_N100,9,Level2Mean[5],138,1.0011
Study1_Tb3_N100,9,Level2Mean[6],221,1.0004
Study1_Tb3_N100,9,Level2Mean[7],380,1
Study1_Tb3_N100,9,Level2Mean[8],239,1.002
Study1_Tb3_N100,9,Level2Sigma[1],976,1.0002
Study1_Tb3_N100,9,Level2Sigma[2],2840,1.0003
Study1_Tb3_N100,9,Level2Sigma[3],938,1
Study1_Tb3_N100,9,Level2Sigma[4],15072,1
Study1_Tb3_N100,9,Level2Sigma[5],613,1
Study1_Tb3_N100,9,Level2Sigma[6],509,1.005
Study1_Tb3_N100,9,Level2Sigma[7],413,1.0001
Study1_Tb3_N100,9,Level2Sigma[8],529,1.0003
Study1_Tb3_N100,9,"sigma_innovation[1,1]",370,1.0001
Study1_Tb3_N100,9,"sigma_innovation[2,1]",755,1.0008
Study1_Tb3_N100,9,"sigma_innovation[1,2]",755,1.0008
Study1_Tb3_N100,9,"sigma_innovation[2,2]",488,1.0003
Study1_Tb3_N100,10,Level2Mean[1],17632,1
Study1_Tb3_N100,10,Level2Mean[2],21554,1
Study1_Tb3_N100,10,Level2Mean[3],28515,1.0001
Study1_Tb3_N100,10,Level2Mean[4],33605,1.0001
Study1_Tb3_N100,10,Level2Mean[5],134,1.0001
Study1_Tb3_N100,10,Level2Mean[6],239,1
Study1_Tb3_N100,10,Level2Mean[7],279,1.0024
Study1_Tb3_N100,10,Level2Mean[8],260,1.0057
Study1_Tb3_N100,10,Level2Sigma[1],631,1
Study1_Tb3_N100,10,Level2Sigma[2],2569,1
Study1_Tb3_N100,10,Level2Sigma[3],3956,1
Study1_Tb3_N100,10,Level2Sigma[4],14146,1
Study1_Tb3_N100,10,Level2Sigma[5],599,1.0015
Study1_Tb3_N100,10,Level2Sigma[6],566,1.0042
Study1_Tb3_N100,10,Level2Sigma[7],530,1.004
Study1_Tb3_N100,10,Level2Sigma[8],611,1.0023
Study1_Tb3_N100,10,"sigma_innovation[1,1]",288,1
Study1_Tb3_N100,10,"sigma_innovation[2,1]",583,1.0039
Study1_Tb3_N100,10,"sigma_innovation[1,2]",583,1.0039
Study1_Tb3_N100,10,"sigma_innovation[2,2]",503,1.0001
Study1_Tb3_N100,11,Level2Mean[1],23370,1
Study1_Tb3_N100,11,Level2Mean[2],18527,1
Study1_Tb3_N100,11,Level2Mean[3],28073,1
Study1_Tb3_N100,11,Level2Mean[4],31196,1.0001
Study1_Tb3_N100,11,Level2Mean[5],344,1.0034
Study1_Tb3_N100,11,Level2Mean[6],227,1.0004
Study1_Tb3_N100,11,Level2Mean[7],260,1.0012
Study1_Tb3_N100,11,Level2Mean[8],296,1.0001
Study1_Tb3_N100,11,Level2Sigma[1],2089,1.0005
Study1_Tb3_N100,11,Level2Sigma[2],1746,1.0004
Study1_Tb3_N100,11,Level2Sigma[3],7383,1
Study1_Tb3_N100,11,Level2Sigma[4],15195,1
Study1_Tb3_N100,11,Level2Sigma[5],300,1.0006
Study1_Tb3_N100,11,Level2Sigma[6],557,1.0063
Study1_Tb3_N100,11,Level2Sigma[7],582,1.0001
Study1_Tb3_N100,11,Level2Sigma[8],517,1.0055
Study1_Tb3_N100,11,"sigma_innovation[1,1]",692,1.0024
Study1_Tb3_N100,11,"sigma_innovation[2,1]",505,1.0012
Study1_Tb3_N100,11,"sigma_innovation[1,2]",505,1.0012
Study1_Tb3_N100,11,"sigma_innovation[2,2]",506,1.0006
Study1_Tb3_N100,12,Level2Mean[1],23159,1
Study1_Tb3_N100,12,Level2Mean[2],17954,1
Study1_Tb3_N100,12,Level2Mean[3],27615,1
Study1_Tb3_N100,12,Level2Mean[4],33270,1
Study1_Tb3_N100,12,Level2Mean[5],178,1.0086
Study1_Tb3_N100,12,Level2Mean[6],184,1.0033
Study1_Tb3_N100,12,Level2Mean[7],380,1.0008
Study1_Tb3_N100,12,Level2Mean[8],323,1.0055
Study1_Tb3_N100,12,Level2Sigma[1],1990,1.0011
Study1_Tb3_N100,12,Level2Sigma[2],1295,1.0001
Study1_Tb3_N100,12,Level2Sigma[3],3368,1.0004
Study1_Tb3_N100,12,Level2Sigma[4],10928,1
Study1_Tb3_N100,12,Level2Sigma[5],501,1.0009
Study1_Tb3_N100,12,Level2Sigma[6],532,1.0032
Study1_Tb3_N100,12,Level2Sigma[7],339,1.0028
Study1_Tb3_N100,12,Level2Sigma[8],467,1
Study1_Tb3_N100,12,"sigma_innovation[1,1]",343,1.0035
Study1_Tb3_N100,12,"sigma_innovation[2,1]",853,1
Study1_Tb3_N100,12,"sigma_innovation[1,2]",853,1
Study1_Tb3_N100,12,"sigma_innovation[2,2]",464,1.0005
Study1_Tb3_N100,13,Level2Mean[1],16436,1
Study1_Tb3_N100,13,Level2Mean[2],21748,1.0001
Study1_Tb3_N100,13,Level2Mean[3],24211,1
Study1_Tb3_N100,13,Level2Mean[4],34024,1
Study1_Tb3_N100,13,Level2Mean[5],204,1.0007
Study1_Tb3_N100,13,Level2Mean[6],206,1.0036
Study1_Tb3_N100,13,Level2Mean[7],287,1
Study1_Tb3_N100,13,Level2Mean[8],299,1.0004
Study1_Tb3_N100,13,Level2Sigma[1],1118,1
Study1_Tb3_N100,13,Level2Sigma[2],2241,1
Study1_Tb3_N100,13,Level2Sigma[3],6570,1
Study1_Tb3_N100,13,Level2Sigma[4],14992,1.0001
Study1_Tb3_N100,13,Level2Sigma[5],513,1
Study1_Tb3_N100,13,Level2Sigma[6],599,1.0002
Study1_Tb3_N100,13,Level2Sigma[7],501,1.0031
Study1_Tb3_N100,13,Level2Sigma[8],589,1.0015
Study1_Tb3_N100,13,"sigma_innovation[1,1]",507,1.0002
Study1_Tb3_N100,13,"sigma_innovation[2,1]",562,1
Study1_Tb3_N100,13,"sigma_innovation[1,2]",562,1
Study1_Tb3_N100,13,"sigma_innovation[2,2]",462,1.0009
Study1_Tb3_N100,14,Level2Mean[1],14282,1.0001
Study1_Tb3_N100,14,Level2Mean[2],16375,1
Study1_Tb3_N100,14,Level2Mean[3],26072,1
Study1_Tb3_N100,14,Level2Mean[4],32851,1
Study1_Tb3_N100,14,Level2Mean[5],145,1.0007
Study1_Tb3_N100,14,Level2Mean[6],207,1.0123
Study1_Tb3_N100,14,Level2Mean[7],287,1.0033
Study1_Tb3_N100,14,Level2Mean[8],299,1.0026
Study1_Tb3_N100,14,Level2Sigma[1],706,1.0001
Study1_Tb3_N100,14,Level2Sigma[2],1686,1.0023
Study1_Tb3_N100,14,Level2Sigma[3],2683,1
Study1_Tb3_N100,14,Level2Sigma[4],16798,1.0001
Study1_Tb3_N100,14,Level2Sigma[5],585,1.0123
Study1_Tb3_N100,14,Level2Sigma[6],567,1.0032
Study1_Tb3_N100,14,Level2Sigma[7],490,1.0006
Study1_Tb3_N100,14,Level2Sigma[8],446,1.0057
Study1_Tb3_N100,14,"sigma_innovation[1,1]",260,1.0006
Study1_Tb3_N100,14,"sigma_innovation[2,1]",958,1.0026
Study1_Tb3_N100,14,"sigma_innovation[1,2]",958,1.0026
Study1_Tb3_N100,14,"sigma_innovation[2,2]",607,1.0088
Study1_Tb3_N100,15,Level2Mean[1],22282,1.0003
Study1_Tb3_N100,15,Level2Mean[2],22662,1.0002
Study1_Tb3_N100,15,Level2Mean[3],30021,1
Study1_Tb3_N100,15,Level2Mean[4],27697,1.0001
Study1_Tb3_N100,15,Level2Mean[5],125,1.0121
Study1_Tb3_N100,15,Level2Mean[6],174,1.0084
Study1_Tb3_N100,15,Level2Mean[7],216,1.0066
Study1_Tb3_N100,15,Level2Mean[8],223,1
Study1_Tb3_N100,15,Level2Sigma[1],893,1.005
Study1_Tb3_N100,15,Level2Sigma[2],1329,1.0003
Study1_Tb3_N100,15,Level2Sigma[3],1932,1.0014
Study1_Tb3_N100,15,Level2Sigma[4],2768,1.0008
Study1_Tb3_N100,15,Level2Sigma[5],569,1.0086
Study1_Tb3_N100,15,Level2Sigma[6],438,1
Study1_Tb3_N100,15,Level2Sigma[7],449,1
Study1_Tb3_N100,15,Level2Sigma[8],321,1.006
Study1_Tb3_N100,15,"sigma_innovation[1,1]",235,1.0115
Study1_Tb3_N100,15,"sigma_innovation[2,1]",335,1.0022
Study1_Tb3_N100,15,"sigma_innovation[1,2]",335,1.0022
Study1_Tb3_N100,15,"sigma_innovation[2,2]",351,1.0027
Study1_Tb3_N100,16,Level2Mean[1],14412,1
Study1_Tb3_N100,16,Level2Mean[2],19985,1
Study1_Tb3_N100,16,Level2Mean[3],27762,1
Study1_Tb3_N100,16,Level2Mean[4],30192,1
Study1_Tb3_N100,16,Level2Mean[5],189,1.003
Study1_Tb3_N100,16,Level2Mean[6],280,1.0138
Study1_Tb3_N100,16,Level2Mean[7],409,1.0104
Study1_Tb3_N100,16,Level2Mean[8],359,1.0001
Study1_Tb3_N100,16,Level2Sigma[1],977,1.0014
Study1_Tb3_N100,16,Level2Sigma[2],2318,1.0007
Study1_Tb3_N100,16,Level2Sigma[3],4254,1.0001
Study1_Tb3_N100,16,Level2Sigma[4],6985,1.0005
Study1_Tb3_N100,16,Level2Sigma[5],543,1
Study1_Tb3_N100,16,Level2Sigma[6],557,1.0004
Study1_Tb3_N100,16,Level2Sigma[7],330,1.0019
Study1_Tb3_N100,16,Level2Sigma[8],669,1.0002
Study1_Tb3_N100,16,"sigma_innovation[1,1]",409,1.0024
Study1_Tb3_N100,16,"sigma_innovation[2,1]",1046,1.0029
Study1_Tb3_N100,16,"sigma_innovation[1,2]",1046,1.0029
Study1_Tb3_N100,16,"sigma_innovation[2,2]",715,1.0038
Study1_Tb3_N100,17,Level2Mean[1],20742,1
Study1_Tb3_N100,17,Level2Mean[2],17868,1
Study1_Tb3_N100,17,Level2Mean[3],30956,1
Study1_Tb3_N100,17,Level2Mean[4],33119,1
Study1_Tb3_N100,17,Level2Mean[5],149,1.0009
Study1_Tb3_N100,17,Level2Mean[6],153,1.005
Study1_Tb3_N100,17,Level2Mean[7],245,1.0004
Study1_Tb3_N100,17,Level2Mean[8],235,1.0056
Study1_Tb3_N100,17,Level2Sigma[1],1960,1
Study1_Tb3_N100,17,Level2Sigma[2],916,1.001
Study1_Tb3_N100,17,Level2Sigma[3],2105,1
Study1_Tb3_N100,17,Level2Sigma[4],11715,1.0002
Study1_Tb3_N100,17,Level2Sigma[5],424,1.0001
Study1_Tb3_N100,17,Level2Sigma[6],637,1.0002
Study1_Tb3_N100,17,Level2Sigma[7],404,1.001
Study1_Tb3_N100,17,Level2Sigma[8],626,1.0006
Study1_Tb3_N100,17,"sigma_innovation[1,1]",294,1.0003
Study1_Tb3_N100,17,"sigma_innovation[2,1]",517,1.001
Study1_Tb3_N100,17,"sigma_innovation[1,2]",517,1.001
Study1_Tb3_N100,17,"sigma_innovation[2,2]",332,1.0025
Study1_Tb3_N100,18,Level2Mean[1],19195,1
Study1_Tb3_N100,18,Level2Mean[2],17872,1
Study1_Tb3_N100,18,Level2Mean[3],27296,1
Study1_Tb3_N100,18,Level2Mean[4],30729,1
Study1_Tb3_N100,18,Level2Mean[5],180,1.0001
Study1_Tb3_N100,18,Level2Mean[6],170,1.0342
Study1_Tb3_N100,18,Level2Mean[7],184,1.0399
Study1_Tb3_N100,18,Level2Mean[8],263,1.0022
Study1_Tb3_N100,18,Level2Sigma[1],3103,1
Study1_Tb3_N100,18,Level2Sigma[2],1776,1.0036
Study1_Tb3_N100,18,Level2Sigma[3],8562,1.0001
Study1_Tb3_N100,18,Level2Sigma[4],6991,1.0017
Study1_Tb3_N100,18,Level2Sigma[5],606,1.0016
Study1_Tb3_N100,18,Level2Sigma[6],705,1.0005
Study1_Tb3_N100,18,Level2Sigma[7],496,1
Study1_Tb3_N100,18,Level2Sigma[8],471,1.0005
Study1_Tb3_N100,18,"sigma_innovation[1,1]",506,1.0001
Study1_Tb3_N100,18,"sigma_innovation[2,1]",675,1.007
Study1_Tb3_N100,18,"sigma_innovation[1,2]",675,1.007
Study1_Tb3_N100,18,"sigma_innovation[2,2]",480,1.009
Study1_Tb3_N100,19,Level2Mean[1],16225,1
Study1_Tb3_N100,19,Level2Mean[2],22579,1
Study1_Tb3_N100,19,Level2Mean[3],25103,1.0001
Study1_Tb3_N100,19,Level2Mean[4],31221,1
Study1_Tb3_N100,19,Level2Mean[5],248,1.0028
Study1_Tb3_N100,19,Level2Mean[6],198,1.0146
Study1_Tb3_N100,19,Level2Mean[7],252,1.0038
Study1_Tb3_N100,19,Level2Mean[8],328,1.0058
Study1_Tb3_N100,19,Level2Sigma[1],986,1.0025
Study1_Tb3_N100,19,Level2Sigma[2],1699,1.0021
Study1_Tb3_N100,19,Level2Sigma[3],3339,1.0006
Study1_Tb3_N100,19,Level2Sigma[4],11974,1.0002
Study1_Tb3_N100,19,Level2Sigma[5],460,1.0005
Study1_Tb3_N100,19,Level2Sigma[6],635,1.0004
Study1_Tb3_N100,19,Level2Sigma[7],565,1.0003
Study1_Tb3_N100,19,Level2Sigma[8],492,1.0002
Study1_Tb3_N100,19,"sigma_innovation[1,1]",486,1.0034
Study1_Tb3_N100,19,"sigma_innovation[2,1]",449,1.0071
Study1_Tb3_N100,19,"sigma_innovation[1,2]",449,1.0071
Study1_Tb3_N100,19,"sigma_innovation[2,2]",455,1.0118
Study1_Tb3_N100,20,Level2Mean[1],11530,1.0001
Study1_Tb3_N100,20,Level2Mean[2],13777,1
Study1_Tb3_N100,20,Level2Mean[3],25867,1.0001
Study1_Tb3_N100,20,Level2Mean[4],29624,1
Study1_Tb3_N100,20,Level2Mean[5],264,1.0017
Study1_Tb3_N100,20,Level2Mean[6],132,1.0059
Study1_Tb3_N100,20,Level2Mean[7],326,1.0008
Study1_Tb3_N100,20,Level2Mean[8],339,1.0041
Study1_Tb3_N100,20,Level2Sigma[1],1176,1.0004
Study1_Tb3_N100,20,Level2Sigma[2],487,1.0025
Study1_Tb3_N100,20,Level2Sigma[3],7081,1
Study1_Tb3_N100,20,Level2Sigma[4],6773,1.0002
Study1_Tb3_N100,20,Level2Sigma[5],573,1.0011
Study1_Tb3_N100,20,Level2Sigma[6],529,1
Study1_Tb3_N100,20,Level2Sigma[7],481,1.0064
Study1_Tb3_N100,20,Level2Sigma[8],446,1.0006
Study1_Tb3_N100,20,"sigma_innovation[1,1]",663,1.0011
Study1_Tb3_N100,20,"sigma_innovation[2,1]",740,1
Study1_Tb3_N100,20,"sigma_innovation[1,2]",740,1
Study1_Tb3_N100,20,"sigma_innovation[2,2]",272,1.0036
Study1_Tb3_N100,21,Level2Mean[1],13232,1
Study1_Tb3_N100,21,Level2Mean[2],24764,1
Study1_Tb3_N100,21,Level2Mean[3],13656,1.0001
Study1_Tb3_N100,21,Level2Mean[4],35428,1
Study1_Tb3_N100,21,Level2Mean[5],301,1
Study1_Tb3_N100,21,Level2Mean[6],227,1.0007
Study1_Tb3_N100,21,Level2Mean[7],216,1.0003
Study1_Tb3_N100,21,Level2Mean[8],287,1.0017
Study1_Tb3_N100,21,Level2Sigma[1],2696,1.0001
Study1_Tb3_N100,21,Level2Sigma[2],2692,1
Study1_Tb3_N100,21,Level2Sigma[3],1713,1.0007
Study1_Tb3_N100,21,Level2Sigma[4],23060,1
Study1_Tb3_N100,21,Level2Sigma[5],578,1.0005
Study1_Tb3_N100,21,Level2Sigma[6],565,1.0001
Study1_Tb3_N100,21,Level2Sigma[7],636,1.0024
Study1_Tb3_N100,21,Level2Sigma[8],427,1.0039
Study1_Tb3_N100,21,"sigma_innovation[1,1]",852,1.0001
Study1_Tb3_N100,21,"sigma_innovation[2,1]",563,1.0002
Study1_Tb3_N100,21,"sigma_innovation[1,2]",563,1.0002
Study1_Tb3_N100,21,"sigma_innovation[2,2]",651,1.0001
Study1_Tb3_N100,22,Level2Mean[1],15013,1
Study1_Tb3_N100,22,Level2Mean[2],16135,1.0002
Study1_Tb3_N100,22,Level2Mean[3],29821,1.0004
Study1_Tb3_N100,22,Level2Mean[4],30810,1
Study1_Tb3_N100,22,Level2Mean[5],154,1.0048
Study1_Tb3_N100,22,Level2Mean[6],181,1.0027
Study1_Tb3_N100,22,Level2Mean[7],262,1.0018
Study1_Tb3_N100,22,Level2Mean[8],374,1.0003
Study1_Tb3_N100,22,Level2Sigma[1],1088,1.0029
Study1_Tb3_N100,22,Level2Sigma[2],973,1.0012
Study1_Tb3_N100,22,Level2Sigma[3],3211,1.0004
Study1_Tb3_N100,22,Level2Sigma[4],5769,1.0008
Study1_Tb3_N100,22,Level2Sigma[5],681,1
Study1_Tb3_N100,22,Level2Sigma[6],601,1
Study1_Tb3_N100,22,Level2Sigma[7],683,1.0018
Study1_Tb3_N100,22,Level2Sigma[8],355,1.0019
Study1_Tb3_N100,22,"sigma_innovation[1,1]",315,1.0014
Study1_Tb3_N100,22,"sigma_innovation[2,1]",1049,1.0005
Study1_Tb3_N100,22,"sigma_innovation[1,2]",1049,1.0005
Study1_Tb3_N100,22,"sigma_innovation[2,2]",498,1.0014
Study1_Tb3_N100,23,Level2Mean[1],19029,1
Study1_Tb3_N100,23,Level2Mean[2],23523,1
Study1_Tb3_N100,23,Level2Mean[3],29755,1
Study1_Tb3_N100,23,Level2Mean[4],34002,1
Study1_Tb3_N100,23,Level2Mean[5],125,1.021
Study1_Tb3_N100,23,Level2Mean[6],158,1.0094
Study1_Tb3_N100,23,Level2Mean[7],337,1.0001
Study1_Tb3_N100,23,Level2Mean[8],244,1.0084
Study1_Tb3_N100,23,Level2Sigma[1],750,1.0059
Study1_Tb3_N100,23,Level2Sigma[2],1340,1.0012
Study1_Tb3_N100,23,Level2Sigma[3],4047,1.0008
Study1_Tb3_N100,23,Level2Sigma[4],11111,1.0001
