Condition,Replication,Parameter,ESS,RHAT
Study1_Tb3_N500,5,Level2Sigma[3],3121,1.0023
Study1_Tb3_N500,5,Level2Sigma[4],4346,1.0001
Study1_Tb3_N500,5,Level2Sigma[5],211,1.004
Study1_Tb3_N500,5,Level2Sigma[6],144,1.0247
Study1_Tb3_N500,5,Level2Sigma[7],187,1
Study1_Tb3_N500,5,Level2Sigma[8],158,1.0063
Study1_Tb3_N500,5,"sigma_innovation[1,1]",268,1.0123
Study1_Tb3_N500,5,"sigma_innovation[2,1]",383,1.0009
Study1_Tb3_N500,5,"sigma_innovation[1,2]",383,1.0009
Study1_Tb3_N500,5,"sigma_innovation[2,2]",421,1.0004
Study1_Tb3_N500,6,Level2Mean[1],17718,1.0001
Study1_Tb3_N500,6,Level2Mean[2],18873,1
Study1_Tb3_N500,6,Level2Mean[3],26270,1
Study1_Tb3_N500,6,Level2Mean[4],31400,1
Study1_Tb3_N500,6,Level2Mean[5],177,1.0496
Study1_Tb3_N500,6,Level2Mean[6],219,1.0132
Study1_Tb3_N500,6,Level2Mean[7],198,1.019
Study1_Tb3_N500,6,Level2Mean[8],200,1.0027
Study1_Tb3_N500,6,Level2Sigma[1],1095,1.013
Study1_Tb3_N500,6,Level2Sigma[2],1386,1.004
Study1_Tb3_N500,6,Level2Sigma[3],3034,1.0058
Study1_Tb3_N500,6,Level2Sigma[4],7963,1.0002
Study1_Tb3_N500,6,Level2Sigma[5],176,1.0347
Study1_Tb3_N500,6,Level2Sigma[6],136,1.0213
Study1_Tb3_N500,6,Level2Sigma[7],165,1.0059
Study1_Tb3_N500,6,Level2Sigma[8],274,1.0015
Study1_Tb3_N500,6,"sigma_innovation[1,1]",336,1.0234
Study1_Tb3_N500,6,"sigma_innovation[2,1]",483,1.0056
Study1_Tb3_N500,6,"sigma_innovation[1,2]",483,1.0056
Study1_Tb3_N500,6,"sigma_innovation[2,2]",482,1.0033
Study1_Tb3_N500,7,Level2Mean[1],18610,1
Study1_Tb3_N500,7,Level2Mean[2],19159,1.0003
Study1_Tb3_N500,7,Level2Mean[3],27518,1
Study1_Tb3_N500,7,Level2Mean[4],31673,1
Study1_Tb3_N500,7,Level2Mean[5],165,1.011
Study1_Tb3_N500,7,Level2Mean[6],134,1.0111
Study1_Tb3_N500,7,Level2Mean[7],202,1
Study1_Tb3_N500,7,Level2Mean[8],272,1.0006
Study1_Tb3_N500,7,Level2Sigma[1],603,1.004
Study1_Tb3_N500,7,Level2Sigma[2],923,1.0024
Study1_Tb3_N500,7,Level2Sigma[3],2163,1.001
Study1_Tb3_N500,7,Level2Sigma[4],5921,1.0007
Study1_Tb3_N500,7,Level2Sigma[5],137,1.009
Study1_Tb3_N500,7,Level2Sigma[6],164,1.0101
Study1_Tb3_N500,7,Level2Sigma[7],173,1.0034
Study1_Tb3_N500,7,Level2Sigma[8],152,1.0031
Study1_Tb3_N500,7,"sigma_innovation[1,1]",263,1.0043
Study1_Tb3_N500,7,"sigma_innovation[2,1]",536,1.002
Study1_Tb3_N500,7,"sigma_innovation[1,2]",536,1.002
Study1_Tb3_N500,7,"sigma_innovation[2,2]",343,1.008
Study1_Tb3_N500,8,Level2Mean[1],20386,1
Study1_Tb3_N500,8,Level2Mean[2],18642,1
Study1_Tb3_N500,8,Level2Mean[3],27645,1
Study1_Tb3_N500,8,Level2Mean[4],32028,1
Study1_Tb3_N500,8,Level2Mean[5],172,1.0201
Study1_Tb3_N500,8,Level2Mean[6],265,1.0058
Study1_Tb3_N500,8,Level2Mean[7],291,1.0038
Study1_Tb3_N500,8,Level2Mean[8],343,1.0041
Study1_Tb3_N500,8,Level2Sigma[1],1340,1.003
Study1_Tb3_N500,8,Level2Sigma[2],1177,1.0035
Study1_Tb3_N500,8,Level2Sigma[3],5107,1.0011
Study1_Tb3_N500,8,Level2Sigma[4],10310,1.0002
Study1_Tb3_N500,8,Level2Sigma[5],171,1.0098
Study1_Tb3_N500,8,Level2Sigma[6],136,1.0052
Study1_Tb3_N500,8,Level2Sigma[7],150,1.031
Study1_Tb3_N500,8,Level2Sigma[8],185,1.0305
Study1_Tb3_N500,8,"sigma_innovation[1,1]",352,1.0173
Study1_Tb3_N500,8,"sigma_innovation[2,1]",780,1.0003
Study1_Tb3_N500,8,"sigma_innovation[1,2]",780,1.0003
Study1_Tb3_N500,8,"sigma_innovation[2,2]",538,1.0049
Study1_Tb3_N500,9,Level2Mean[1],18884,1
Study1_Tb3_N500,9,Level2Mean[2],19396,1
Study1_Tb3_N500,9,Level2Mean[3],27613,1
Study1_Tb3_N500,9,Level2Mean[4],31639,1
Study1_Tb3_N500,9,Level2Mean[5],140,1.0373
Study1_Tb3_N500,9,Level2Mean[6],160,1.0056
Study1_Tb3_N500,9,Level2Mean[7],259,1.0002
Study1_Tb3_N500,9,Level2Mean[8],241,1.0227
Study1_Tb3_N500,9,Level2Sigma[1],748,1.0104
Study1_Tb3_N500,9,Level2Sigma[2],1436,1.0008
Study1_Tb3_N500,9,Level2Sigma[3],2200,1.0034
Study1_Tb3_N500,9,Level2Sigma[4],11631,1
Study1_Tb3_N500,9,Level2Sigma[5],169,1.0004
Study1_Tb3_N500,9,Level2Sigma[6],170,1.0001
Study1_Tb3_N500,9,Level2Sigma[7],136,1.0227
Study1_Tb3_N500,9,Level2Sigma[8],168,1.0053
Study1_Tb3_N500,9,"sigma_innovation[1,1]",241,1.0251
Study1_Tb3_N500,9,"sigma_innovation[2,1]",684,1
Study1_Tb3_N500,9,"sigma_innovation[1,2]",684,1
Study1_Tb3_N500,9,"sigma_innovation[2,2]",424,1.0003
Study1_Tb3_N500,10,Level2Mean[1],16806,1
Study1_Tb3_N500,10,Level2Mean[2],22350,1
Study1_Tb3_N500,10,Level2Mean[3],28392,1
Study1_Tb3_N500,10,Level2Mean[4],32434,1
Study1_Tb3_N500,10,Level2Mean[5],189,1.0151
Study1_Tb3_N500,10,Level2Mean[6],157,1.0001
Study1_Tb3_N500,10,Level2Mean[7],184,1.0047
Study1_Tb3_N500,10,Level2Mean[8],400,1
Study1_Tb3_N500,10,Level2Sigma[1],1246,1.0028
Study1_Tb3_N500,10,Level2Sigma[2],883,1
Study1_Tb3_N500,10,Level2Sigma[3],4370,1.001
Study1_Tb3_N500,10,Level2Sigma[4],9098,1
Study1_Tb3_N500,10,Level2Sigma[5],124,1.0242
Study1_Tb3_N500,10,Level2Sigma[6],136,1.0066
Study1_Tb3_N500,10,Level2Sigma[7],140,1.0028
Study1_Tb3_N500,10,Level2Sigma[8],143,1.0314
Study1_Tb3_N500,10,"sigma_innovation[1,1]",307,1.0229
Study1_Tb3_N500,10,"sigma_innovation[2,1]",613,1.0022
Study1_Tb3_N500,10,"sigma_innovation[1,2]",613,1.0022
Study1_Tb3_N500,10,"sigma_innovation[2,2]",375,1.0002
Study1_Tb3_N500,11,Level2Mean[1],20064,1
Study1_Tb3_N500,11,Level2Mean[2],20224,1
Study1_Tb3_N500,11,Level2Mean[3],28299,1.0001
Study1_Tb3_N500,11,Level2Mean[4],30992,1
Study1_Tb3_N500,11,Level2Mean[5],124,1.0391
Study1_Tb3_N500,11,Level2Mean[6],196,1.0008
Study1_Tb3_N500,11,Level2Mean[7],215,1.0395
Study1_Tb3_N500,11,Level2Mean[8],227,1.0043
Study1_Tb3_N500,11,Level2Sigma[1],1223,1.0076
Study1_Tb3_N500,11,Level2Sigma[2],694,1.0004
Study1_Tb3_N500,11,Level2Sigma[3],4646,1.0026
Study1_Tb3_N500,11,Level2Sigma[4],5974,1.0001
Study1_Tb3_N500,11,Level2Sigma[5],162,1.0082
Study1_Tb3_N500,11,Level2Sigma[6],151,1.0131
Study1_Tb3_N500,11,Level2Sigma[7],131,1.0075
Study1_Tb3_N500,11,Level2Sigma[8],182,1.0081
Study1_Tb3_N500,11,"sigma_innovation[1,1]",290,1.0238
Study1_Tb3_N500,11,"sigma_innovation[2,1]",395,1.0206
Study1_Tb3_N500,11,"sigma_innovation[1,2]",395,1.0206
Study1_Tb3_N500,11,"sigma_innovation[2,2]",430,1.0006
Study1_Tb3_N500,12,Level2Mean[1],19189,1
Study1_Tb3_N500,12,Level2Mean[2],21291,1
Study1_Tb3_N500,12,Level2Mean[3],26914,1
Study1_Tb3_N500,12,Level2Mean[4],33674,1
Study1_Tb3_N500,12,Level2Mean[5],136,1.006
Study1_Tb3_N500,12,Level2Mean[6],129,1.022
Study1_Tb3_N500,12,Level2Mean[7],208,1.0057
Study1_Tb3_N500,12,Level2Mean[8],190,1.0081
Study1_Tb3_N500,12,Level2Sigma[1],851,1.0003
Study1_Tb3_N500,12,Level2Sigma[2],1548,1.0018
Study1_Tb3_N500,12,Level2Sigma[3],2212,1.0005
Study1_Tb3_N500,12,Level2Sigma[4],12739,1.0001
Study1_Tb3_N500,12,Level2Sigma[5],161,1.0002
Study1_Tb3_N500,12,Level2Sigma[6],208,1.004
Study1_Tb3_N500,12,Level2Sigma[7],148,1.0368
Study1_Tb3_N500,12,Level2Sigma[8],191,1.0004
Study1_Tb3_N500,12,"sigma_innovation[1,1]",245,1.003
Study1_Tb3_N500,12,"sigma_innovation[2,1]",440,1
Study1_Tb3_N500,12,"sigma_innovation[1,2]",440,1
Study1_Tb3_N500,12,"sigma_innovation[2,2]",340,1.0024
Study1_Tb3_N500,13,Level2Mean[1],20278,1
Study1_Tb3_N500,13,Level2Mean[2],23671,1.0001
Study1_Tb3_N500,13,Level2Mean[3],27082,1
Study1_Tb3_N500,13,Level2Mean[4],34451,1
Study1_Tb3_N500,13,Level2Mean[5],159,1.0044
Study1_Tb3_N500,13,Level2Mean[6],189,1.0002
Study1_Tb3_N500,13,Level2Mean[7],235,1
Study1_Tb3_N500,13,Level2Mean[8],267,1
Study1_Tb3_N500,13,Level2Sigma[1],788,1.0015
Study1_Tb3_N500,13,Level2Sigma[2],2261,1.0002
Study1_Tb3_N500,13,Level2Sigma[3],2593,1.0004
Study1_Tb3_N500,13,Level2Sigma[4],14766,1
Study1_Tb3_N500,13,Level2Sigma[5],146,1.0053
Study1_Tb3_N500,13,Level2Sigma[6],155,1.0002
Study1_Tb3_N500,13,Level2Sigma[7],159,1.0014
Study1_Tb3_N500,13,Level2Sigma[8],149,1.0013
Study1_Tb3_N500,13,"sigma_innovation[1,1]",312,1.0027
Study1_Tb3_N500,13,"sigma_innovation[2,1]",459,1.0001
Study1_Tb3_N500,13,"sigma_innovation[1,2]",459,1.0001
Study1_Tb3_N500,13,"sigma_innovation[2,2]",433,1
Study1_Tb3_N500,14,Level2Mean[1],18142,1
Study1_Tb3_N500,14,Level2Mean[2],19670,1
Study1_Tb3_N500,14,Level2Mean[3],26859,1
Study1_Tb3_N500,14,Level2Mean[4],32096,1
Study1_Tb3_N500,14,Level2Mean[5],227,1.0018
Study1_Tb3_N500,14,Level2Mean[6],161,1.0009
Study1_Tb3_N500,14,Level2Mean[7],247,1.0008
Study1_Tb3_N500,14,Level2Mean[8],348,1.0024
Study1_Tb3_N500,14,Level2Sigma[1],1067,1.0007
Study1_Tb3_N500,14,Level2Sigma[2],1306,1.0001
Study1_Tb3_N500,14,Level2Sigma[3],2924,1.0007
Study1_Tb3_N500,14,Level2Sigma[4],11173,1.0001
Study1_Tb3_N500,14,Level2Sigma[5],170,1.0055
Study1_Tb3_N500,14,Level2Sigma[6],176,1
Study1_Tb3_N500,14,Level2Sigma[7],180,1.0012
Study1_Tb3_N500,14,Level2Sigma[8],136,1.0093
Study1_Tb3_N500,14,"sigma_innovation[1,1]",401,1
Study1_Tb3_N500,14,"sigma_innovation[2,1]",647,1
Study1_Tb3_N500,14,"sigma_innovation[1,2]",647,1
Study1_Tb3_N500,14,"sigma_innovation[2,2]",399,1.0003
Study1_Tb3_N500,15,Level2Mean[1],19083,1
Study1_Tb3_N500,15,Level2Mean[2],19314,1
Study1_Tb3_N500,15,Level2Mean[3],28460,1
Study1_Tb3_N500,15,Level2Mean[4],32198,1
Study1_Tb3_N500,15,Level2Mean[5],230,1.0012
Study1_Tb3_N500,15,Level2Mean[6],177,1.0005
Study1_Tb3_N500,15,Level2Mean[7],204,1.0013
Study1_Tb3_N500,15,Level2Mean[8],293,1
Study1_Tb3_N500,15,Level2Sigma[1],980,1.0006
Study1_Tb3_N500,15,Level2Sigma[2],860,1.0001
Study1_Tb3_N500,15,Level2Sigma[3],4633,1
