"","Label","TruePar","MeanPar_hat","RMSE","rBias","SD","Mean_SE_hat","RDSE","95%CI_LL","95%CI_UL","Coverage","Power","TypeIError","DetectRate","MissingPer"
"Level2Mean[1]","Burst1_y1","3.38008587561722","3.362111","0.136701380141001","-0.00531787542644403","0.136197165380105","0.130023","-0.045332554189907","3.08051","3.61202","0.93","1",NA,"1","0"
"Level2Mean[2]","Burst1_y2","2.6490919557642","2.637639","0.0938806347163069","-0.00432335153156019","0.0936488356747286","0.097594","0.0421272116929906","2.4563475","2.8107625","0.96","1",NA,"1","0"
"Level2Mean[3]","Burst2_y1","6.5592497625802","6.522838","0.196507474692941","-0.0055512084305622","0.194077385263474","0.184774","-0.0479364726129447","6.1924525","6.89788","0.94","1",NA,"1","0"
"Level2Mean[4]","Burst2_y2","4.79549474076678","4.792024","0.117205911393027","-0.000723750301981087","0.117744714539635","0.131487","0.116712546411064","4.5663625","4.99767","0.99","1",NA,"1","0"
"Level2Mean[5]","Burst3_y1","8.41991048086296","8.361949","0.21469953740711","-0.00688385951307863","0.207769195223542","0.200181","-0.0365222342772128","7.9848375","8.769675","0.93","1",NA,"1","0"
"Level2Mean[6]","Burst3_y2","6.27213639876793","6.253557","0.136937868793032","-0.00296221216929838","0.136355098844187","0.14764","0.0827611233570951","5.9902075","6.4949625","0.97","1",NA,"1","0"
"Level2Mean[7]","Burst4_y1","9.29394031721092","9.243067","0.226106828324673","-0.00547381578475537","0.221419213466039","0.202627","-0.0848716476401041","8.8779375","9.684395","0.91","1",NA,"1","0"
"Level2Mean[8]","Burst4_y2","7.10490577112262","7.086489","0.133324913041723","-0.0025921203906001","0.132712018207726","0.152691","0.150543877352559","6.81066","7.3141525","0.96","1",NA,"1","0"
"Level2Mean[9]","Burst5_y1","9.68083248283218","9.626289","0.219190123633488","-0.00563417277686637","0.213364862203767","0.204259","-0.0426774217165634","9.208765","10.0582425","0.94","1",NA,"1","0"
"Level2Mean[10]","Burst5_y2","7.54002818053297","7.506293","0.152617676750081","-0.00447414515241048","0.14959235129734","0.15644","0.0457753932154562","7.1634725","7.7629075","0.95","1",NA,"1","0"
"Level2Mean[11]","AR1","0.3","0.30315","0.038901285325809","0.0105","0.0389688751739543","0.040735","0.0453214217285419","0.21932","0.369945","0.94","1",NA,"1","0"
"Level2Mean[12]","AR2","0.2","0.206233","0.0379109707076988","0.0311649999999999","0.0375834614793219","0.037912","0.00874157163141589","0.12753","0.2818875","0.93","1",NA,"1","0"
"Level2Mean[13]","CR_y1toy2","-0.15","-0.152023","0.0323843588789403","0.0134866666666666","0.032483938082279","0.03399","0.046363280028004","-0.2021925","-0.0922275","0.97","0.98",NA,"0.98","0"
"Level2Mean[14]","CR_y2toy1","-0.1","-0.099405","0.030787710210407","-0.00594999999999998","0.0309370340491388","0.033156","0.0717252322034706","-0.14861","-0.0352225","0.96","0.84",NA,"0.84","0"
"Level2Sigma[1]","SD_Burst1_y1","1.16975723241009","1.152327","0.100191544418028","-0.0149007263448814","0.0991607845008715","0.104835","0.0572223740230555","0.9458625","1.3579375","0.95","1",NA,"1","0"
"Level2Sigma[2]","SD_Burst1_y2","0.818364051334181","0.807775","0.0735588219261152","-0.0129392918920595","0.0731593823598363","0.083941","0.147371632897802","0.683875","0.96036","0.98","1",NA,"1","0"
