"r","Tru_Level2Mean[1]","Est_Level2Mean[1]","se_Level2Mean[1]","LL_Level2Mean[1]","UL_Level2Mean[1]","cFlag_Level2Mean[1]","pFlag_Level2Mean[1]","Tru_Level2Mean[2]","Est_Level2Mean[2]","se_Level2Mean[2]","LL_Level2Mean[2]","UL_Level2Mean[2]","cFlag_Level2Mean[2]","pFlag_Level2Mean[2]","Tru_Level2Mean[3]","Est_Level2Mean[3]","se_Level2Mean[3]","LL_Level2Mean[3]","UL_Level2Mean[3]","cFlag_Level2Mean[3]","pFlag_Level2Mean[3]","Tru_Level2Mean[4]","Est_Level2Mean[4]","se_Level2Mean[4]","LL_Level2Mean[4]","UL_Level2Mean[4]","cFlag_Level2Mean[4]","pFlag_Level2Mean[4]","Tru_Level2Mean[5]","Est_Level2Mean[5]","se_Level2Mean[5]","LL_Level2Mean[5]","UL_Level2Mean[5]","cFlag_Level2Mean[5]","pFlag_Level2Mean[5]","Tru_Level2Mean[6]","Est_Level2Mean[6]","se_Level2Mean[6]","LL_Level2Mean[6]","UL_Level2Mean[6]","cFlag_Level2Mean[6]","pFlag_Level2Mean[6]","Tru_Level2Mean[7]","Est_Level2Mean[7]","se_Level2Mean[7]","LL_Level2Mean[7]","UL_Level2Mean[7]","cFlag_Level2Mean[7]","pFlag_Level2Mean[7]","Tru_Level2Mean[8]","Est_Level2Mean[8]","se_Level2Mean[8]","LL_Level2Mean[8]","UL_Level2Mean[8]","cFlag_Level2Mean[8]","pFlag_Level2Mean[8]","Tru_Level2Mean[9]","Est_Level2Mean[9]","se_Level2Mean[9]","LL_Level2Mean[9]","UL_Level2Mean[9]","cFlag_Level2Mean[9]","pFlag_Level2Mean[9]","Tru_Level2Mean[10]","Est_Level2Mean[10]","se_Level2Mean[10]","LL_Level2Mean[10]","UL_Level2Mean[10]","cFlag_Level2Mean[10]","pFlag_Level2Mean[10]","Tru_Level2Mean[11]","Est_Level2Mean[11]","se_Level2Mean[11]","LL_Level2Mean[11]","UL_Level2Mean[11]","cFlag_Level2Mean[11]","pFlag_Level2Mean[11]","Tru_Level2Mean[12]","Est_Level2Mean[12]","se_Level2Mean[12]","LL_Level2Mean[12]","UL_Level2Mean[12]","cFlag_Level2Mean[12]","pFlag_Level2Mean[12]","Tru_Level2Mean[13]","Est_Level2Mean[13]","se_Level2Mean[13]","LL_Level2Mean[13]","UL_Level2Mean[13]","cFlag_Level2Mean[13]","pFlag_Level2Mean[13]","Tru_Level2Mean[14]","Est_Level2Mean[14]","se_Level2Mean[14]","LL_Level2Mean[14]","UL_Level2Mean[14]","cFlag_Level2Mean[14]","pFlag_Level2Mean[14]","Tru_Level2Sigma[1]","Est_Level2Sigma[1]","se_Level2Sigma[1]","LL_Level2Sigma[1]","UL_Level2Sigma[1]","cFlag_Level2Sigma[1]","pFlag_Level2Sigma[1]","Tru_Level2Sigma[2]","Est_Level2Sigma[2]","se_Level2Sigma[2]","LL_Level2Sigma[2]","UL_Level2Sigma[2]","cFlag_Level2Sigma[2]","pFlag_Level2Sigma[2]","Tru_Level2Sigma[3]","Est_Level2Sigma[3]","se_Level2Sigma[3]","LL_Level2Sigma[3]","UL_Level2Sigma[3]","cFlag_Level2Sigma[3]","pFlag_Level2Sigma[3]","Tru_Level2Sigma[4]","Est_Level2Sigma[4]","se_Level2Sigma[4]","LL_Level2Sigma[4]","UL_Level2Sigma[4]","cFlag_Level2Sigma[4]","pFlag_Level2Sigma[4]","Tru_Level2Sigma[5]","Est_Level2Sigma[5]","se_Level2Sigma[5]","LL_Level2Sigma[5]","UL_Level2Sigma[5]","cFlag_Level2Sigma[5]","pFlag_Level2Sigma[5]","Tru_Level2Sigma[6]","Est_Level2Sigma[6]","se_Level2Sigma[6]","LL_Level2Sigma[6]","UL_Level2Sigma[6]","cFlag_Level2Sigma[6]","pFlag_Level2Sigma[6]","Tru_Level2Sigma[7]","Est_Level2Sigma[7]","se_Level2Sigma[7]","LL_Level2Sigma[7]","UL_Level2Sigma[7]","cFlag_Level2Sigma[7]","pFlag_Level2Sigma[7]","Tru_Level2Sigma[8]","Est_Level2Sigma[8]","se_Level2Sigma[8]","LL_Level2Sigma[8]","UL_Level2Sigma[8]","cFlag_Level2Sigma[8]","pFlag_Level2Sigma[8]","Tru_Level2Sigma[9]","Est_Level2Sigma[9]","se_Level2Sigma[9]","LL_Level2Sigma[9]","UL_Level2Sigma[9]","cFlag_Level2Sigma[9]","pFlag_Level2Sigma[9]","Tru_Level2Sigma[10]","Est_Level2Sigma[10]","se_Level2Sigma[10]","LL_Level2Sigma[10]","UL_Level2Sigma[10]","cFlag_Level2Sigma[10]","pFlag_Level2Sigma[10]","Tru_Level2Sigma[11]","Est_Level2Sigma[11]","se_Level2Sigma[11]","LL_Level2Sigma[11]","UL_Level2Sigma[11]","cFlag_Level2Sigma[11]","pFlag_Level2Sigma[11]","Tru_Level2Sigma[12]","Est_Level2Sigma[12]","se_Level2Sigma[12]","LL_Level2Sigma[12]","UL_Level2Sigma[12]","cFlag_Level2Sigma[12]","pFlag_Level2Sigma[12]","Tru_Level2Sigma[13]","Est_Level2Sigma[13]","se_Level2Sigma[13]","LL_Level2Sigma[13]","UL_Level2Sigma[13]","cFlag_Level2Sigma[13]","pFlag_Level2Sigma[13]","Tru_Level2Sigma[14]","Est_Level2Sigma[14]","se_Level2Sigma[14]","LL_Level2Sigma[14]","UL_Level2Sigma[14]","cFlag_Level2Sigma[14]","pFlag_Level2Sigma[14]","Tru_sigma_innovation[1,1]","Est_sigma_innovation[1,1]","se_sigma_innovation[1,1]","LL_sigma_innovation[1,1]","UL_sigma_innovation[1,1]","cFlag_sigma_innovation[1,1]","pFlag_sigma_innovation[1,1]","Tru_sigma_innovation[2,2]","Est_sigma_innovation[2,2]","se_sigma_innovation[2,2]","LL_sigma_innovation[2,2]","UL_sigma_innovation[2,2]","cFlag_sigma_innovation[2,2]","pFlag_sigma_innovation[2,2]","Tru_sigma_innovation[1,2]","Est_sigma_innovation[1,2]","se_sigma_innovation[1,2]","LL_sigma_innovation[1,2]","UL_sigma_innovation[1,2]","cFlag_sigma_innovation[1,2]","pFlag_sigma_innovation[1,2]","Tru_sigma_innovation[2,1]","Est_sigma_innovation[2,1]","se_sigma_innovation[2,1]","LL_sigma_innovation[2,1]","UL_sigma_innovation[2,1]","cFlag_sigma_innovation[2,1]","pFlag_sigma_innovation[2,1]"
1,3.38008587561722,3.3563,0.0611,3.2361,3.4756,1,1,2.6490919557642,2.6277,0.0427,2.5441,2.7109,1,1,6.5592497625802,6.5251,0.0835,6.3615,6.6899,1,1,4.79549474076678,4.7392,0.0606,4.6213,4.8592,1,1,8.41991048086296,8.3533,0.0923,8.171,8.5335,1,1,6.27213639876793,6.2591,0.0692,6.1235,6.394,1,1,9.29394031721092,9.2492,0.0918,9.0702,9.4278,1,1,7.10490577112262,7.042,0.0738,6.8963,7.1868,1,1,9.68083248283218,9.5978,0.0952,9.4105,9.7855,1,1,7.54002818053297,7.4515,0.0745,7.3048,7.5963,1,1,0.3,0.2662,0.0184,0.2309,0.3026,1,1,0.2,0.2236,0.0168,0.192,0.2575,1,1,-0.15,-0.1758,0.0154,-0.2054,-0.1453,1,1,-0.1,-0.0736,0.0144,-0.1018,-0.0455,1,1,1.16975723241009,1.2459,0.0483,1.1537,1.3436,1,1,0.818364051334181,0.783,0.0374,0.7115,0.858,1,1,1.77224917802126,1.7873,0.0629,1.6678,1.9157,1,1,1.22554713982381,1.2427,0.0471,1.1532,1.338,1,1,1.92749400743346,1.9727,0.0676,1.8432,2.1102,1,1,1.39038469211727,1.452,0.0525,1.3537,1.5589,1,1,1.96107469695758,1.96,0.0674,1.8324,2.0968,1,1,1.44296594681151,1.5624,0.0556,1.4562,1.6748,0,1,1.97661392972742,2.0424,0.0693,1.9113,2.1833,1,1,1.46479650840188,1.5688,0.0558,1.4632,1.6826,1,1,0.1,0.1229,0.0253,0.0721,0.1707,1,1,0.1,0.114,0.0239,0.0671,0.1594,1,1,0.1,0.1132,0.0216,0.0698,0.1548,1,1,0.1,0.0885,0.0197,0.0535,0.1295,1,1,1,0.9974,0.0162,0.9662,1.0298,1,1,1,1.0015,0.016,0.9707,1.0329,1,1,0.3,0.3075,0.0118,0.2847,0.331,1,1,0.3,0.3075,0.0118,0.2847,0.331,1,1
2,3.38008587561722,3.4654,0.058,3.3507,3.5791,1,1,2.6490919557642,2.6091,0.0458,2.5199,2.6985,1,1,6.5592497625802,6.7047,0.0835,6.5405,6.8668,1,1,4.79549474076678,4.69,0.061,4.5697,4.8092,1,1,8.41991048086296,8.5761,0.0927,8.3944,8.7578,1,1,6.27213639876793,6.1898,0.07,6.053,6.3278,1,1,9.29394031721092,9.4699,0.0939,9.2856,9.653,1,1,7.10490577112262,7.0107,0.067,6.8782,7.1426,1,1,9.68083248283218,9.8286,0.0935,9.6457,10.0111,1,1,7.54002818053297,7.4621,0.071,7.3225,7.6014,1,1,0.3,0.3015,0.0174,0.2678,0.3359,1,1,0.2,0.2286,0.0162,0.197,0.2596,1,1,-0.15,-0.1492,0.0148,-0.1782,-0.1201,1,1,-0.1,-0.0853,0.0142,-0.1127,-0.0571,1,1,1.16975723241009,1.1622,0.0467,1.0741,1.2568,1,1,0.818364051334181,0.8665,0.0391,0.7916,0.9451,1,1,1.77224917802126,1.7581,0.0619,1.6411,1.883,1,1,1.22554713982381,1.2501,0.0478,1.1594,1.3471,1,1,1.92749400743346,1.975,0.0681,1.8465,2.1134,1,1,1.39038469211727,1.4544,0.053,1.3544,1.5616,1,1,1.96107469695758,2.0144,0.0696,1.8823,2.1565,1,1,1.44296594681151,1.3888,0.0513,1.2918,1.493,1,1,1.97661392972742,2.0059,0.069,1.8762,2.1453,1,1,1.46479650840188,1.4801,0.0537,1.3796,1.589,1,1,0.1,0.0807,0.0201,0.0464,0.1242,1,1,0.1,0.0879,0.0202,0.0519,0.1301,1,1,0.1,0.0914,0.021,0.0536,0.133,1,1,0.1,0.075,0.0159,0.0474,0.108,1,1,1,1.008,0.0163,0.9766,1.0402,1,1,1,1.0418,0.0165,1.01,1.0747,0,1,0.3,0.3028,0.0118,0.2797,0.3262,1,1,0.3,0.3028,0.0118,0.2797,0.3262,1,1
3,3.38008587561722,3.3505,0.0572,3.2382,3.4624,1,1,2.6490919557642,2.5988,0.0407,2.5194,2.6797,1,1,6.5592497625802,6.43,0.0857,6.2611,6.5992,1,1,4.79549474076678,4.7117,0.0576,4.5988,4.8243,1,1,8.41991048086296,8.2663,0.0926,8.0841,8.4466,1,1,6.27213639876793,6.209,0.064,6.0834,6.3342,1,1,9.29394031721092,9.1135,0.0934,8.93,9.2976,1,1,7.10490577112262,7.0383,0.0679,6.905,7.1724,1,1,9.68083248283218,9.5181,0.0955,9.332,9.7061,1,1,7.54002818053297,7.5509,0.0683,7.416,7.6845,1,1,0.3,0.2909,0.0183,0.2559,0.3276,1,1,0.2,0.2067,0.017,0.1739,0.2407,1,1,-0.15,-0.1467,0.0152,-0.1764,-0.1176,1,1,-0.1,-0.0946,0.0143,-0.1226,-0.0664,1,1,1.16975723241009,1.1436,0.0465,1.0553,1.2381,1,1,0.818364051334181,0.7278,0.0369,0.6568,0.8018,0,1,1.77224917802126,1.8253,0.0637,1.7052,1.9537,1,1,1.22554713982381,1.1672,0.0458,1.0799,1.2598,1,1,1.92749400743346,1.976,0.0678,1.8467,2.1122,1,1,1.39038469211727,1.3294,0.0496,1.2352,1.4292,1,1,1.96107469695758,1.9891,0.0685,1.8602,2.1286,1,1,1.44296594681151,1.4231,0.0517,1.3252,1.5278,1,1,1.97661392972742,2.0545,0.0702,1.9227,2.1981,1,1,1.46479650840188,1.4248,0.0517,1.3266,1.529,1,1,0.1,0.1062,0.0255,0.0548,0.1546,1,1,0.1,0.1074,0.0246,0.0602,0.1556,1,1,0.1,0.0863,0.0191,0.0531,0.1261,1,1,0.1,0.0714,0.0155,0.0442,0.1044,1,1,1,1.0008,0.0162,0.9694,1.0332,1,1,1,1.025,0.0162,0.9938,1.0572,1,1,0.3,0.294,0.0118,0.2709,0.3171,1,1,0.3,0.294,0.0118,0.2709,0.3171,1,1
4,3.38008587561722,3.4559,0.0606,3.3377,3.5747,1,1,2.6490919557642,2.6709,0.0418,2.5894,2.7536,1,1,6.5592497625802,6.7134,0.0841,6.5498,6.8784,1,1,4.79549474076678,4.8862,0.0574,4.7735,4.9989,1,1,8.41991048086296,8.523,0.0895,8.3487,8.6999,1,1,6.27213639876793,6.3941,0.0648,6.2664,6.5217,1,1,9.29394031721092,9.4081,0.0899,9.2314,9.5846,1,1,7.10490577112262,7.1983,0.068,7.0638,7.3321,1,1,9.68083248283218,9.7148,0.0912,9.5361,9.8938,1,1,7.54002818053297,7.5858,0.0665,7.4556,7.7159,1,1,0.3,0.3206,0.018,0.2861,0.3564,1,1,0.2,0.1826,0.0163,0.1512,0.2143,1,1,-0.15,-0.1465,0.0151,-0.176,-0.1164,1,1,-0.1,-0.1052,0.0149,-0.1347,-0.0764,1,1,1.16975723241009,1.2152,0.0486,1.1237,1.3135,1,1,0.818364051334181,0.7755,0.0364,0.7056,0.8486,1,1,1.77224917802126,1.7871,0.0633,1.6677,1.9165,1,1,1.22554713982381,1.1664,0.0447,1.0822,1.257,1,1,1.92749400743346,1.9139,0.0669,1.7871,2.0495,1,1,1.39038469211727,1.35,0.0493,1.2565,1.4494,1,1,1.96107469695758,1.9168,0.0666,1.7916,2.0522,1,1,1.44296594681151,1.4327,0.0515,1.3347,1.5369,1,1,1.97661392972742,1.9619,0.0683,1.8331,2.1005,1,1,1.46479650840188,1.3992,0.0502,1.3038,1.5009,1,1,0.1,0.0862,0.0209,0.0501,0.1312,1,1,0.1,0.0839,0.0194,0.0504,0.1242,1,1,0.1,0.1215,0.0214,0.0758,0.1611,1,1,0.1,0.103,0.0206,0.0637,0.1431,1,1,1,1.0278,0.017,0.9953,1.062,1,1,1,0.9923,0.0161,0.9612,1.024,1,1,0.3,0.3187,0.0118,0.2956,0.3418,1,1,0.3,0.3187,0.0118,0.2956,0.3418,1,1
5,3.38008587561722,3.3067,0.0568,3.1962,3.4188,1,1,2.6490919557642,2.6604,0.045,2.5716,2.7486,1,1,6.5592497625802,6.5643,0.0849,6.3979,6.7309,1,1,4.79549474076678,4.8088,0.0603,4.6903,4.9273,1,1,8.41991048086296,8.3778,0.0892,8.2028,8.5536,1,1,6.27213639876793,6.2937,0.0646,6.167,6.4198,1,1,9.29394031721092,9.2056,0.0939,9.0223,9.3909,1,1,7.10490577112262,7.117,0.067,6.9868,7.2494,1,1,9.68083248283218,9.6189,0.0938,9.4343,9.8034,1,1,7.54002818053297,7.5565,0.068,7.4225,7.6906,1,1,0.3,0.3221,0.0183,0.2871,0.3581,1,1,0.2,0.2012,0.0171,0.168,0.2355,1,1,-0.15,-0.1518,0.0148,-0.18,-0.1227,1,1,-0.1,-0.0906,0.0141,-0.1184,-0.0633,1,1,1.16975723241009,1.1207,0.047,1.0319,1.2157,1,1,0.818364051334181,0.848,0.0383,0.7741,0.9249,1,1,1.77224917802126,1.7901,0.0638,1.6692,1.919,1,1,1.22554713982381,1.2399,0.0471,1.1497,1.3345,1,1,1.92749400743346,1.8936,0.0666,1.7676,2.0285,1,1,1.39038469211727,1.335,0.0497,1.2405,1.436,1,1,1.96107469695758,2.0146,0.0701,1.8829,2.1575,1,1,1.44296594681151,1.3943,0.0511,1.2974,1.4975,1,1,1.97661392972742,1.997,0.0696,1.8644,2.1398,1,1,1.46479650840188,1.4208,0.0516,1.3231,1.5257,1,1,0.1,0.1431,0.0232,0.0955,0.1871,1,1,0.1,0.1123,0.0244,0.0652,0.1587,1,1,0.1,0.1097,0.0211,0.069,0.1506,1,1,0.1,0.0779,0.0182,0.0467,0.1167,1,1,1,1.0292,0.0168,0.9967,1.0624,1,1,1,1.0118,0.0162,0.9805,1.0444,1,1,0.3,0.2839,0.0119,0.2608,0.3074,1,1,0.3,0.2839,0.0119,0.2608,0.3074,1,1
6,3.38008587561722,3.4356,0.0565,3.3254,3.5471,1,1,2.6490919557642,2.6054,0.0423,2.5222,2.6879,1,1,6.5592497625802,6.632,0.0832,6.4684,6.7949,1,1,4.79549474076678,4.7822,0.0598,4.6643,4.8982,1,1,8.41991048086296,8.4934,0.0913,8.3133,8.6728,1,1,6.27213639876793,6.2601,0.0681,6.1265,6.3934,1,1,9.29394031721092,9.3665,0.0939,9.1824,9.5496,1,1,7.10490577112262,7.1439,0.0691,7.0078,7.2795,1,1,9.68083248283218,9.7375,0.0914,9.5583,9.9168,1,1,7.54002818053297,7.5474,0.0705,7.4084,7.6862,1,1,0.3,0.3085,0.0186,0.2722,0.3457,1,1,0.2,0.2279,0.017,0.1943,0.261,1,1,-0.15,-0.1631,0.0147,-0.1918,-0.1347,1,1,-0.1,-0.0895,0.0149,-0.1187,-0.0604,1,1,1.16975723241009,1.1118,0.0462,1.023,1.2052,1,1,0.818364051334181,0.7792,0.0373,0.7084,0.854,1,1,1.77224917802126,1.7658,0.0629,1.6464,1.892,1,1,1.22554713982381,1.2224,0.0465,1.1333,1.316,1,1,1.92749400743346,1.9625,0.0681,1.8334,2.1015,1,1,1.39038469211727,1.4253,0.0519,1.3273,1.5305,1,1,1.96107469695758,2.0006,0.0696,1.8698,2.1415,1,1,1.44296594681151,1.4378,0.0526,1.338,1.5441,1,1,1.97661392972742,1.9618,0.0679,1.8332,2.1013,1,1,1.46479650840188,1.479,0.0534,1.3781,1.588,1,1,0.1,0.1128,0.0274,0.0582,0.1645,1,1,0.1,0.0899,0.0215,0.0523,0.1336,1,1,0.1,0.0735,0.0168,0.0452,0.1097,1,1,0.1,0.1056,0.0216,0.0619,0.1463,1,1,1,1.0105,0.0166,0.9786,1.0436,1,1,1,1.0031,0.016,0.9721,1.0352,1,1,0.3,0.2992,0.0118,0.2765,0.3225,1,1,0.3,0.2992,0.0118,0.2765,0.3225,1,1
7,3.38008587561722,3.3614,0.0541,3.2562,3.4679,1,1,2.6490919557642,2.6458,0.0437,2.561,2.7314,1,1,6.5592497625802,6.6069,0.0802,6.4493,6.7637,1,1,4.79549474076678,4.7633,0.0573,4.6515,4.8765,1,1,8.41991048086296,8.4769,0.0861,8.3077,8.6447,1,1,6.27213639876793,6.2446,0.0674,6.1131,6.3776,1,1,9.29394031721092,9.3671,0.0874,9.1949,9.538,1,1,7.10490577112262,7.0623,0.0672,6.93,7.1943,1,1,9.68083248283218,9.6751,0.088,9.503,9.8483,1,1,7.54002818053297,7.5063,0.07,7.3683,7.642,1,1,0.3,0.2854,0.0181,0.2486,0.3205,1,1,0.2,0.2385,0.0173,0.2052,0.2733,0,1,-0.15,-0.168,0.0151,-0.1976,-0.1383,1,1,-0.1,-0.1125,0.0148,-0.1415,-0.0832,1,1,1.16975723241009,1.0638,0.0442,0.9789,1.1531,0,1,0.818364051334181,0.794,0.0387,0.7197,0.872,1,1,1.77224917802126,1.7002,0.0598,1.5867,1.8214,1,1,1.22554713982381,1.161,0.046,1.0735,1.2534,1,1,1.92749400743346,1.8371,0.0638,1.7156,1.9672,1,1,1.39038469211727,1.3983,0.0521,1.2994,1.5038,1,1,1.96107469695758,1.8713,0.0648,1.7487,2.0037,1,1,1.44296594681151,1.3963,0.0519,1.2988,1.5022,1,1,1.97661392972742,1.8725,0.0652,1.7504,2.0046,1,1,1.46479650840188,1.4576,0.0535,1.356,1.5665,1,1,0.1,0.0825,0.0204,0.0485,0.1266,1,1,0.1,0.1185,0.0238,0.0724,0.1646,1,1,0.1,0.1079,0.0224,0.0629,0.1497,1,1,0.1,0.109,0.0202,0.0683,0.1473,1,1,1,1.0132,0.0165,0.9814,1.0462,1,1,1,1.054,0.0171,1.0212,1.0885,0,1,0.3,0.3228,0.0121,0.2993,0.3467,1,1,0.3,0.3228,0.0121,0.2993,0.3467,1,1
8,3.38008587561722,3.3581,0.0579,3.2452,3.4706,1,1,2.6490919557642,2.552,0.0437,2.4664,2.6369,0,1,6.5592497625802,6.5326,0.081,6.3744,6.6914,1,1,4.79549474076678,4.6732,0.0598,4.5551,4.7899,0,1,8.41991048086296,8.3689,0.0872,8.1992,8.5398,1,1,6.27213639876793,6.1164,0.0692,5.9806,6.2519,0,1,9.29394031721092,9.2323,0.0888,9.0575,9.4055,1,1,7.10490577112262,6.9521,0.0689,6.8178,7.0883,0,1,9.68083248283218,9.6763,0.0941,9.4937,9.862,1,1,7.54002818053297,7.3789,0.0725,7.2355,7.5204,0,1,0.3,0.3261,0.0183,0.2893,0.3619,1,1,0.2,0.2468,0.0176,0.2123,0.2818,0,1,-0.15,-0.1665,0.0148,-0.196,-0.1377,1,1,-0.1,-0.1053,0.0153,-0.1348,-0.0751,1,1,1.16975723241009,1.1459,0.047,1.0557,1.2397,1,1,0.818364051334181,0.803,0.039,0.7281,0.8808,1,1,1.77224917802126,1.7134,0.0611,1.5979,1.8376,1,1,1.22554713982381,1.214,0.0473,1.1238,1.3094,1,1,1.92749400743346,1.8597,0.065,1.738,1.993,1,1,1.39038469211727,1.4412,0.0525,1.3412,1.5488,1,1,1.96107469695758,1.8943,0.0663,1.7692,2.0295,1,1,1.44296594681151,1.438,0.0529,1.3373,1.5438,1,1,1.97661392972742,2.0064,0.0697,1.8747,2.1472,1,1,1.46479650840188,1.5216,0.055,1.4174,1.6336,1,1,0.1,0.0985,0.0229,0.0561,0.145,1,1,0.1,0.1264,0.0232,0.0792,0.1695,1,1,0.1,0.0716,0.0156,0.0453,0.1058,1,1,0.1,0.1052,0.0216,0.0625,0.1464,1,1,1,1.0196,0.0168,0.987,1.0529,1,1,1,1.0085,0.0163,0.977,1.0408,1,1,0.3,0.3044,0.012,0.2809,0.3279,1,1,0.3,0.3044,0.012,0.2809,0.3279,1,1
9,3.38008587561722,3.3481,0.0581,3.2344,3.4622,1,1,2.6490919557642,2.5717,0.0432,2.4872,2.6568,1,1,6.5592497625802,6.5494,0.083,6.3869,6.712,1,1,4.79549474076678,4.7433,0.057,4.6317,4.8544,1,1,8.41991048086296,8.4266,0.0907,8.2476,8.6048,1,1,6.27213639876793,6.2536,0.0667,6.1224,6.3837,1,1,9.29394031721092,9.2963,0.0926,9.1141,9.4786,1,1,7.10490577112262,7.0794,0.0671,6.9473,7.2116,1,1,9.68083248283218,9.6825,0.0949,9.4955,9.8687,1,1,7.54002818053297,7.5576,0.068,7.4241,7.6913,1,1,0.3,0.2925,0.0186,0.2567,0.3295,1,1,0.2,0.2077,0.0161,0.1774,0.2405,1,1,-0.15,-0.1198,0.0149,-0.1495,-0.0908,0,1,-0.1,-0.0861,0.0146,-0.1156,-0.0575,1,1,1.16975723241009,1.1654,0.0469,1.0766,1.2608,1,1,0.818364051334181,0.7978,0.0369,0.7276,0.8719,1,1,1.77224917802126,1.766,0.0622,1.6486,1.8914,1,1,1.22554713982381,1.1593,0.0445,1.0746,1.249,1,1,1.92749400743346,1.9442,0.0673,1.8177,2.0816,1,1,1.39038469211727,1.3933,0.0507,1.2965,1.4961,1,1,1.96107469695758,1.9876,0.0687,1.8583,2.1254,1,1,1.44296594681151,1.4039,0.0508,1.3074,1.5065,1,1,1.97661392972742,2.0441,0.07,1.9116,2.1868,1,1,1.46479650840188,1.4177,0.0515,1.3196,1.5215,1,1,0.1,0.1192,0.0249,0.0713,0.1666,1,1,0.1,0.0842,0.0207,0.0484,0.1277,1,1,0.1,0.0853,0.0197,0.0499,0.1267,1,1,0.1,0.0989,0.021,0.0598,0.1391,1,1,1,1.0069,0.0167,0.9748,1.0398,1,1,1,1.0231,0.0163,0.9918,1.0555,1,1,0.3,0.3155,0.012,0.2922,0.3391,1,1,0.3,0.3155,0.012,0.2922,0.3391,1,1
10,3.38008587561722,3.3861,0.0607,3.2666,3.5042,1,1,2.6490919557642,2.646,0.0435,2.5611,2.7321,1,1,6.5592497625802,6.4954,0.0848,6.3282,6.6624,1,1,4.79549474076678,4.8386,0.0597,4.7213,4.9564,1,1,8.41991048086296,8.4023,0.0916,8.2226,8.5826,1,1,6.27213639876793,6.2832,0.0676,6.1492,6.4153,1,1,9.29394031721092,9.2412,0.0924,9.0596,9.4219,1,1,7.10490577112262,7.1373,0.0707,6.9991,7.275,1,1,9.68083248283218,9.6209,0.0945,9.4353,9.8057,1,1,7.54002818053297,7.5414,0.0726,7.3993,7.6832,1,1,0.3,0.3294,0.0181,0.2938,0.3646,1,1,0.2,0.1878,0.0164,0.1562,0.2206,1,1,-0.15,-0.1408,0.0148,-0.1698,-0.1121,1,1,-0.1,-0.1177,0.0143,-0.1456,-0.0895,1,1,1.16975723241009,1.2112,0.0486,1.1186,1.3088,1,1,0.818364051334181,0.8192,0.0372,0.7482,0.894,1,1,1.77224917802126,1.7927,0.0633,1.6723,1.9212,1,1,1.22554713982381,1.2264,0.0462,1.1382,1.3211,1,1,1.92749400743346,1.9572,0.0677,1.8288,2.0939,1,1,1.39038469211727,1.4207,0.0515,1.3232,1.5248,1,1,1.96107469695758,1.9757,0.0689,1.8454,2.114,1,1,1.44296594681151,1.5044,0.0538,1.4034,1.6127,1,1,1.97661392972742,2.0119,0.0696,1.881,2.1523,1,1,1.46479650840188,1.5384,0.0545,1.4358,1.6489,1,1,0.1,0.0842,0.0205,0.0493,0.1282,1,1,0.1,0.106,0.0241,0.0597,0.1541,1,1,0.1,0.1211,0.0208,0.0784,0.1595,1,1,0.1,0.0772,0.0177,0.0467,0.1145,1,1,1,1.0302,0.017,0.9976,1.0639,1,1,1,0.9661,0.0156,0.9361,0.9973,0,1,0.3,0.2754,0.0116,0.253,0.2984,0,1,0.3,0.2754,0.0116,0.253,0.2984,0,1
